Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Housing Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall,sum_types_of_material,diff_housing_unit,percentage_,absolute_from_vulnerable_houses
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Abra De Ilog,PH175101000,7185,3313,590,7,182,3010,72,0,2,6,7182,3,0.430242272,3090
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Calintaan,PH175102000,6430,2961,1247,4,130,1904,16,0,4,7,6273,157,0.307827196,1931
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Looc,PH175103000,2295,1427,99,0,163,597,1,2,0,2,2291,4,0.261894369,600
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Lubang,PH175104000,4642,3331,268,3,333,693,2,3,1,3,4637,5,0.150744016,699
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Magsaysay,PH175105000,7782,3001,2199,3,45,2486,6,0,0,4,7744,38,0.32231405,2496
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Mamburao (Capital),PH175106000,9912,6465,1479,12,202,1683,16,0,2,15,9874,38,0.173789751,1716
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Paluan,PH175107000,3481,1320,530,1,123,1496,4,1,3,0,3478,3,0.432144911,1503
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Rizal,PH175108000,8426,4127,1978,2,89,2167,1,1,3,0,8368,58,0.259440727,2171
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Sablayan,PH175109000,18473,9541,3324,12,248,5243,7,1,6,2,18384,89,0.286009574,5258
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,San Jose,PH175110000,32761,18985,6513,32,228,6746,12,4,20,19,32559,202,0.208759483,6797
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Santa Cruz,PH175111000,8888,4035,765,0,700,3262,82,0,0,1,8845,43,0.378179763,3345
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Baco,PH175201000,8248,4799,1065,6,246,2038,6,4,15,18,8197,51,0.253385385,2077
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bansud,PH175202000,9144,5180,1975,19,112,1808,12,2,5,8,9121,23,0.200964806,1833
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bongabong,PH175203000,16450,8278,2741,18,280,5022,43,0,3,21,16406,44,0.310191393,5089
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bulalacao (San Pedro),PH175204000,8485,1878,1119,10,154,5245,3,0,7,24,8440,45,0.625473934,5279
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,City of Calapan (Capital),PH175205000,30324,23437,2914,28,761,3069,36,4,13,22,30284,40,0.103685114,3140
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Gloria,PH175206000,10314,6139,1893,15,208,2025,10,0,4,3,10297,17,0.198310187,2042
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Mansalay,PH175207000,11219,3910,886,9,268,6063,6,7,12,18,11179,40,0.545576527,6099
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Naujan,PH175208000,23221,14892,2499,53,907,4670,23,7,32,36,23119,102,0.205934513,4761
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Pinamalayan,PH175209000,19281,12937,3279,74,337,2354,154,7,14,47,19203,78,0.13378118,2569
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Pola,PH175210000,8169,4316,1221,6,320,2235,9,1,8,5,8121,48,0.277921438,2257
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Puerto Galera,PH175211000,8292,5307,1302,44,133,1287,78,4,8,98,8261,31,0.178065609,1471
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Roxas,PH175212000,11628,7009,1864,42,162,2440,20,2,15,11,11565,63,0.214958928,2486
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,San Teodoro,PH175213000,4039,2216,512,10,130,1150,7,1,0,1,4027,12,0.287558977,1158
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Socorro,PH175214000,9054,5703,1985,10,107,1188,2,0,22,6,9023,31,0.134988363,1218
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Victoria,PH175215000,11120,7351,1535,27,207,1934,3,0,5,3,11065,55,0.175779485,1945
Mimaropa Region,PH170000000,Palawan,PH175300000,Aborlan,PH175301000,8267,2989,1781,16,89,3334,2,3,8,7,8229,38,0.407218374,3351
Mimaropa Region,PH170000000,Palawan,PH175300000,Agutaya,PH175302000,3044,1097,990,2,25,924,0,0,1,0,3039,5,0.30437644,925
Mimaropa Region,PH170000000,Palawan,PH175300000,Araceli,PH175303000,3206,788,749,1,46,1608,0,1,5,1,3199,7,0.504532666,1614
Mimaropa Region,PH170000000,Palawan,PH175300000,Balabac,PH175304000,8411,222,3548,0,37,4587,3,0,2,0,8399,12,0.546731754,4592
Mimaropa Region,PH170000000,Palawan,PH175300000,Bataraza,PH175305000,17923,4130,3452,3,148,9970,19,0,8,2,17732,191,0.563895782,9999
Mimaropa Region,PH170000000,Palawan,PH175300000,Brooke'S Point,PH175306000,15383,4336,3619,25,161,7149,5,3,9,6,15313,70,0.468164305,7169
Mimaropa Region,PH170000000,Palawan,PH175300000,Busuanga,PH175307000,5032,1134,1175,9,89,2568,8,0,6,6,4995,37,0.518118118,2588
Mimaropa Region,PH170000000,Palawan,PH175300000,Cagayancillo,PH175308000,1100,480,346,0,6,266,0,0,0,0,1098,2,0.242258652,266
Mimaropa Region,PH170000000,Palawan,PH175300000,Coron,PH175309000,11463,3052,4985,31,58,3169,8,1,5,9,11318,145,0.281940272,3191
Mimaropa Region,PH170000000,Palawan,PH175300000,Culion,PH175322000,4640,1025,1627,5,14,1912,4,1,5,9,4602,38,0.419382877,1930
Mimaropa Region,PH170000000,Palawan,PH175300000,Cuyo,PH175310000,5015,2961,568,1,93,1376,4,0,1,3,5007,8,0.276413022,1384
Mimaropa Region,PH170000000,Palawan,PH175300000,Dumaran,PH175311000,5757,1263,756,0,67,3614,2,0,1,1,5704,53,0.634291725,3618
Mimaropa Region,PH170000000,Palawan,PH175300000,El Nido (Bacuit),PH175312000,9465,2966,2756,4,48,3595,5,0,2,0,9376,89,0.384172355,3602
Mimaropa Region,PH170000000,Palawan,PH175300000,Kalayaan,PH175321000,31,7,24,0,0,0,0,0,0,0,31,0,0,0
Mimaropa Region,PH170000000,Palawan,PH175300000,Linapacan,PH175313000,3359,453,900,0,17,1968,1,0,0,0,3339,20,0.589697514,1969
Mimaropa Region,PH170000000,Palawan,PH175300000,Magsaysay,PH175314000,2731,1553,321,0,40,813,1,0,1,2,2731,0,0.299157818,817
Mimaropa Region,PH170000000,Palawan,PH175300000,Narra,PH175315000,16897,6257,5375,5,126,4990,5,1,14,0,16773,124,0.298634711,5009
Mimaropa Region,PH170000000,Palawan,PH175300000,City of Puerto Princesa (Capital),PH175316000,61665,29335,19522,53,380,11071,61,3,34,32,60491,1174,0.185118447,11198
Mimaropa Region,PH170000000,Palawan,PH175300000,Quezon,PH175317000,13912,2411,3106,1,74,8186,6,0,7,0,13791,121,0.594518164,8199
Mimaropa Region,PH170000000,Palawan,PH175300000,Rizal (Marcos),PH175323000,12731,1580,1264,1,147,9663,8,0,1,0,12664,67,0.763739735,9672
Mimaropa Region,PH170000000,Palawan,PH175300000,Roxas,PH175318000,15321,4199,2608,3,265,8165,18,1,7,4,15270,51,0.536607728,8194
Mimaropa Region,PH170000000,Palawan,PH175300000,San Vicente,PH175319000,6707,2058,1481,10,98,2998,26,0,1,1,6673,34,0.453469204,3026
Mimaropa Region,PH170000000,Palawan,PH175300000,Sofronio Española,PH175324000,7673,1424,1658,1,62,4494,4,2,0,0,7645,28,0.588358404,4498
Mimaropa Region,PH170000000,Palawan,PH175300000,Taytay,PH175320000,15993,3750,3773,6,182,8033,7,0,4,7,15762,231,0.510785433,8051
Mimaropa Region,PH170000000,Romblon,PH175900000,Alcantara,PH175901000,3666,1956,313,15,170,1100,16,9,26,48,3653,13,0.32575965,1190
Mimaropa Region,PH170000000,Romblon,PH175900000,Banton,PH175902000,1419,897,233,0,55,230,0,0,0,3,1418,1,0.164315938,233
Mimaropa Region,PH170000000,Romblon,PH175900000,Cajidiocan,PH175903000,4951,2289,782,0,126,1729,16,0,4,4,4950,1,0.354141414,1753
Mimaropa Region,PH170000000,Romblon,PH175900000,Calatrava,PH175904000,2299,1062,322,3,75,828,1,0,3,1,2295,4,0.362962963,833
Mimaropa Region,PH170000000,Romblon,PH175900000,Concepcion,PH175905000,1047,478,361,0,13,195,0,0,0,0,1047,0,0.186246418,195
Mimaropa Region,PH170000000,Romblon,PH175900000,Corcuera,PH175906000,2467,748,45,0,410,1251,1,1,1,10,2467,0,0.511957844,1263
Mimaropa Region,PH170000000,Romblon,PH175900000,Ferrol,PH175916000,1653,694,388,0,35,531,3,0,0,0,1651,2,0.323440339,534
Mimaropa Region,PH170000000,Romblon,PH175900000,Looc,PH175907000,5363,3013,985,5,106,1174,4,1,0,1,5289,74,0.222915485,1179
Mimaropa Region,PH170000000,Romblon,PH175900000,Magdiwang,PH175908000,3066,1281,559,3,97,1072,13,8,21,7,3061,5,0.363606664,1113
Mimaropa Region,PH170000000,Romblon,PH175900000,Odiongan,PH175909000,11388,6508,3246,2,86,1521,2,0,0,0,11365,23,0.134007919,1523
Mimaropa Region,PH170000000,Romblon,PH175900000,Romblon (Capital),PH175910000,8910,5080,1198,15,401,2158,20,5,6,3,8886,24,0.246117488,2187
Mimaropa Region,PH170000000,Romblon,PH175900000,San Agustin,PH175911000,5258,2960,561,9,204,1462,18,2,5,30,5251,7,0.288516473,1515
Mimaropa Region,PH170000000,Romblon,PH175900000,San Andres,PH175912000,3544,2053,416,4,80,984,0,0,0,0,3537,7,0.278201866,984
Mimaropa Region,PH170000000,Romblon,PH175900000,San Fernando,PH175913000,4978,2119,929,0,191,1684,7,9,27,4,4970,8,0.346478873,1722
Mimaropa Region,PH170000000,Romblon,PH175900000,San Jose,PH175914000,2391,964,306,0,182,933,3,0,0,1,2389,2,0.392214316,937
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Fe,PH175915000,3691,1458,144,0,299,1774,1,0,0,0,3676,15,0.482861806,1775
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Maria (Imelda),PH175917000,1880,847,262,8,52,657,19,9,7,19,1880,0,0.373404255,702
Region IX (Zamboanga Peninsula),PH090000000,City of Isabela (Not a Province),PH099700000,City of Isabela,PH099701000,20127,8085,8158,11,72,3732,14,0,5,2,20079,48,0.186911699,3753
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Bacungan (Leon T. Postigo),PH097226000,5552,1177,2308,6,54,1927,2,0,1,0,5475,77,0.352511416,1930
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Baliguian,PH097224000,5172,729,768,0,110,3565,0,0,0,0,5172,0,0.689288476,3565
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dapitan,PH097201000,17953,5817,7258,53,123,4504,63,0,20,27,17865,88,0.258270361,4614
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dipolog (Capital),PH097202000,29503,13596,9082,24,256,6287,27,2,9,52,29335,168,0.217317198,6375
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Godod,PH097225000,3791,335,2514,1,0,921,1,0,0,2,3774,17,0.244833068,924
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Gutalac,PH097223000,7562,1430,1649,0,171,4293,3,1,1,0,7548,14,0.569289878,4297
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Jose Dalman (Ponot),PH097222000,6103,1014,2626,3,83,2359,1,0,1,0,6087,16,0.387875801,2361
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Kalawit,PH097227000,4821,1218,1740,3,36,1818,1,0,2,0,4818,3,0.377957659,1821
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Katipunan,PH097203000,9718,2126,3138,2,133,4268,11,1,0,8,9687,31,0.442551874,4287
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,La Libertad,PH097204000,1868,602,889,1,6,361,0,0,0,0,1859,9,0.194190425,361
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Labason,PH097205000,9050,2690,1962,2,232,4140,9,0,2,4,9041,9,0.459573056,4155
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Liloy,PH097206000,9344,3483,2892,3,280,2600,3,0,3,11,9275,69,0.282156334,2617
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Manukan,PH097207000,7771,2082,2739,6,214,2645,12,0,9,4,7711,60,0.346258592,2670
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Mutia,PH097208000,2683,671,1621,6,12,361,2,0,3,3,2679,4,0.137737962,369
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Piñan (New Piñan),PH097209000,4609,1235,2154,5,24,1160,3,0,1,1,4583,26,0.254200305,1165
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Polanco,PH097210000,9109,3294,3395,4,64,2324,0,1,7,0,9089,20,0.256463857,2331
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Pres. Manuel A. Roxas,PH097211000,8319,1761,2591,8,167,3717,12,1,18,4,8279,40,0.453074043,3751
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Rizal,PH097212000,3501,1039,1407,3,13,1026,2,0,1,0,3491,10,0.294757949,1029
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Salug,PH097213000,7225,1741,2978,2,165,2288,1,0,0,1,7176,49,0.319119287,2290
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sergio Osmeña Sr.,PH097214000,6513,1110,3725,0,13,1539,0,0,0,0,6387,126,0.240958196,1539
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siayan,PH097215000,7253,662,2230,2,35,4293,4,0,0,6,7232,21,0.594994469,4303
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibuco,PH097216000,7222,1456,1471,1,66,4113,55,3,9,33,7207,15,0.584154294,4210
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibutad,PH097217000,4308,1037,1628,5,30,1595,2,0,1,0,4298,10,0.371800838,1598
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sindangan,PH097218000,22155,6562,8303,49,143,6815,67,6,86,12,22043,112,0.316653813,6980
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siocon,PH097219000,10608,2259,2035,0,133,6154,3,0,0,0,10584,24,0.581727135,6157
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sirawai,PH097220000,5854,903,1093,0,64,3721,0,0,0,0,5781,73,0.643660266,3721
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Tampilisan,PH097221000,5654,1598,2444,3,18,1524,2,0,45,13,5647,7,0.280502922,1584
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Aurora,PH097302000,10980,4094,3859,8,56,2935,9,0,5,7,10973,7,0.269388499,2956
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Bayog,PH097303000,6908,1665,3648,0,12,1575,1,0,1,0,6902,6,0.228484497,1577
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dimataling,PH097305000,6501,1344,2469,16,26,2546,35,0,1,44,6481,20,0.405184385,2626
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dinas,PH097306000,7679,1580,3424,2,32,2618,1,1,4,1,7663,16,0.342424638,2624
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumalinao,PH097307000,7064,1741,3985,2,37,1274,0,0,0,1,7040,24,0.181107955,1275
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumingag,PH097308000,9817,2702,3113,3,60,3910,6,0,3,3,9800,17,0.400204082,3922
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Guipos,PH097343000,4302,1301,2413,0,7,577,0,0,0,0,4298,4,0.134248488,577
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Josefina,PH097337000,2499,695,1539,1,4,260,0,0,0,0,2499,0,0.104041617,260
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Kumalarang,PH097311000,5923,1144,1539,0,55,3139,0,0,0,0,5877,46,0.534116046,3139
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Labangan,PH097312000,8428,3443,2681,3,58,2213,4,1,10,4,8417,11,0.26505881,2231
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lakewood,PH097333000,4094,907,1951,0,14,1197,0,0,1,0,4070,24,0.294348894,1198
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lapuyan,PH097313000,5215,813,1406,0,27,2958,2,0,2,0,5208,7,0.568740399,2962
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Mahayag,PH097315000,9718,3825,3129,0,40,2713,0,0,1,0,9708,10,0.279563247,2714
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Margosatubig,PH097317000,8794,2081,4544,2,42,2086,1,0,3,3,8762,32,0.238872404,2093
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Midsalip,PH097318000,6774,1492,2380,2,11,2862,4,2,9,3,6765,9,0.425424982,2878
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Molave,PH097319000,11401,4579,3710,8,92,2971,6,0,13,15,11394,7,0.263735299,3005
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Pagadian (Capital),PH097322000,40665,16310,17363,11,114,6724,4,23,24,19,40592,73,0.166806267,6771
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Pitogo,PH097338000,5853,1481,2730,29,38,1509,13,0,33,11,5844,9,0.267967146,1566
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Ramon Magsaysay (Liargo),PH097323000,5968,1874,2828,1,19,1220,2,0,1,0,5945,23,0.205719092,1223
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Miguel,PH097324000,4205,828,2610,0,6,754,0,0,0,0,4198,7,0.179609338,754
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Pablo,PH097325000,5792,1127,3535,0,16,1103,0,0,0,0,5781,11,0.19079744,1103
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Sominot (Don Mariano Marcos),PH097340000,4144,932,2191,2,13,991,0,0,0,1,4130,14,0.240193705,992
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tabina,PH097327000,5613,1675,2661,2,13,1243,0,1,5,1,5601,12,0.222995894,1249
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tambulig,PH097328000,7686,2079,2937,5,49,2547,10,0,8,6,7641,45,0.336474283,2571
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tigbao,PH097344000,4591,970,2585,0,12,1019,0,0,0,0,4586,5,0.222197994,1019
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tukuran,PH097330000,8465,2365,4050,5,31,1995,5,0,2,1,8454,11,0.236929264,2003
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Vincenzo A. Sagun,PH097341000,4898,1070,2283,2,14,1519,3,0,0,0,4891,7,0.311183807,1522
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Zamboanga,PH097332000,185621,78378,70842,232,813,32792,139,48,295,496,184035,1586,0.183236884,33722
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Alicia,PH098301000,7630,962,2050,1,54,4543,4,0,2,3,7619,11,0.597453734,4552
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Buug,PH098302000,8116,2625,3739,0,31,1671,0,0,0,0,8066,50,0.207165881,1671
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Diplahan,PH098303000,7605,2270,3408,15,39,1795,4,19,7,10,7567,38,0.239989428,1816
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Imelda,PH098304000,6507,1535,2508,2,27,2354,13,0,8,4,6451,56,0.368780034,2379
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Ipil (Capital),PH098305000,17616,5653,4729,6,184,6964,13,2,7,5,17563,53,0.397938849,6989
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Kabasalan,PH098306000,9473,2324,2127,3,249,4716,20,0,4,5,9448,25,0.502222693,4745
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Mabuhay,PH098307000,6783,424,1440,1,92,4811,1,0,1,0,6770,13,0.710930576,4813
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Malangas,PH098308000,7962,2288,2168,1,65,3185,1,1,1,1,7711,251,0.413435352,3188
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Naga,PH098309000,8433,1983,3029,0,79,3320,7,0,1,3,8422,11,0.395511755,3331
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Olutanga,PH098310000,6523,871,1825,2,55,3707,34,0,0,0,6494,29,0.576070219,3741
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Payao,PH098311000,6921,951,1704,2,94,4145,4,1,3,3,6907,14,0.601563631,4155
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Roseller Lim,PH098312000,10443,1692,4466,1,41,4162,2,0,2,1,10367,76,0.40194849,4167
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Siay,PH098313000,9128,1702,2781,4,116,4436,6,3,16,4,9068,60,0.492059991,4462
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Talusan,PH098314000,5101,520,1198,0,49,3321,0,0,3,0,5091,10,0.652916912,3324
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Titay,PH098315000,11087,3425,3744,6,69,3753,9,2,15,4,11027,60,0.342885644,3781
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Tungawan,PH098316000,9418,1879,2352,2,107,5024,3,3,1,4,9375,43,0.536746667,5032
Region V (Bicol Region),PH050000000,Albay,PH050500000,Bacacay,PH050501000,14348,7912,813,4,1957,3648,10,0,1,1,14346,2,0.255123379,3660
Region V (Bicol Region),PH050000000,Albay,PH050500000,Camalig,PH050502000,14763,9726,820,12,1378,2765,23,3,15,12,14754,9,0.190795716,2815
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Ligao,PH050508000,22491,13305,1562,19,1660,5834,26,13,41,16,22476,15,0.263258587,5917
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Tabaco,PH050517000,27533,19345,1920,85,1574,3800,124,131,74,149,27202,331,0.152452026,4147
Region V (Bicol Region),PH050000000,Albay,PH050500000,Daraga (Locsin),PH050503000,27551,21312,1638,65,1293,3104,57,12,26,33,27540,11,0.116920842,3220
Region V (Bicol Region),PH050000000,Albay,PH050500000,Guinobatan,PH050504000,17882,11085,1120,22,1434,4106,31,6,28,34,17866,16,0.235027426,4199
Region V (Bicol Region),PH050000000,Albay,PH050500000,Jovellar,PH050505000,3811,1255,320,4,343,1874,13,0,0,0,3809,2,0.495405618,1887
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Legazpi (Capital),PH050506000,41437,31319,3336,145,1952,4254,108,85,87,107,41393,44,0.11006692,4556
Region V (Bicol Region),PH050000000,Albay,PH050500000,Libon,PH050507000,15461,6654,1934,9,1099,5692,9,16,19,11,15443,18,0.37110665,5731
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malilipot,PH050509000,8059,5471,462,27,724,1310,26,8,10,11,8049,10,0.168592372,1357
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malinao,PH050510000,9748,6284,637,3,485,2289,10,4,9,12,9733,15,0.238364328,2320
Region V (Bicol Region),PH050000000,Albay,PH050500000,Manito,PH050511000,5056,2551,385,11,613,1318,46,12,77,40,5053,3,0.293093212,1481
Region V (Bicol Region),PH050000000,Albay,PH050500000,Oas,PH050512000,14036,6528,1403,20,1089,4875,65,6,7,32,14025,11,0.355008913,4979
Region V (Bicol Region),PH050000000,Albay,PH050500000,Pio Duran,PH050513000,9452,3520,525,0,1069,4316,8,0,3,5,9446,6,0.458606818,4332
Region V (Bicol Region),PH050000000,Albay,PH050500000,Polangui,PH050514000,18188,10871,2128,14,728,4294,18,4,21,18,18096,92,0.240439876,4351
Region V (Bicol Region),PH050000000,Albay,PH050500000,Rapu-Rapu,PH050515000,7395,2393,383,5,1243,3316,30,3,9,11,7393,2,0.45529555,3366
Region V (Bicol Region),PH050000000,Albay,PH050500000,Santo Domingo (Libog),PH050516000,7415,4474,176,2,1371,1345,33,5,3,3,7412,3,0.186724231,1384
Region V (Bicol Region),PH050000000,Albay,PH050500000,Tiwi,PH050518000,10975,7121,988,4,527,2288,6,2,7,24,10967,8,0.211999635,2325
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Basud,PH051601000,9078,4854,782,9,738,2635,22,1,2,2,9045,33,0.294195688,2661
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Capalonga,PH051602000,7091,2217,584,0,606,3661,7,0,2,6,7083,8,0.518989129,3676
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Daet (Capital),PH051603000,22803,17481,1395,19,1147,2639,34,5,16,11,22747,56,0.118696971,2700
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Jose Panganiban,PH051605000,13381,6733,2165,22,657,3698,46,2,7,25,13355,26,0.282740547,3776
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Labo,PH051606000,22201,11118,2878,13,1373,6690,22,2,8,15,22119,82,0.304489353,6735
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Mercedes,PH051607000,10866,4668,819,0,1459,3856,14,1,21,6,10844,22,0.359369236,3897
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Paracale,PH051608000,13096,6470,1374,9,1203,3979,21,3,12,7,13078,18,0.307309986,4019
