source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
New Vision,KAMPALA,08/11/2002,4,L,,,1
http://www.newvision.co.ug/news/383358-kampala-markets-are-a-health-risk.html,Kampala,18/11/2002,4,L,,,1
http://www.newvision.co.ug/news/595117-in-brief.html,Kampala,18/05/2003,4,L,,,1
http://www.newvision.co.ug/news/590661-kcc-seeks-sh140b-to-fight-floods.html,Kampala,23/07/2003,4,L,,,1
http://www.newvision.co.ug/news/588786-culvert-installation-reduces-city-flooding.html,Kampala,17/08/2003,4,L,,,1
http://www.newvision.co.ug/news/584464-greenboat-sues-kcc-over-sh3b.html,Kampala,17/10/2003,4,L,,,1
http://www.newvision.co.ug/news/584304-kcc-re-opens-old-port-bell-road.html,Kampala,19/10/2003,4,L,,,1
New Vision,KAMPALA,11/12/2003,4,L,,,1
New Vision,KAMPALA,23/01/2004,4,L,,,1
http://www.newvision.co.ug/news/413696-news-briefs.html,Kampala,07/06/2004,4,L,,,1
http://www.monitor.co.ug/SpecialReports/WarMemories/-/859092/858444/-/4a7f64z/-/index.html,Kampala,02/09/2004,4,L,,,1
New Vision,KAMPALA,09/09/2004,4,L,,,1
http://www.newvision.co.ug/news/409703-in-brief.html,Kampala,11/11/2004,4,L,,,1
New Vision,KAMPALA,24/11/2004,4,L,,,1
New Vision,KAMPALA,25/11/2004,4,L,,3,1
http://www.newvision.co.ug/news/440432-̢-ekisanja-protesters-violated-guidelines̢.html,Kampala,07/01/2005,4,L,,,1
http://www.newvision.co.ug/news/451791-fufa-to-sue-top-radio.html,Kampala,19/01/2005,4,L,,,1
New Vision,KAMPALA,21/03/2005,4,L,,3,1
http://www.newvision.co.ug/news/442730-in-brief.html,Kampala,29/05/2005,4,L,,,1
New Vision,KAMPALA,28/07/2005,4,L,,1,1
http://www.newvision.co.ug/news/474528-upbc-petitions-wbc-over-lusambya-fight.html,Kampala,13/02/2006,4,L,,,1
New Vision,KAMPALA,30/03/2006,4,L,,,1
New Vision,KAMPALA,06/04/2006,4,L,,,1
http://www.newvision.co.ug/news/454697-kampala-flooded-after-downpour.html,Kampala,12/06/2006,4,L,,,1
New Vision,KAMPALA,06/08/2006,4,L,,2,1
Letter Ref: 003/kddp/2006 dated 15/11/06 from the LC III Chairperson ,KAMPALA,03/11/2006,4,L,,,1
http://www.newvision.co.ug/news/462574-foodstuffs-flood.html,Kampala,08/11/2006,4,L,,,1
http://www.newvision.co.ug/news/454336-govt-joins-kcc-to-fight-floods.html,Kampala,12/11/2006,4,L,,,1
http://www.newvision.co.ug/news/456077-is-your-house-flood-protected.html,Kampala,17/11/2006,4,L,,,1
New Vision,KAMPALA,06/12/2006,4,L,,,1
http://www.newvision.co.ug/news/454272-floods-blamed-on-bugolobi-buildings.html,Kampala,12/12/2006,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/790450/-/w19bfj/-/index.html,Kampala,10/02/2007,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/791630/-/10ime9w/-/index.html,Kampala,10/03/2007,4,L,,,1
http://www.newvision.co.ug/news/497641-kampala-divisions-should-be-autonomous-takuba.html,Kampala,15/03/2007,4,L,,,1
http://www.newvision.co.ug/news/497555-heavy-rains-expected-this-season.html,Kampala,17/03/2007,4,L,,,1
http://www.monitor.co.ug/News/-/688324/793296/-/bpumbd/-/index.html,Kampala,10/05/2007,4,L,,,1
http://www.newvision.co.ug/news/490540-terrible-drivers.html,Kampala,27/06/2007,4,L,,,1
http://www.newvision.co.ug/news/489387-kyambogo-protests-car-depot-construction.html,Kampala,15/07/2007,4,L,,,1
http://www.newvision.co.ug/news/488427-july-unusually-cold-wet-experts.html,Kampala,29/07/2007,4,L,,,1
http://www.newvision.co.ug/news/498159-traders-oppose-economic-pacts-with-europe.html,Kampala,03/08/2007,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/766740/-/k1ebklz/-/index.html,Kampala,08/08/2007,4,L,,,1
http://www.newvision.co.ug/news/483278-rains-affecting-road-repairs-minister.html,Kampala,10/08/2007,4,L,,,1
Juliet Kiyimba - Branch Field Coordinator,KAMPALA,20/09/2007,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/781228/-/k09tcnz/-/index.html,Kampala,24/09/2007,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/782194/-/4qhkmf/-/index.html,Kampala,25/09/2007,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/787234/-/w0rl5u/-/index.html,Kampala,27/09/2007,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/788910/-/10i5rwe/-/index.html,Kampala,28/09/2007,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/770510/-/10hdlbv/-/index.html,Kampala,08/10/2007,4,L,,,1
http://www.newvision.co.ug/news/481654-unbs-gets-tough-on-fake-imports.html,Kampala,30/10/2007,4,L,,,1
