County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;magnitude_impact;date_recorded
Garissa;NA;NA;0;15;20;0;0;0;1;2015/04/13
Homa Bay;Suba South;Gwassi North; Gwassi South;0;0;7;0;0;0;1;2015/03/29
Nakuru;NA;Hells Gate;7;0;0;0;0;0;1;2012/04/23
Homa Bay;Homa Bay Town;NA;1;0;0;0;0;0;1;2013/04/02
Homa Bay;Homa Bay Town;NA;1;0;0;0;0;0;1;2018/05/02
Homa Bay;Homa Bay Town;NA;0;0;56;0;0;1200;1;2005/05/31
Nairobi;NA;NA;4;3;0;0;0;0;1;2016/04/29
Meru;Igembe North;NA;2;0;0;0;0;0;1;2012/10/14
Meru;Igembe South;NA;2;0;0;0;0;0;1;2012/10/14
Kajiado;Isinya;NA;14;0;0;0;0;0;1;2013/12/15
Kajiado;Isinya;NA;0;0;0;0;0;0;1;2016/02/11
Isiolo;NA;NA;0;0;0;0;20;0;1;2015/12/15
Isiolo;NA;NA;4;0;0;0;1260;0;1;2018/03/15
Homa Bay;Ndhiwa;NA;2;2;0;0;0;0;1;2015/05/02
Turkana;NA;NA;1;0;0;0;0;0;1;2018/04/19
Kajiado;Kajiado East;NA;3;0;0;0;0;0;1;2009/11/04
Kajiado;Kajiado East;NA;2;0;0;0;0;0;1;2010/05/14
Kajiado;Kajiado East;NA;2;0;0;0;0;0;1;2018/01/03
Kajiado;Kajiado East;NA;3;0;0;0;0;0;1;2018/05/02
Kajiado;Kajiado North;NA;3;0;0;0;0;0;1;2010/01/06
Bungoma;NA;NA;2;0;0;0;5;0;1;2010/04/21
Turkana;Turkana Central;NA;0;2;0;0;0;0;1;2015/11/19
Turkana;Turkana North;NA;6;0;0;0;400;0;1;2010/03/08
Turkana;Turkana West;Kalobeyei;0;4;0;0;0;0;1;2018/04/15
Taita Tave;Voi;Kaloleni;1;0;0;0;0;0;1;2015/11/18
Nairobi;NA;NA;0;6;0;0;0;0;1;2012/04/25
Homa Bay;NA;NA;0;0;6;0;0;0;1;2010/04/25
Laikipia;NA;NA;1;0;0;0;0;0;1;2010/05/14
Murang'a;Kangema;NA;2;0;0;0;0;0;1;2018/03/07
Kitui;Kitui Rural;Kanyangi;1;0;0;0;0;0;1;2018/04/13
Bungoma;NA;NA;0;1;0;0;0;0;1;2018/05/14
Elgeyo-Mar;Keiyo South;Kaptarakwa;9;9;0;12;72;0;1;2013/01/15
Kisumu;NA;NA;0;0;0;0;0;0;1;2006/05/19
Marsabit;NA;NA;1;0;0;0;0;0;1;2018/06/09
Marsabit;Mandera West;Kargi/ South Horr;0;43;0;0;0;0;1;2019/03/09
Turkana;NA;NA;25;0;0;0;0;0;1;2013/04/18
Garissa;Balambala ;NA;0;0;0;0;0;0;1;2019/04/28
Turkana;Turkana South;Katilu;17;0;0;0;0;0;1;2008/10/04
Nairobi;Kibra;NA;2;0;0;0;0;0;1;2019/04/23
Kiambu;NA;NA;0;2;0;0;0;0;1;2018/04/18
Kisii;Kenyenya;NA;3;0;0;0;0;0;1;2012/05/20
Embu;Mbeere South;Kiambere;3;2;0;0;0;0;1;2018/03/07
Kiambu;Kiambu;NA;12;0;0;0;0;0;1;2002/11/17
Nyeri;Mukurweini;NA;1;0;0;0;0;0;1;2018/05/04
Nairobi;Kibra;NA;0;0;97;0;0;0;1;2012/04/27
Nyeri;Kieni;NA;4;0;0;0;0;0;1;2012/06/11
Murang'a;Kigumo;Kigumo;0;9;0;0;0;0;1;2018/05/15
Kilifi;NA;NA;0;0;0;0;0;0;1;2018/03/17
Kilifi;NA;NA;5;0;25;0;100;288;1;2006/11/08
Taita Tave;NA;NA;0;0;5;0;0;0;1;2012/04/06
Nyandarua;Kinangop;NA;7;0;0;0;0;0;1;2018/04/23
Makueni;NA;NA;1;0;0;0;0;0;1;2015/04/14
Mombasa;NA;Kipevu;0;1;0;0;0;0;1;2015/11/16
Kericho;kipkelion west sub county;Kipkelion;0;1;0;0;176;0;1;2015/12/16
Kajiado;Kajiado North;NA;1;0;0;0;0;0;1;2013/03/21
Kisii;NA;NA;0;0;0;0;0;0;1;2015/11/12
Kisumu;NA;NA;7;0;0;0;466;0;1;2010/04/07
Kisumu;NA;NA;0;0;0;0;0;453;1;2005/05/31
Trans Nzoi;NA;NA;1;0;0;0;0;0;1;2012/05/08
Trans Nzoi;NA;NA;1;0;0;0;0;0;1;2012/06/11
Kajiado;NA;NA;0;0;0;0;459;0;1;2012/05/08
Makueni;NA;NA;0;0;0;0;0;0;1;2015/04/16
Elgeyo-Mar;NA;NA;10;0;0;0;0;0;1;2010/04/30
Kitui;NA;NA;80;0;0;0;0;0;1;2004/07/01
Kitui;NA;NA;4;0;0;0;0;0;1;2018/05/13
Kericho;Konoin;NA;3;0;0;0;0;0;1;2012/05/15
Wajir;Wajir North;Korondile;0;0;0;0;0;0;1;2018/04/17
Kericho;Kipkelion West ;Kunyak;1;2;0;0;0;0;1;2018/05/01
Kakamega;NA;NA;20;0;0;0;0;0;1;2007/08/10
Kwale;NA;NA;1;0;0;0;75;2500;1;2006/11/09
Kwale;NA;NA;1;0;0;0;0;0;1;2015/11/23
Mandera;NA;NA;1;0;0;0;0;0;1;2018/05/06
Isiolo;NA;NA;3;0;0;0;0;0;1;2012/10/13
Garissa;Lagdera;NA;6;0;0;0;130;0;1;2018/03/18
Laikipia;NA;NA;1;0;0;0;0;0;1;2012/06/11
Marsabit;Laisamis;Laisamis;0;0;0;0;0;0;1;2017/05/03
Marsabit;Laisamis;Laisamis;2;0;0;0;0;0;1;2017/11/07
Kiambu;Limuru;NA;0;0;300;0;0;0;1;2003/06/27
Turkana;Turkana South;NA;2;0;0;0;0;0;1;2017/05/01
Samburu;Samburu East;NA;1;0;0;0;0;0;1;2012/05/04
Turkana;Turkana Central;Lodwar Township;0;0;20;0;0;0;1;2014/11/26
Marsabit;Laisamis;Loiyangalani;0;0;7;0;0;0;1;2012/04/20
West Pokot;NA;NA;0;1;0;0;0;0;1;2017/10/20
Turkana;Turkana West;Lokichoggio;4;0;0;0;0;0;1;2015/12/08
Narok;NA;London;2;0;0;0;0;0;1;2018/03/18
Nairobi;Mathare;NA;2;0;0;0;0;0;1;2012/12/27
Narok;NA;Mai Mahiu;0;2;0;0;0;0;1;2018/03/13
Nairobi;Embakasi South;NA;1;14;0;0;0;0;1;2015/05/13
Narok;NA;Majengo;1;0;0;0;0;0;1;2015/12/19
Narok;NA;Majengo;1;0;0;0;0;0;1;2018/03/13
Homa Bay;NA;NA;3;0;0;0;0;0;1;2018/03/19
Nairobi;NA;NA;2;0;0;0;0;0;1;2010/04/07
Mandera;NA;NA;16;0;0;0;0;0;1;2009/10/29
Mandera;NA;NA;0;0;0;0;0;2000;1;2006/11/15
Mandera;NA;NA;3;0;0;0;800;0;1;2010/05/14
Elgeyo-Mar;NA;NA;12;10;0;0;0;0;1;2010/05/14
Samburu;Samburu West;Maralal;3;0;0;0;0;0;1;2006/05/17
Tana River;NA;NA;0;0;2;0;0;0;1;2008/11/25
Uasin Gish;NA;NA;1;0;0;0;5;0;1;2010/04/07
Baringo;Baringo South;Marigat;6;0;0;0;0;0;1;2002/12/21
Baringo;Baringo South;Marigat;1;0;0;0;0;0;1;2012/06/11
Marsabit;NA;NA;1;0;0;0;0;0;1;2015/12/08
Marsabit;NA;NA;0;0;0;0;0;0;1;2016/06/22
Marsabit;Saku;NA;1;0;0;0;0;0;1;2018/03/04
Marsabit;NA;NA;1;0;0;0;0;0;1;2018/03/19
Marsabit;NA;NA;1;0;0;0;420;0;1;2010/03/07
Marsabit;NA;NA;0;0;0;0;0;0;1;2017/05/02
Makueni;NA;NA;1;0;0;0;0;0;1;2015/05/02
Busia;Matayos;NA;1;0;0;0;0;0;1;2018/03/22
Nairobi;Mathare;NA;1;0;0;0;0;0;1;2012/05/10
Nairobi;Mathare;NA;1;0;0;0;0;0;1;2018/05/20
Nairobi;NA;NA;8;8;0;0;66;0;1;2012/06/11
Nairobi;Ruaraka;Mathare North;1;0;0;0;643;0;1;2012/06/11
Nairobi;Ruaraka;NA;9;0;0;0;0;100;1;2002/05/14
Wajir;NA;NA;2;0;0;0;0;0;1;2018/04/29
Kwale;NA;NA;1;1;0;0;0;0;1;2018/03/18
Meru;Igembe South;Maua;2;0;0;0;0;0;1;2010/05/14
Laikipia;NA;NA;0;2;0;0;0;0;1;2018/02/20
Isiolo;NA;NA;0;0;0;0;0;0;1;2005/05/31
Meru;NA;NA;1;0;0;0;0;0;1;2012/06/11
Migori;NA;NA;0;0;0;0;0;6000;1;2003/06/27
Mombasa;jomvu;Mikindani;0;0;15;0;0;0;1;2014/11/02
Mombasa;jomvu;Mikindani;0;3;0;0;0;0;1;2015/11/18
Kilifi;Malindi;NA;0;0;0;0;5;0;1;2015/11/17
Kilifi;NA;NA;0;0;25;0;0;0;1;2006/05/20
Mombasa;likoni;NA;1;0;0;0;0;0;1;2004/12/26
Mombasa;likoni;NA;5;0;5;0;65;0;1;2006/11/07
Mombasa;likoni;NA;1;0;0;0;0;0;1;2015/05/31
Mombasa;likoni;NA;1;2;0;0;0;0;1;2016/04/16
Trans Nzoi;NA;NA;2;0;0;0;0;0;1;2012/06/11
Marsabit;Moyale;NA;1;0;0;0;0;0;1;2016/04/10
Marsabit;Moyale;NA;0;0;0;0;0;3000;1;2006/11/13
Marsabit;NA;NA;6;0;0;0;156;0;1;2010/04/07
Bungoma;Mt. Elgon ;Chesikaki ;5;0;0;0;0;0;1;2015/11/10
Bungoma;NA;NA;2;0;0;0;0;0;1;2018/06/09
Nairobi;NA;NA;1;1;0;0;0;0;1;2014/10/18
Nairobi;NA;NA;1;0;0;0;0;0;1;2018/05/13
Nyeri;Mukurweini;NA;0;4;4;0;0;0;1;2015/05/09
Nyeri;NA;NA;2;0;0;0;150;0;1;2010/05/05
Kakamega;NA;NA;0;0;0;0;0;500;1;2006/05/17
Kakamega;NA;NA;1;0;0;8;0;0;1;2014/03/28
Kakamega;Mumias East;NA;1;0;0;0;0;0;1;2018/03/20
Murang'a;Kangema;NA;0;0;0;0;0;0;1;2018/04/29
Murang'a;NA;NA;0;0;54;0;0;0;1;2018/06/09
Murang'a;NA;NA;1;0;0;0;0;0;1;2016/05/19
Kitui;NA;Mutomo;2;0;0;0;0;0;1;2019/04/27
Taita Tave;Mwatate;Mwatate;1;0;0;0;0;0;1;2015/11/23
Kirinyaga;Mwea;Mwea;0;1;0;0;100;0;1;2018/04/20
Bungoma;Sirisia ;NA;3;1;0;0;0;0;1;2012/05/16
Nairobi;NA;NA;4;0;0;0;0;0;1;2001/01/13
Nairobi;NA;NA;2;0;0;0;0;0;1;2002/04/29
Nairobi;NA;NA;0;1;0;0;0;0;1;2016/04/28
Nairobi;NA;NA;2;0;0;0;0;0;1;2016/05/19
Nairobi;NA;NA;4;0;0;0;0;0;1;2010/01/06
Nairobi;NA;NA;2;0;0;0;0;0;1;2015/04/30
Nakuru;Naivasha;NA;7;0;0;0;0;0;1;2012/06/11
Mombasa;likoni;NA;1;2;0;0;0;0;1;2017/11/03
Nakuru;NA;NA;1;0;0;0;0;0;1;2018/05/28
Kakamega;Matungu;Namamali;1;0;0;0;0;0;1;2018/05/20
Nandi;NA;NA;0;2;0;0;0;0;1;2015/12/07
Nandi;NA;NA;0;2;0;0;0;0;1;2015/12/12
Narok;NA;NA;0;0;0;0;0;0;1;2015/11/22
Narok;NA;NA;0;0;0;0;0;0;1;2018/04/15
Narok;NA;NA;1;0;0;0;60;0;1;2009/11/04
Narok;NA;NA;1;0;0;0;0;0;1;2015/05/01
Narok;NA;NA;1;0;0;0;0;0;1;2015/05/02
Narok;Narok North;Narok Town;15;0;0;0;0;0;1;2015/04/28
Narok;Narok North;Narok Town;9;8;0;0;0;0;1;2015/04/29
Narok;Narok North;Narok Town;11;8;0;0;0;0;1;2015/05/02
Narok;Narok North;Narok Town;0;0;0;0;0;0;1;2015/11/25
Narok;NA;NA;11;0;36;20;0;0;1;2015/04/28
Narok;NA;NA;0;0;0;0;0;0;1;2016/04/19
Kakamega;Navakholo;NA;1;9;0;0;0;0;1;2018/05/26
Machakos;NA;NA;0;4;0;0;0;0;1;2012/04/25
Narok;NA;NA;1;0;0;0;0;0;1;2018/03/27
Kajiado;NA;NA;2;0;0;0;0;0;1;2015/05/05
Nandi;NA;NA;0;0;0;0;0;0;1;2015/12/18
Kajiado;NA;NA;1;0;0;0;0;0;1;2018/03/20
Kajiado;Kajiado North;Ngong;4;0;0;0;0;0;1;2012/06/11
Makueni;NA;NA;1;0;0;0;0;0;1;2015/11/15
Kajiado;NA;NA;4;0;0;0;0;0;1;2012/05/05
Marsabit;Laisamis;North Horr;0;0;0;0;0;0;1;2016/05/29
Kisumu;Nyakach;NA;1;0;0;0;25;0;1;2014/08/08
Kisumu;NA;NA;1;0;0;0;0;0;1;2018/05/30
Isiolo;NA;NA;1;0;0;0;0;0;1;2010/04/30
Nyandarua;NA;NA;1;0;0;0;0;0;1;2012/06/11
Migori;Kuria West;NA;1;0;0;0;0;0;1;2014/11/03
Homa Bay;Nyatike;NA;0;0;25;0;0;0;1;2008/11/29
Migori;Nyatike;NA;5;0;0;0;0;0;1;2006/05/17
Migori;Nyatike;NA;0;1;0;0;0;0;1;2015/11/19
Migori;Nyatike;NA;1;0;0;0;0;0;1;2018/05/16
Nyeri;Nyeri Town;NA;1;2;0;0;456;0;1;2012/06/11
Makueni;NA;NA;2;0;0;0;0;0;1;2018/04/23
Tana River;NA;NA;1;0;0;15;0;0;1;2012/04/14
Kajiado;NA;NA;1;0;0;0;0;0;1;2014/02/16
Narok;NA;NA;1;2;0;0;0;0;1;2015/12/17
Narok;NA;NA;1;0;0;0;0;0;1;2008/12/15
Mombasa;NA;NA;6;0;0;0;0;0;1;2017/05/08
West Pokot;NA;NA;10;0;0;0;0;0;1;2008/11/08
West Pokot;NA;NA;4;0;0;0;7;0;1;2010/05/14
Homa Bay;NA;NA;0;0;420;0;0;2268;1;2005/05/31
Homa Bay;Rangwe;NA;7;3;0;0;0;0;1;2015/04/11
Nakuru;NA;NA;3;0;0;0;0;0;1;2010/03/02
Kisumu;Nyakach;NA;1;0;0;0;0;0;1;2018/05/01
Homa Bay;NA;NA;3;0;0;0;0;0;1;2014/03/26
Kisumu;NA;NA;1;0;0;0;0;0;1;2018/03/27
Kajiado;NA;NA;1;0;0;0;0;0;1;2013/03/20
Migori;NA;NA;1;0;0;0;0;0;1;2015/11/19
Kwale;Msambweni;NA;1;0;0;0;0;0;1;2015/06/02
Baringo;NA;NA;1;0;0;0;430;0;1;2018/09/08
Kajiado;Rongai;NA;0;5;0;0;0;0;1;2013/03/31
Nairobi;Kasarani;Ruai;2;0;0;0;0;0;1;2014/03/25
Kiambu;Ruiru;NA;0;1;0;0;0;0;1;2013/12/09
Uasin Gish;NA;NA;1;0;0;0;0;0;1;2010/05/14
Trans Nzoi;Kwanza;NA;1;0;0;0;0;0;1;2010/09/03
Baringo;NA;NA;4;0;0;0;0;0;1;2008/07/01
Samburu;Samburu East;NA;1;0;0;0;0;0;1;2012/05/12
Samburu;Samburu East;NA;2;0;0;0;0;0;1;2018/03/18
West Pokot;NA;NA;0;0;0;0;0;0;1;2015/04/11
Samburu;Samburu East;NA;0;0;0;0;0;0;1;2015/11/29
Mandera;NA;NA;0;0;0;0;568;0;1;2010/04/29
Baringo;NA;NA;4;4;0;51;131;0;1;2013/01/15
Nakuru;Rongai;Solai;45;0;0;0;500;0;1;2018/05/13
Marsabit;Moyale;Sololo;1;0;0;0;0;0;1;2014/05/14
Mombasa;NA;NA;1;0;0;0;0;0;1;2017/05/09
Nairobi;NA;NA;9;6;0;0;0;0;1;2015/05/12
Kisii;NA;NA;1;0;0;0;0;0;1;2012/06/11
Uasin Gish;Soy;Soy;5;0;0;51;131;0;1;2014/03/07
Homa Bay;NA;NA;1;4;0;0;0;0;1;2015/11/10
Nairobi;NA;NA;10;0;0;0;0;0;1;2012/06/11
Makueni;Makueni;NA;2;0;0;0;0;0;1;2018/04/10
Taita Tave;NA;NA;0;0;0;0;0;0;1;2017/05/03
Machakos;Mavoko;Syokimau/Mulolongo;1;0;0;0;0;0;1;2015/11/10
Taita Tave;Voi;NA;1;0;0;0;0;0;1;2013/03/21
Mandera;Mandera West;Takaba;1;0;0;0;0;0;1;2017/04/19
Tana River;NA;NA;16;0;0;0;0;0;1;2008/06/13
Tana River;NA;NA;0;0;0;0;0;0;1;2016/05/04
Kilifi;NA;NA;0;0;0;0;0;0;1;2017/11/19
Tana River;NA;NA;0;0;0;0;0;5300;1;2003/06/27
Taita Tave;Taveta;NA;1;0;0;0;0;0;1;2018/03/05
Taita Tave;NA;NA;0;0;0;0;0;0;1;2015/11/17
Kiambu;NA;NA;0;0;0;0;0;300;1;2003/06/27
Baringo;Tiaty;NA;2;0;0;0;0;0;1;2018/05/28
Laikipia;NA;NA;0;0;10;20;10;0;1;2010/04/25
Nandi;Tinderet;NA;1;0;0;0;0;0;1;2007/01/10
Nairobi;Embakasi East;NA;1;0;0;0;0;0;1;2012/12/27
Turkana;NA;NA;11;0;0;0;282;0;1;2013/04/22
Turkana;NA;NA;6;0;0;0;850;0;1;2014/10/22
Turkana;Turkana East;NA;5;0;6666;6664;0;0;1;2009/11/04
Turkana;Turkana South ;NA;0;0;0;0;0;0;1;2010/04/01
Siaya;Alego Usonga;Usonga;0;0;0;0;0;400;1;2008/11/25
Taita Tave;Voi;NA;4;0;0;0;0;0;1;2007/12/12
Taita Tave;Voi;NA;0;0;30;0;0;0;1;2012/05/26
Taita Tave;Voi;NA;0;0;0;0;51;0;1;2015/11/16
Wajir;NA;NA;0;0;278;0;0;0;1;2017/05/05
Wajir;NA;NA;0;0;0;0;0;71160;1;2008/11/25
Wajir;NA;NA;1;0;0;0;0;0;1;2017/11/08
Mandera;Mandera South;Wargadud;0;50;27;0;6500;0;1;2018/05/06
West Pokot;NA;NA;5;0;0;0;0;0;1;2012/06/11
Kakamega;NA;NA;1;0;0;0;0;0;1;2012/06/11
Busia;NA;NA;100;0;0;0;0;0;1;2010/05/08
