"adminLevel","placeCode","indicator","value"
"3","020803201","population",3859
"3","020803202","population",3213
"3","020803203","population",7399
"3","020803204","population",13056
"3","020803205","population",15173
"3","020803207","population",2943
"3","020803206","population",13645
"3","020803213","population",1850
"3","020803212","population",8824
"3","020803211","population",9835
"3","020803210","population",7919
"3","020803209","population",9050
"3","070509505","population",21578
"3","070509716","population",8995
"3","070509501","population",23988
"3","070509502","population",8139
"3","070509506","population",12181
"3","070509507","population",10381
"3","070509508","population",32947
"3","070509503","population",9749
"3","070509504","population",18201
"3","070509714","population",9754
"3","070509713","population",17716
"3","070509712","population",13368
"3","070509711","population",13231
"3","070509715","population",10648
"3","070509710","population",18187
"3","070509709","population",17639
"3","070509717","population",6105
"3","070610115","population",5070
"3","070610210","population",4323
"3","070610201","population",5118
"3","070610202","population",1546
"3","070610203","population",4271
"3","070610208","population",12284
"3","070610204","population",4143
"3","070610207","population",1616
"3","070610205","population",9806
"3","070610209","population",5834
"3","070610111","population",5698
"3","070610118","population",10127
"3","070610117","population",1320
"3","070610116","population",1554
"3","070610120","population",7991
"3","070610122","population",5367
"3","070610121","population",7333
"3","070610119","population",9216
"3","070610112","population",2861
"3","070610113","population",9235
"3","070610114","population",3861
"3","070309002","population",44352
"3","070309109","population",10118
"3","070809212","population",3768
"3","070309001","population",39157
"3","070309003","population",30273
"3","070309005","population",10478
"3","070309006","population",24400
"3","070309008","population",36172
"3","070309007","population",14290
"3","070309113","population",19016
"3","070309112","population",12445
"3","070309115","population",9183
"3","070309114","population",5835
"3","070309111","population",6978
"3","070309117","population",4304
"3","070309116","population",5800
"3","070309110","population",7346
"3","070309004","population",13330
"3","070409322","population",8511
"3","070409412","population",15129
"3","070409401","population",6333
"3","070409402","population",6030
"3","070409403","population",7077
"3","070409404","population",4186
"3","070409405","population",4840
"3","070409409","population",4188
"3","070409410","population",1476
"3","070409406","population",9690
"3","070409407","population",4005
"3","070409408","population",4416
"3","070409413","population",8759
"3","070409411","population",11307
"3","070409314","population",6325
"3","070409318","population",10090
"3","070409317","population",7846
"3","070409315","population",12327
"3","070409316","population",1412
"3","070409319","population",7156
"3","070409321","population",8513
"3","070208809","population",6608
"3","070208922","population",13752
"3","070208801","population",4083
"3","070208802","population",7240
"3","070208803","population",3823
"3","070208804","population",10166
"3","070208805","population",4705
"3","070208808","population",8701
"3","070208810","population",2904
"3","070208806","population",829
"3","070208807","population",1387
"3","070208811","population",3049
"3","020101507","population",10896
"3","020101502","population",7068
"3","020101505","population",1613
"3","020101513","population",6083
"3","020101506","population",25734
"3","020101512","population",1627
"3","020101516","population",822
"3","020101515","population",292
"3","020101518","population",885
"3","020101517","population",1231
"3","020101520","population",1142
"3","020101519","population",2018
"3","020101521","population",3825
"3","020101522","population",3164
