index,countryCodeISO3,adminLevel,placeCode,indicator,value
292,ETH,3,ET030413,populationTotal,181368
293,ETH,3,ET030414,populationTotal,173392
294,ETH,3,ET030415,populationTotal,144305
295,ETH,3,ET030416,populationTotal,194970
296,ETH,3,ET030417,populationTotal,227806
297,ETH,3,ET030418,populationTotal,310736
298,ETH,3,ET030419,populationTotal,104720
299,ETH,3,ET030420,populationTotal,112541
300,ETH,3,ET030421,populationTotal,205958
301,ETH,3,ET030422,populationTotal,134404
302,ETH,3,ET030423,populationTotal,9283
303,ETH,3,ET030424,populationTotal,12176
304,ETH,3,ET030425,populationTotal,10433
305,ETH,3,ET030426,populationTotal,3583
306,ETH,3,ET030427,populationTotal,13984
307,ETH,3,ET030428,populationTotal,3685
308,ETH,3,ET030429,populationTotal,11006
309,ETH,3,ET030498,populationTotal,3472
310,ETH,3,ET030499,populationTotal,14779
311,ETH,3,ET030501,populationTotal,133855
312,ETH,3,ET030502,populationTotal,169024
313,ETH,3,ET030503,populationTotal,90532
314,ETH,3,ET030504,populationTotal,130051
315,ETH,3,ET030505,populationTotal,160143
316,ETH,3,ET030506,populationTotal,87817
317,ETH,3,ET030507,populationTotal,110068
318,ETH,3,ET030508,populationTotal,146755
319,ETH,3,ET030509,populationTotal,115476
320,ETH,3,ET030510,populationTotal,112410
321,ETH,3,ET030511,populationTotal,99342
322,ETH,3,ET030512,populationTotal,150713
323,ETH,3,ET030513,populationTotal,115845
324,ETH,3,ET030514,populationTotal,67600
325,ETH,3,ET030515,populationTotal,110776
326,ETH,3,ET030516,populationTotal,74718
327,ETH,3,ET030517,populationTotal,51176
328,ETH,3,ET030518,populationTotal,175308
329,ETH,3,ET030519,populationTotal,145135
330,ETH,3,ET030520,populationTotal,123258
331,ETH,3,ET030521,populationTotal,67178
332,ETH,3,ET030522,populationTotal,26124
333,ETH,3,ET030523,populationTotal,82849
334,ETH,3,ET030524,populationTotal,7198
335,ETH,3,ET030525,populationTotal,10395
336,ETH,3,ET030526,populationTotal,8188
337,ETH,3,ET030527,populationTotal,8742
338,ETH,3,ET030595,populationTotal,23131
339,ETH,3,ET030597,populationTotal,14783
340,ETH,3,ET030598,populationTotal,11794
341,ETH,3,ET030599,populationTotal,14788
342,ETH,3,ET030601,populationTotal,115324
343,ETH,3,ET030602,populationTotal,395320
344,ETH,3,ET030603,populationTotal,120695
345,ETH,3,ET030604,populationTotal,165462
346,ETH,3,ET030605,populationTotal,223739
347,ETH,3,ET030606,populationTotal,213560
348,ETH,3,ET030607,populationTotal,179073
349,ETH,3,ET030608,populationTotal,121189
350,ETH,3,ET030609,populationTotal,165337
351,ETH,3,ET030610,populationTotal,211673
