id,placeCode,value,countryCodeISO3,indicator,adminLevel
302,ET030707,3302,ETH,total_idps,3
303,ET050307,0,ETH,total_idps,3
304,ET050302,1448,ETH,total_idps,3
305,ET050301,0,ETH,total_idps,3
306,ET040815,127,ETH,total_idps,3
307,ET040605,0,ETH,total_idps,3
308,ET010604,0,ETH,total_idps,3
309,ET030803,134,ETH,total_idps,3
310,ET030613,0,ETH,total_idps,3
311,ET030698,0,ETH,total_idps,3
312,ET050991,32160,ETH,total_idps,3
313,ET030406,0,ETH,total_idps,3
314,ET030708,0,ETH,total_idps,3
315,ET050102,749,ETH,total_idps,3
316,ET060404,79,ETH,total_idps,3
317,ET071502,0,ETH,total_idps,3
318,ET030717,0,ETH,total_idps,3
319,ET041806,0,ETH,total_idps,3
320,ET040510,73,ETH,total_idps,3
321,ET030209,97,ETH,total_idps,3
322,ET040602,0,ETH,total_idps,3
323,ET072304,22420,ETH,total_idps,3
324,ET030418,0,ETH,total_idps,3
325,ET030409,0,ETH,total_idps,3
326,ET031001,0,ETH,total_idps,3
327,ET031005,183,ETH,total_idps,3
328,ET041220,2100,ETH,total_idps,3
329,ET040317,0,ETH,total_idps,3
330,ET050399,1500,ETH,total_idps,3
331,ET040210,6621,ETH,total_idps,3
332,ET051006,6071,ETH,total_idps,3
333,ET040822,54,ETH,total_idps,3
334,ET070507,0,ETH,total_idps,3
335,ET070505,0,ETH,total_idps,3
336,ET041219,0,ETH,total_idps,3
337,ET120205,0,ETH,total_idps,3
338,ET010115,0,ETH,total_idps,3
339,ET041122,0,ETH,total_idps,3
340,ET041211,0,ETH,total_idps,3
341,ET130106,0,ETH,total_idps,3
342,ET071709,0,ETH,total_idps,3
343,ET071008,0,ETH,total_idps,3
344,ET040902,809,ETH,total_idps,3
345,ET041707,114,ETH,total_idps,3
346,ET041700,0,ETH,total_idps,3
347,ET040805,0,ETH,total_idps,3
348,ET050902,7698,ETH,total_idps,3
349,ET050808,13706,ETH,total_idps,3
350,ET040324,0,ETH,total_idps,3
351,ET070306,0,ETH,total_idps,3
352,ET041291,0,ETH,total_idps,3
353,ET020101,4635,ETH,total_idps,3
354,ET020107,0,ETH,total_idps,3
355,ET040707,0,ETH,total_idps,3
356,ET041515,0,ETH,total_idps,3
357,ET070612,2087,ETH,total_idps,3
358,ET042008,0,ETH,total_idps,3
359,ET020304,8225,ETH,total_idps,3
360,ET070207,656,ETH,total_idps,3
361,ET070308,0,ETH,total_idps,3
362,ET031117,0,ETH,total_idps,3
363,ET031111,0,ETH,total_idps,3
364,ET030208,0,ETH,total_idps,3
365,ET050601,2958,ETH,total_idps,3
366,ET030201,0,ETH,total_idps,3
367,ET010203,0,ETH,total_idps,3
368,ET010311,0,ETH,total_idps,3
369,ET030508,0,ETH,total_idps,3
370,ET010216,0,ETH,total_idps,3
371,ET040511,0,ETH,total_idps,3
372,ET040590,0,ETH,total_idps,3
373,ET050598,1162,ETH,total_idps,3
374,ET050698,1407,ETH,total_idps,3
375,ET020102,2056,ETH,total_idps,3
376,ET050804,2695,ETH,total_idps,3
377,ET041295,0,ETH,total_idps,3
378,ET051002,4826,ETH,total_idps,3
379,ET010404,0,ETH,total_idps,3
380,ET010219,0,ETH,total_idps,3
381,ET070116,0,ETH,total_idps,3
382,ET030605,0,ETH,total_idps,3
383,ET010114,0,ETH,total_idps,3
384,ET010218,0,ETH,total_idps,3
385,ET010405,0,ETH,total_idps,3
386,ET010602,0,ETH,total_idps,3
387,ET070108,0,ETH,total_idps,3
388,ET030604,203,ETH,total_idps,3
389,ET030606,0,ETH,total_idps,3
390,ET070111,0,ETH,total_idps,3
391,ET070120,0,ETH,total_idps,3
392,ET030503,1211,ETH,total_idps,3
393,ET010220,0,ETH,total_idps,3
394,ET020201,787,ETH,total_idps,3
395,ET130105,0,ETH,total_idps,3
396,ET050104,16064,ETH,total_idps,3
397,ET010302,0,ETH,total_idps,3
398,ET020402,2872,ETH,total_idps,3
399,ET070103,0,ETH,total_idps,3
400,ET071007,0,ETH,total_idps,3
401,ET030905,0,ETH,total_idps,3
402,ET030204,202,ETH,total_idps,3
403,ET041005,13335,ETH,total_idps,3
404,ET040701,4616,ETH,total_idps,3
405,ET050607,0,ETH,total_idps,3
406,ET040613,0,ETH,total_idps,3
407,ET050402,0,ETH,total_idps,3
408,ET050901,37620,ETH,total_idps,3
409,ET030714,100,ETH,total_idps,3
410,ET030203,0,ETH,total_idps,3
411,ET010313,0,ETH,total_idps,3
412,ET050199,17037,ETH,total_idps,3
413,ET071801,0,ETH,total_idps,3
414,ET071016,0,ETH,total_idps,3
415,ET040113,0,ETH,total_idps,3
416,ET050703,10360,ETH,total_idps,3
417,ET050799,2460,ETH,total_idps,3
418,ET120200,0,ETH,total_idps,3
419,ET120206,658,ETH,total_idps,3
420,ET120202,0,ETH,total_idps,3
421,ET010304,0,ETH,total_idps,3
422,ET051003,11301,ETH,total_idps,3
423,ET071018,0,ETH,total_idps,3
424,ET041106,154,ETH,total_idps,3
425,ET050304,15180,ETH,total_idps,3
426,ET041804,0,ETH,total_idps,3
427,ET030804,159,ETH,total_idps,3
428,ET030312,0,ETH,total_idps,3
429,ET041606,0,ETH,total_idps,3
430,ET070506,0,ETH,total_idps,3
431,ET041706,185,ETH,total_idps,3
432,ET070511,0,ETH,total_idps,3
433,ET070104,0,ETH,total_idps,3
434,ET020305,11468,ETH,total_idps,3
435,ET042098,0,ETH,total_idps,3
436,ET041517,41780,ETH,total_idps,3
437,ET040912,80,ETH,total_idps,3
438,ET071704,0,ETH,total_idps,3
439,ET031292,0,ETH,total_idps,3
440,ET150110,0,ETH,total_idps,3
441,ET040408,1331,ETH,total_idps,3
442,ET010317,0,ETH,total_idps,3
443,ET020110,10559,ETH,total_idps,3
444,ET040606,0,ETH,total_idps,3
445,ET071013,0,ETH,total_idps,3
446,ET070902,0,ETH,total_idps,3
447,ET070617,0,ETH,total_idps,3
448,ET070113,0,ETH,total_idps,3
449,ET020303,8087,ETH,total_idps,3
450,ET070903,0,ETH,total_idps,3
451,ET071505,0,ETH,total_idps,3
452,ET070210,0,ETH,total_idps,3
453,ET040203,2000,ETH,total_idps,3
454,ET041809,0,ETH,total_idps,3
455,ET030303,0,ETH,total_idps,3
456,ET071106,0,ETH,total_idps,3
457,ET040103,141,ETH,total_idps,3
458,ET040193,992,ETH,total_idps,3
459,ET040705,0,ETH,total_idps,3
460,ET070213,0,ETH,total_idps,3
461,ET070904,0,ETH,total_idps,3
462,ET040501,0,ETH,total_idps,3
463,ET042103,456,ETH,total_idps,3
464,ET042107,0,ETH,total_idps,3
465,ET041016,600,ETH,total_idps,3
466,ET041410,390,ETH,total_idps,3
467,ET030506,0,ETH,total_idps,3
468,ET041110,0,ETH,total_idps,3
469,ET070912,0,ETH,total_idps,3
470,ET040907,0,ETH,total_idps,3
471,ET041120,57,ETH,total_idps,3
472,ET040208,0,ETH,total_idps,3
473,ET050899,5410,ETH,total_idps,3
474,ET050604,4394,ETH,total_idps,3
475,ET120301,0,ETH,total_idps,3
476,ET050696,0,ETH,total_idps,3
477,ET120203,4297,ETH,total_idps,3
478,ET050595,2777,ETH,total_idps,3
479,ET050290,0,ETH,total_idps,3
480,ET041017,844,ETH,total_idps,3
481,ET040803,2460,ETH,total_idps,3
482,ET042101,60,ETH,total_idps,3
483,ET040407,0,ETH,total_idps,3
484,ET070202,0,ETH,total_idps,3
485,ET041223,0,ETH,total_idps,3
486,ET030603,0,ETH,total_idps,3
487,ET031118,0,ETH,total_idps,3
488,ET031110,0,ETH,total_idps,3
489,ET030718,0,ETH,total_idps,3
490,ET041413,4013,ETH,total_idps,3
491,ET160011,0,ETH,total_idps,3
492,ET071803,0,ETH,total_idps,3
493,ET041116,0,ETH,total_idps,3
494,ET041312,0,ETH,total_idps,3
495,ET050903,6176,ETH,total_idps,3
496,ET041010,3131,ETH,total_idps,3
497,ET041089,623,ETH,total_idps,3
498,ET050198,3924,ETH,total_idps,3
499,ET030907,264,ETH,total_idps,3
500,ET030904,9328,ETH,total_idps,3
501,ET060202,0,ETH,total_idps,3
502,ET030307,395,ETH,total_idps,3
503,ET041290,70129,ETH,total_idps,3
504,ET040109,0,ETH,total_idps,3
505,ET041903,0,ETH,total_idps,3
506,ET140110,0,ETH,total_idps,3
507,ET020405,1087,ETH,total_idps,3
508,ET040119,0,ETH,total_idps,3
509,ET010301,0,ETH,total_idps,3
510,ET040416,132,ETH,total_idps,3
511,ET040991,9432,ETH,total_idps,3
512,ET070109,0,ETH,total_idps,3
513,ET041497,10703,ETH,total_idps,3
514,ET040819,0,ETH,total_idps,3
515,ET030212,119,ETH,total_idps,3
516,ET050305,2691,ETH,total_idps,3
517,ET070618,0,ETH,total_idps,3
518,ET041115,1152,ETH,total_idps,3
519,ET050904,32504,ETH,total_idps,3
520,ET071102,4283,ETH,total_idps,3
521,ET041003,10851,ETH,total_idps,3
522,ET050202,10778,ETH,total_idps,3
523,ET040213,0,ETH,total_idps,3
524,ET030610,562,ETH,total_idps,3
525,ET040908,298,ETH,total_idps,3
526,ET030308,92,ETH,total_idps,3
527,ET020505,1695,ETH,total_idps,3
528,ET070312,0,ETH,total_idps,3
529,ET070305,0,ETH,total_idps,3
530,ET050106,7441,ETH,total_idps,3
531,ET150112,0,ETH,total_idps,3
532,ET030516,0,ETH,total_idps,3
533,ET010605,0,ETH,total_idps,3
534,ET010217,0,ETH,total_idps,3
535,ET130104,1589,ETH,total_idps,3
536,ET040319,0,ETH,total_idps,3
537,ET041509,0,ETH,total_idps,3
538,ET070704,0,ETH,total_idps,3
539,ET050404,0,ETH,total_idps,3
540,ET020307,5837,ETH,total_idps,3
541,ET051096,0,ETH,total_idps,3
542,ET050299,0,ETH,total_idps,3
543,ET041111,0,ETH,total_idps,3
544,ET050806,4951,ETH,total_idps,3
545,ET040204,6496,ETH,total_idps,3
546,ET041006,1591,ETH,total_idps,3
547,ET041490,0,ETH,total_idps,3
548,ET041019,0,ETH,total_idps,3
549,ET050298,0,ETH,total_idps,3
550,ET050207,507,ETH,total_idps,3
551,ET040114,0,ETH,total_idps,3
552,ET041801,0,ETH,total_idps,3
553,ET160018,213,ETH,total_idps,3
554,ET160002,875,ETH,total_idps,3
555,ET160023,0,ETH,total_idps,3
556,ET040915,352,ETH,total_idps,3
557,ET010305,0,ETH,total_idps,3
558,ET010312,0,ETH,total_idps,3
559,ET041783,0,ETH,total_idps,3
560,ET040603,40,ETH,total_idps,3
561,ET050597,384,ETH,total_idps,3
562,ET030499,0,ETH,total_idps,3
563,ET010603,0,ETH,total_idps,3
564,ET040807,79,ETH,total_idps,3
565,ET070619,0,ETH,total_idps,3
566,ET160031,0,ETH,total_idps,3
567,ET042020,0,ETH,total_idps,3
568,ET040117,0,ETH,total_idps,3
569,ET060307,0,ETH,total_idps,3
570,ET041901,0,ETH,total_idps,3
571,ET041912,0,ETH,total_idps,3
572,ET051095,0,ETH,total_idps,3
573,ET070211,0,ETH,total_idps,3
574,ET051104,62734,ETH,total_idps,3
575,ET072008,1248,ETH,total_idps,3
576,ET030602,0,ETH,total_idps,3
577,ET160007,0,ETH,total_idps,3
578,ET070604,627,ETH,total_idps,3
579,ET040316,0,ETH,total_idps,3
580,ET040202,0,ETH,total_idps,3
581,ET040519,0,ETH,total_idps,3
582,ET040500,0,ETH,total_idps,3
583,ET041305,0,ETH,total_idps,3
584,ET010108,0,ETH,total_idps,3
585,ET030996,0,ETH,total_idps,3
586,ET040824,0,ETH,total_idps,3
587,ET071705,0,ETH,total_idps,3
588,ET120407,0,ETH,total_idps,3
589,ET030709,0,ETH,total_idps,3
590,ET070214,0,ETH,total_idps,3
591,ET030414,332,ETH,total_idps,3
592,ET030103,0,ETH,total_idps,3
593,ET041002,7612,ETH,total_idps,3
594,ET040108,0,ETH,total_idps,3
595,ET041908,0,ETH,total_idps,3
596,ET030906,0,ETH,total_idps,3
597,ET040804,0,ETH,total_idps,3
598,ET150206,0,ETH,total_idps,3
599,ET040502,714,ETH,total_idps,3
600,ET040518,0,ETH,total_idps,3
601,ET040615,0,ETH,total_idps,3
602,ET050293,2758,ETH,total_idps,3
603,ET120103,5001,ETH,total_idps,3
604,ET031003,0,ETH,total_idps,3
605,ET040214,0,ETH,total_idps,3
