adminLevel,placeCode,indicator,value,countryCodeISO3
4,UG41080201,cattle,23101,UGA
4,UG41070201,cattle,34381,UGA
4,UG41270101,cattle,30494,UGA
4,UG41050201,cattle,7220,UGA
4,UG41010102,cattle,14386,UGA
4,UG30940101,cattle,24580,UGA
4,UG10140201,cattle,24190,UGA
4,UG41260102,cattle,24098,UGA
4,UG41300101,cattle,34432,UGA
4,UG41030201,cattle,13072,UGA
4,UG41170101,cattle,15688,UGA
4,UG10060201,cattle,6807,UGA
4,UG20290101,cattle,7150,UGA
4,UG41030202,cattle,11586,UGA
4,UG20560101,cattle,30185,UGA
4,UG20540101,cattle,27503,UGA
4,UG20610101,cattle,10664,UGA
4,UG20280101,cattle,8719,UGA
4,UG20280102,cattle,24294,UGA
4,UG10030101,cattle,14043,UGA
4,UG20300201,cattle,39792,UGA
4,UG20430101,cattle,22891,UGA
4,UG20400301,cattle,64822,UGA
4,UG41250101,cattle,76722,UGA
4,UG20290102,cattle,14946,UGA
4,UG20290103,cattle,8322,UGA
4,UG20360101,cattle,19456,UGA
4,UG20540102,cattle,10878,UGA
4,UG20540103,cattle,17875,UGA
4,UG10060202,cattle,19740,UGA
4,UG41070202,cattle,39322,UGA
4,UG41300102,cattle,24369,UGA
4,UG41240101,cattle,16803,UGA
4,UG41240102,cattle,42195,UGA
4,UG41340101,cattle,38415,UGA
4,UG41180101,cattle,41931,UGA
4,UG41330101,cattle,33372,UGA
4,UG41030203,cattle,3800,UGA
4,UG10040101,cattle,5872,UGA
4,UG20380101,cattle,86791,UGA
4,UG20400101,cattle,26666,UGA
4,UG20340101,cattle,6325,UGA
4,UG20610102,cattle,8156,UGA
4,UG20520101,cattle,16375,UGA
4,UG20600101,cattle,43185,UGA
4,UG41350101,cattle,6792,UGA
4,UG41150201,cattle,42718,UGA
4,UG20440201,cattle,49286,UGA
4,UG20310101,cattle,20844,UGA
4,UG41220101,cattle,24803,UGA
4,UG41060101,cattle,17246,UGA
4,UG41090201,cattle,8072,UGA
4,UG41040101,cattle,8437,UGA
4,UG41040102,cattle,17413,UGA
4,UG20350201,cattle,20875,UGA
4,UG20550102,cattle,26743,UGA
4,UG41180102,cattle,34759,UGA
4,UG41180103,cattle,14636,UGA
4,UG20610103,cattle,19725,UGA
4,UG41150202,cattle,14441,UGA
4,UG41330102,cattle,26437,UGA
4,UG10010101,cattle,23508,UGA
4,UG10010102,cattle,16204,UGA
4,UG10060101,cattle,13750,UGA
4,UG41060201,cattle,28727,UGA
4,UG20530102,cattle,58511,UGA
4,UG10170101,cattle,15009,UGA
4,UG20290104,cattle,13982,UGA
4,UG20430102,cattle,23219,UGA
4,UG20550103,cattle,12703,UGA
4,UG20510101,cattle,49641,UGA
4,UG20540104,cattle,22123,UGA
4,UG20530103,cattle,42676,UGA
