index,placeCode,value,countryCodeISO3,indicator,adminLevel
201,PH025011000,0.126499898,PHL,vulnerable_group,3
202,PH025012000,0.238108035,PHL,vulnerable_group,3
203,PH025013000,0.053360462,PHL,vulnerable_group,3
204,PH025014000,0.093489525,PHL,vulnerable_group,3
205,PH025015000,0.229949523,PHL,vulnerable_group,3
206,PH025701000,0.199847095,PHL,vulnerable_group,3
207,PH025702000,0.187335092,PHL,vulnerable_group,3
208,PH025703000,0.182675602,PHL,vulnerable_group,3
209,PH025704000,0.104388147,PHL,vulnerable_group,3
210,PH025705000,0.143503393,PHL,vulnerable_group,3
211,PH025706000,0.366182785,PHL,vulnerable_group,3
212,PH030801000,0.089671564,PHL,vulnerable_group,3
213,PH030802000,0.212549933,PHL,vulnerable_group,3
214,PH030803000,0.056451613,PHL,vulnerable_group,3
215,PH030804000,0.127408673,PHL,vulnerable_group,3
216,PH030805000,0.144103574,PHL,vulnerable_group,3
217,PH030806000,0.092577813,PHL,vulnerable_group,3
218,PH030807000,0.053207781,PHL,vulnerable_group,3
219,PH030808000,0.186438196,PHL,vulnerable_group,3
220,PH030809000,0.108974359,PHL,vulnerable_group,3
221,PH030810000,0.125553663,PHL,vulnerable_group,3
222,PH030811000,0.094368176,PHL,vulnerable_group,3
223,PH030812000,0.10348455,PHL,vulnerable_group,3
224,PH031401000,0.089703316,PHL,vulnerable_group,3
225,PH031402000,0.093746333,PHL,vulnerable_group,3
226,PH031403000,0.050298693,PHL,vulnerable_group,3
227,PH031404000,0.092356688,PHL,vulnerable_group,3
228,PH031405000,0.092679949,PHL,vulnerable_group,3
229,PH031406000,0.085459903,PHL,vulnerable_group,3
230,PH031407000,0.090135844,PHL,vulnerable_group,3
231,PH031408000,0.0594229,PHL,vulnerable_group,3
232,PH031409000,0.110068467,PHL,vulnerable_group,3
233,PH031410000,0.054448493,PHL,vulnerable_group,3
234,PH031411000,0.047934717,PHL,vulnerable_group,3
235,PH031412000,0.063583004,PHL,vulnerable_group,3
236,PH031413000,0.141088703,PHL,vulnerable_group,3
237,PH031414000,0.054412792,PHL,vulnerable_group,3
238,PH031415000,0.181399495,PHL,vulnerable_group,3
239,PH031416000,0.115327705,PHL,vulnerable_group,3
240,PH031417000,0.0554408,PHL,vulnerable_group,3
241,PH031418000,0.087212173,PHL,vulnerable_group,3
242,PH031419000,0.111231823,PHL,vulnerable_group,3
243,PH031420000,0.115405165,PHL,vulnerable_group,3
244,PH031421000,0.139968573,PHL,vulnerable_group,3
245,PH031422000,0.092830257,PHL,vulnerable_group,3
246,PH031423000,0.083369518,PHL,vulnerable_group,3
247,PH031424000,0.371417276,PHL,vulnerable_group,3
248,PH034901000,0.208895265,PHL,vulnerable_group,3
249,PH034902000,0.185977461,PHL,vulnerable_group,3
250,PH034903000,0.094083052,PHL,vulnerable_group,3
251,PH034904000,0.147901399,PHL,vulnerable_group,3
252,PH034905000,0.24822695,PHL,vulnerable_group,3
253,PH034906000,0.212890755,PHL,vulnerable_group,3
254,PH034907000,0.224893918,PHL,vulnerable_group,3
255,PH034908000,0.081062393,PHL,vulnerable_group,3
256,PH034909000,0.186158798,PHL,vulnerable_group,3
257,PH034910000,0.147113052,PHL,vulnerable_group,3
258,PH034911000,0.200353045,PHL,vulnerable_group,3
259,PH034912000,0.222020225,PHL,vulnerable_group,3
260,PH034913000,0.247829148,PHL,vulnerable_group,3
261,PH034914000,0.263884531,PHL,vulnerable_group,3
262,PH034915000,0.168655779,PHL,vulnerable_group,3
263,PH034916000,0.238109542,PHL,vulnerable_group,3
264,PH034917000,0.19728143,PHL,vulnerable_group,3
265,PH034918000,0.25944334,PHL,vulnerable_group,3
266,PH034919000,0.144288793,PHL,vulnerable_group,3
267,PH034920000,0.227116424,PHL,vulnerable_group,3
268,PH034921000,0.091655668,PHL,vulnerable_group,3
269,PH034922000,0.282643228,PHL,vulnerable_group,3
270,PH034923000,0.145617246,PHL,vulnerable_group,3
271,PH034924000,0.169871979,PHL,vulnerable_group,3
272,PH034925000,0.123320368,PHL,vulnerable_group,3
273,PH034926000,0.129516209,PHL,vulnerable_group,3
274,PH034927000,0.12321307,PHL,vulnerable_group,3
275,PH034928000,0.103454882,PHL,vulnerable_group,3
276,PH034929000,0.164309573,PHL,vulnerable_group,3
277,PH034930000,0.202736985,PHL,vulnerable_group,3
278,PH034931000,0.262119114,PHL,vulnerable_group,3
279,PH034932000,0.18402841,PHL,vulnerable_group,3
280,PH035401000,0.034531933,PHL,vulnerable_group,3
281,PH035402000,0.127582124,PHL,vulnerable_group,3
282,PH035403000,0.126599351,PHL,vulnerable_group,3
283,PH035404000,0.083413333,PHL,vulnerable_group,3
284,PH035405000,0.22039415,PHL,vulnerable_group,3
285,PH035406000,0.077883388,PHL,vulnerable_group,3
286,PH035407000,0.087726326,PHL,vulnerable_group,3
287,PH035408000,0.103047124,PHL,vulnerable_group,3
288,PH035409000,0.04016717,PHL,vulnerable_group,3
289,PH035410000,0.158930373,PHL,vulnerable_group,3
290,PH035411000,0.07892196,PHL,vulnerable_group,3
291,PH035412000,0.176682383,PHL,vulnerable_group,3
292,PH035413000,0.090246475,PHL,vulnerable_group,3
293,PH035414000,0.12196914,PHL,vulnerable_group,3
294,PH035415000,0.124318751,PHL,vulnerable_group,3
295,PH035416000,0.042428808,PHL,vulnerable_group,3
296,PH035417000,0.179567418,PHL,vulnerable_group,3
297,PH035418000,0.112417602,PHL,vulnerable_group,3
298,PH035419000,0.127021437,PHL,vulnerable_group,3
299,PH035420000,0.095469989,PHL,vulnerable_group,3
300,PH035421000,0.103976945,PHL,vulnerable_group,3
301,PH035422000,0.188753582,PHL,vulnerable_group,3
302,PH036901000,0.134823091,PHL,vulnerable_group,3
303,PH036902000,0.091661578,PHL,vulnerable_group,3
304,PH036903000,0.081611463,PHL,vulnerable_group,3
305,PH036904000,0.129770496,PHL,vulnerable_group,3
306,PH036905000,0.129782722,PHL,vulnerable_group,3
307,PH036906000,0.133241953,PHL,vulnerable_group,3
308,PH036907000,0.15664386,PHL,vulnerable_group,3
309,PH036908000,0.204130901,PHL,vulnerable_group,3
310,PH036909000,0.145711281,PHL,vulnerable_group,3
311,PH036910000,0.099259528,PHL,vulnerable_group,3
312,PH036911000,0.108683975,PHL,vulnerable_group,3
313,PH036912000,0.194904459,PHL,vulnerable_group,3
314,PH036913000,0.17003646,PHL,vulnerable_group,3
315,PH036914000,0.167227635,PHL,vulnerable_group,3
316,PH036915000,0.107036843,PHL,vulnerable_group,3
317,PH036916000,0.10025662,PHL,vulnerable_group,3
318,PH036917000,0.126903891,PHL,vulnerable_group,3
319,PH036918000,0.334210841,PHL,vulnerable_group,3
320,PH037101000,0.143098261,PHL,vulnerable_group,3
321,PH037102000,0.194937982,PHL,vulnerable_group,3
322,PH037103000,0.151309248,PHL,vulnerable_group,3
323,PH037104000,0.05981005,PHL,vulnerable_group,3
324,PH037105000,0.103755459,PHL,vulnerable_group,3
325,PH037106000,0.122222222,PHL,vulnerable_group,3
326,PH037107000,0.037220664,PHL,vulnerable_group,3
327,PH037108000,0.202240041,PHL,vulnerable_group,3
328,PH037109000,0.077228185,PHL,vulnerable_group,3
329,PH037110000,0.126230976,PHL,vulnerable_group,3
330,PH037111000,0.158124454,PHL,vulnerable_group,3
331,PH037112000,0.101733447,PHL,vulnerable_group,3
