id,adminLevel,placeCode,value,countryCodeISO3,indicator
228,3,ET030608,0.1,ETH,Hotspot_Nutrition
229,3,ET030609,0.1,ETH,Hotspot_Nutrition
230,3,ET030422,2,ETH,Hotspot_Nutrition
231,3,ET030611,0.1,ETH,Hotspot_Nutrition
232,3,ET030501,2,ETH,Hotspot_Nutrition
233,3,ET030502,2,ETH,Hotspot_Nutrition
234,3,ET030505,2,ETH,Hotspot_Nutrition
235,3,ET030615,0.1,ETH,Hotspot_Nutrition
236,3,ET030506,1,ETH,Hotspot_Nutrition
237,3,ET030617,0.1,ETH,Hotspot_Nutrition
238,3,ET030619,0.1,ETH,Hotspot_Nutrition
239,3,ET030694,0.1,ETH,Hotspot_Nutrition
240,3,ET030698,0.1,ETH,Hotspot_Nutrition
241,3,ET030699,0.1,ETH,Hotspot_Nutrition
242,3,ET030701,0.1,ETH,Hotspot_Nutrition
243,3,ET030702,0.1,ETH,Hotspot_Nutrition
244,3,ET030703,0.1,ETH,Hotspot_Nutrition
245,3,ET030704,0.1,ETH,Hotspot_Nutrition
246,3,ET030705,0.1,ETH,Hotspot_Nutrition
247,3,ET030706,0.1,ETH,Hotspot_Nutrition
248,3,ET030707,0.1,ETH,Hotspot_Nutrition
249,3,ET030708,0.1,ETH,Hotspot_Nutrition
250,3,ET030709,0.1,ETH,Hotspot_Nutrition
251,3,ET030710,0.1,ETH,Hotspot_Nutrition
252,3,ET030711,0.1,ETH,Hotspot_Nutrition
253,3,ET030712,0.1,ETH,Hotspot_Nutrition
254,3,ET030713,0.1,ETH,Hotspot_Nutrition
255,3,ET030714,0.1,ETH,Hotspot_Nutrition
256,3,ET030715,0.1,ETH,Hotspot_Nutrition
257,3,ET030717,0.1,ETH,Hotspot_Nutrition
258,3,ET030718,0.1,ETH,Hotspot_Nutrition
259,3,ET030797,0.1,ETH,Hotspot_Nutrition
260,3,ET030798,0.1,ETH,Hotspot_Nutrition
261,3,ET030799,0.1,ETH,Hotspot_Nutrition
262,3,ET030507,2,ETH,Hotspot_Nutrition
263,3,ET030508,2,ETH,Hotspot_Nutrition
264,3,ET030509,2,ETH,Hotspot_Nutrition
265,3,ET030510,3,ETH,Hotspot_Nutrition
266,3,ET030512,3,ETH,Hotspot_Nutrition
267,3,ET030514,1,ETH,Hotspot_Nutrition
268,3,ET030807,0.1,ETH,Hotspot_Nutrition
269,3,ET030515,2,ETH,Hotspot_Nutrition
270,3,ET030901,0.1,ETH,Hotspot_Nutrition
271,3,ET030902,0.1,ETH,Hotspot_Nutrition
272,3,ET030903,0.1,ETH,Hotspot_Nutrition
273,3,ET030904,0.1,ETH,Hotspot_Nutrition
274,3,ET030905,0.1,ETH,Hotspot_Nutrition
275,3,ET030906,0.1,ETH,Hotspot_Nutrition
276,3,ET030907,0.1,ETH,Hotspot_Nutrition
277,3,ET030908,0.1,ETH,Hotspot_Nutrition
278,3,ET030996,0.1,ETH,Hotspot_Nutrition
279,3,ET030997,0.1,ETH,Hotspot_Nutrition
280,3,ET030998,0.1,ETH,Hotspot_Nutrition
281,3,ET030999,0.1,ETH,Hotspot_Nutrition
282,3,ET030517,1,ETH,Hotspot_Nutrition
283,3,ET030519,3,ETH,Hotspot_Nutrition
284,3,ET030521,2,ETH,Hotspot_Nutrition
285,3,ET030522,2,ETH,Hotspot_Nutrition
286,3,ET030601,2,ETH,Hotspot_Nutrition
287,3,ET031006,0.1,ETH,Hotspot_Nutrition
288,3,ET031099,0.1,ETH,Hotspot_Nutrition
289,3,ET031106,0.1,ETH,Hotspot_Nutrition
290,3,ET031107,0.1,ETH,Hotspot_Nutrition
291,3,ET030603,2,ETH,Hotspot_Nutrition
292,3,ET030604,2,ETH,Hotspot_Nutrition
293,3,ET030610,2,ETH,Hotspot_Nutrition
294,3,ET031111,0.1,ETH,Hotspot_Nutrition
295,3,ET031112,0.1,ETH,Hotspot_Nutrition
296,3,ET031115,0.1,ETH,Hotspot_Nutrition
297,3,ET030612,2,ETH,Hotspot_Nutrition
298,3,ET030613,2,ETH,Hotspot_Nutrition
299,3,ET031118,0.1,ETH,Hotspot_Nutrition
