id,placeCode,value,countryCodeISO3,indicator,adminLevel
320,ET031103,3,ETH,travel_time_cities,3
321,ET031104,2,ETH,travel_time_cities,3
322,ET031105,0,ETH,travel_time_cities,3
323,ET031106,105,ETH,travel_time_cities,3
324,ET031107,202,ETH,travel_time_cities,3
325,ET031108,126,ETH,travel_time_cities,3
326,ET031109,241,ETH,travel_time_cities,3
327,ET031110,98,ETH,travel_time_cities,3
328,ET031111,77,ETH,travel_time_cities,3
329,ET031112,158,ETH,travel_time_cities,3
330,ET031115,174,ETH,travel_time_cities,3
331,ET031116,230,ETH,travel_time_cities,3
332,ET031117,161,ETH,travel_time_cities,3
333,ET031118,33,ETH,travel_time_cities,3
334,ET031119,192,ETH,travel_time_cities,3
335,ET031120,144,ETH,travel_time_cities,3
336,ET031121,330,ETH,travel_time_cities,3
337,ET031122,431,ETH,travel_time_cities,3
338,ET031125,72,ETH,travel_time_cities,3
339,ET031199,0,ETH,travel_time_cities,3
340,ET031205,185,ETH,travel_time_cities,3
341,ET031206,351,ETH,travel_time_cities,3
342,ET031213,201,ETH,travel_time_cities,3
343,ET031214,357,ETH,travel_time_cities,3
344,ET031223,718,ETH,travel_time_cities,3
345,ET031224,10,ETH,travel_time_cities,3
346,ET031292,5,ETH,travel_time_cities,3
347,ET040101,96,ETH,travel_time_cities,3
348,ET040102,140,ETH,travel_time_cities,3
349,ET040103,75,ETH,travel_time_cities,3
350,ET040104,37,ETH,travel_time_cities,3
351,ET040105,116,ETH,travel_time_cities,3
352,ET040106,66,ETH,travel_time_cities,3
353,ET040107,132,ETH,travel_time_cities,3
354,ET040108,119,ETH,travel_time_cities,3
355,ET040109,82,ETH,travel_time_cities,3
356,ET040110,79,ETH,travel_time_cities,3
357,ET040111,159,ETH,travel_time_cities,3
358,ET040112,70,ETH,travel_time_cities,3
359,ET040113,78,ETH,travel_time_cities,3
360,ET040114,73,ETH,travel_time_cities,3
361,ET040115,91,ETH,travel_time_cities,3
362,ET040116,71,ETH,travel_time_cities,3
363,ET040117,44,ETH,travel_time_cities,3
364,ET040118,134,ETH,travel_time_cities,3
365,ET040119,116,ETH,travel_time_cities,3
366,ET040193,28,ETH,travel_time_cities,3
367,ET040197,76,ETH,travel_time_cities,3
368,ET040198,8,ETH,travel_time_cities,3
369,ET040199,40,ETH,travel_time_cities,3
370,ET040201,100,ETH,travel_time_cities,3
371,ET040202,144,ETH,travel_time_cities,3
372,ET040203,78,ETH,travel_time_cities,3
373,ET040204,170,ETH,travel_time_cities,3
374,ET040205,100,ETH,travel_time_cities,3
375,ET040206,38,ETH,travel_time_cities,3
376,ET040207,150,ETH,travel_time_cities,3
377,ET040208,50,ETH,travel_time_cities,3
378,ET040209,67,ETH,travel_time_cities,3
379,ET040210,56,ETH,travel_time_cities,3
380,ET040211,92,ETH,travel_time_cities,3
381,ET040212,99,ETH,travel_time_cities,3
382,ET040213,53,ETH,travel_time_cities,3
383,ET040214,122,ETH,travel_time_cities,3
384,ET040215,139,ETH,travel_time_cities,3
385,ET040216,178,ETH,travel_time_cities,3
386,ET040217,159,ETH,travel_time_cities,3
387,ET040297,8,ETH,travel_time_cities,3
388,ET040301,165,ETH,travel_time_cities,3
389,ET040302,84,ETH,travel_time_cities,3
390,ET040309,280,ETH,travel_time_cities,3
391,ET040310,153,ETH,travel_time_cities,3
392,ET040311,110,ETH,travel_time_cities,3
393,ET040312,145,ETH,travel_time_cities,3
394,ET040313,509,ETH,travel_time_cities,3
395,ET040314,208,ETH,travel_time_cities,3
396,ET040315,118,ETH,travel_time_cities,3
397,ET040316,263,ETH,travel_time_cities,3
398,ET040317,154,ETH,travel_time_cities,3
399,ET040319,121,ETH,travel_time_cities,3
400,ET040320,1,ETH,travel_time_cities,3
401,ET040324,116,ETH,travel_time_cities,3
402,ET040401,142,ETH,travel_time_cities,3
403,ET040402,105,ETH,travel_time_cities,3
404,ET040403,64,ETH,travel_time_cities,3
405,ET040404,73,ETH,travel_time_cities,3
406,ET040405,68,ETH,travel_time_cities,3
407,ET040406,32,ETH,travel_time_cities,3
408,ET040407,40,ETH,travel_time_cities,3
409,ET040408,194,ETH,travel_time_cities,3
410,ET040409,100,ETH,travel_time_cities,3
411,ET040410,120,ETH,travel_time_cities,3
412,ET040411,76,ETH,travel_time_cities,3
413,ET040412,202,ETH,travel_time_cities,3
414,ET040413,192,ETH,travel_time_cities,3
415,ET040414,105,ETH,travel_time_cities,3
416,ET040415,125,ETH,travel_time_cities,3
417,ET040416,135,ETH,travel_time_cities,3
418,ET040417,1,ETH,travel_time_cities,3
419,ET040418,5,ETH,travel_time_cities,3
420,ET040490,121,ETH,travel_time_cities,3
421,ET040491,294,ETH,travel_time_cities,3
422,ET040495,119,ETH,travel_time_cities,3
423,ET040499,98,ETH,travel_time_cities,3
424,ET040500,48,ETH,travel_time_cities,3
425,ET040501,227,ETH,travel_time_cities,3
426,ET040502,118,ETH,travel_time_cities,3
427,ET040503,74,ETH,travel_time_cities,3
428,ET040504,161,ETH,travel_time_cities,3
429,ET040505,51,ETH,travel_time_cities,3
430,ET040506,41,ETH,travel_time_cities,3
431,ET040507,45,ETH,travel_time_cities,3
432,ET040508,90,ETH,travel_time_cities,3
433,ET040509,116,ETH,travel_time_cities,3
434,ET040510,50,ETH,travel_time_cities,3
435,ET040511,67,ETH,travel_time_cities,3
436,ET040513,139,ETH,travel_time_cities,3
437,ET040514,120,ETH,travel_time_cities,3
438,ET040515,6,ETH,travel_time_cities,3
439,ET040516,226,ETH,travel_time_cities,3
440,ET040517,51,ETH,travel_time_cities,3
441,ET040518,122,ETH,travel_time_cities,3
442,ET040519,126,ETH,travel_time_cities,3
443,ET040590,106,ETH,travel_time_cities,3
444,ET040592,176,ETH,travel_time_cities,3
445,ET040594,149,ETH,travel_time_cities,3
446,ET040597,83,ETH,travel_time_cities,3
447,ET040601,147,ETH,travel_time_cities,3
448,ET040602,131,ETH,travel_time_cities,3
449,ET040603,125,ETH,travel_time_cities,3
450,ET040604,146,ETH,travel_time_cities,3
451,ET040605,157,ETH,travel_time_cities,3
452,ET040606,88,ETH,travel_time_cities,3
453,ET040607,63,ETH,travel_time_cities,3
454,ET040608,113,ETH,travel_time_cities,3
455,ET040609,131,ETH,travel_time_cities,3
456,ET040610,80,ETH,travel_time_cities,3
457,ET040613,13,ETH,travel_time_cities,3
458,ET040614,90,ETH,travel_time_cities,3
459,ET040615,110,ETH,travel_time_cities,3
460,ET040617,61,ETH,travel_time_cities,3
461,ET040701,98,ETH,travel_time_cities,3
462,ET040702,41,ETH,travel_time_cities,3
463,ET040703,54,ETH,travel_time_cities,3
464,ET040704,33,ETH,travel_time_cities,3
465,ET040705,79,ETH,travel_time_cities,3
466,ET040706,46,ETH,travel_time_cities,3
467,ET040707,43,ETH,travel_time_cities,3
468,ET040708,53,ETH,travel_time_cities,3
469,ET040709,15,ETH,travel_time_cities,3
470,ET040710,47,ETH,travel_time_cities,3
471,ET040711,100,ETH,travel_time_cities,3
472,ET040714,7,ETH,travel_time_cities,3
473,ET040797,5,ETH,travel_time_cities,3
474,ET040799,54,ETH,travel_time_cities,3
475,ET040801,72,ETH,travel_time_cities,3
476,ET040802,139,ETH,travel_time_cities,3
477,ET040803,169,ETH,travel_time_cities,3
478,ET040804,40,ETH,travel_time_cities,3
479,ET040805,50,ETH,travel_time_cities,3
480,ET040806,90,ETH,travel_time_cities,3
481,ET040807,80,ETH,travel_time_cities,3
482,ET040808,120,ETH,travel_time_cities,3
483,ET040809,104,ETH,travel_time_cities,3
484,ET040810,196,ETH,travel_time_cities,3
485,ET040811,126,ETH,travel_time_cities,3
486,ET040812,83,ETH,travel_time_cities,3
487,ET040813,91,ETH,travel_time_cities,3
488,ET040814,110,ETH,travel_time_cities,3
489,ET040815,77,ETH,travel_time_cities,3
490,ET040816,59,ETH,travel_time_cities,3
491,ET040817,120,ETH,travel_time_cities,3
492,ET040818,57,ETH,travel_time_cities,3
493,ET040819,58,ETH,travel_time_cities,3
494,ET040820,47,ETH,travel_time_cities,3
495,ET040821,67,ETH,travel_time_cities,3
496,ET040822,57,ETH,travel_time_cities,3
497,ET040823,90,ETH,travel_time_cities,3
498,ET040824,40,ETH,travel_time_cities,3
499,ET040825,3,ETH,travel_time_cities,3
500,ET040893,173,ETH,travel_time_cities,3
501,ET040894,0,ETH,travel_time_cities,3
502,ET040901,114,ETH,travel_time_cities,3
503,ET040902,96,ETH,travel_time_cities,3
504,ET040903,61,ETH,travel_time_cities,3
505,ET040904,104,ETH,travel_time_cities,3
506,ET040905,2,ETH,travel_time_cities,3
507,ET040906,95,ETH,travel_time_cities,3
508,ET040907,38,ETH,travel_time_cities,3
509,ET040908,53,ETH,travel_time_cities,3
510,ET040909,132,ETH,travel_time_cities,3
511,ET040910,112,ETH,travel_time_cities,3
512,ET040911,129,ETH,travel_time_cities,3
513,ET040912,127,ETH,travel_time_cities,3
514,ET040913,63,ETH,travel_time_cities,3
515,ET040914,18,ETH,travel_time_cities,3
516,ET040915,295,ETH,travel_time_cities,3
517,ET040991,85,ETH,travel_time_cities,3
518,ET040998,162,ETH,travel_time_cities,3
519,ET041000,16,ETH,travel_time_cities,3
520,ET041001,48,ETH,travel_time_cities,3
521,ET041002,142,ETH,travel_time_cities,3
522,ET041003,73,ETH,travel_time_cities,3
