id,placeCode,amount
1050,ET030808,1
1051,ET031001,4
1052,ET031002,1
1053,ET031003,1
1054,ET031004,2
1055,ET031005,2
1056,ET030414,1
1057,ET031108,4
1058,ET031109,2
1059,ET030417,1
1060,ET030418,1
1061,ET031110,4
1062,ET031116,1
1063,ET031117,1
1064,ET031122,1
1065,ET030423,1
1066,ET030498,1
1067,ET030499,1
1068,ET070603,0
1069,ET070703,0
1070,ET070613,0
