id,placeCode,value,countryCodeISO3,indicator,adminLevel
273,ET030711,13521,ETH,population_u5,3
274,ET030712,41969,ETH,population_u5,3
275,ET030713,18746,ETH,population_u5,3
276,ET030714,7006,ETH,population_u5,3
277,ET030715,13381,ETH,population_u5,3
278,ET030716,2865,ETH,population_u5,3
279,ET030717,3576,ETH,population_u5,3
280,ET030718,8772,ETH,population_u5,3
281,ET030719,3180,ETH,population_u5,3
282,ET030720,1245,ETH,population_u5,3
283,ET030797,5056,ETH,population_u5,3
284,ET030798,5520,ETH,population_u5,3
285,ET030799,5182,ETH,population_u5,3
286,ET030801,7021,ETH,population_u5,3
287,ET030802,16894,ETH,population_u5,3
288,ET030803,15860,ETH,population_u5,3
289,ET030804,10649,ETH,population_u5,3
290,ET030805,6491,ETH,population_u5,3
291,ET030806,3443,ETH,population_u5,3
292,ET030807,6033,ETH,population_u5,3
293,ET030808,2869,ETH,population_u5,3
294,ET030809,1132,ETH,population_u5,3
295,ET030901,20377,ETH,population_u5,3
296,ET030902,19529,ETH,population_u5,3
297,ET030903,32008,ETH,population_u5,3
298,ET030904,37302,ETH,population_u5,3
299,ET030905,17656,ETH,population_u5,3
300,ET030906,12811,ETH,population_u5,3
301,ET030907,11256,ETH,population_u5,3
302,ET030908,12376,ETH,population_u5,3
303,ET030909,2970,ETH,population_u5,3
304,ET030910,2406,ETH,population_u5,3
305,ET030911,2443,ETH,population_u5,3
306,ET030912,1039,ETH,population_u5,3
307,ET030996,5695,ETH,population_u5,3
308,ET030997,16074,ETH,population_u5,3
309,ET030998,6711,ETH,population_u5,3
310,ET030999,6275,ETH,population_u5,3
311,ET031001,20393,ETH,population_u5,3
312,ET031002,13629,ETH,population_u5,3
313,ET031003,10193,ETH,population_u5,3
314,ET031004,11560,ETH,population_u5,3
315,ET031005,946,ETH,population_u5,3
316,ET031006,5251,ETH,population_u5,3
317,ET031007,1605,ETH,population_u5,3
318,ET031008,1371,ETH,population_u5,3
319,ET031099,4506,ETH,population_u5,3
320,ET031103,3270,ETH,population_u5,3
321,ET031104,1225,ETH,population_u5,3
322,ET031105,3269,ETH,population_u5,3
323,ET031106,1680,ETH,population_u5,3
324,ET031107,11747,ETH,population_u5,3
325,ET031108,25213,ETH,population_u5,3
326,ET031109,32101,ETH,population_u5,3
327,ET031110,30960,ETH,population_u5,3
328,ET031111,7991,ETH,population_u5,3
329,ET031112,14990,ETH,population_u5,3
330,ET031115,25785,ETH,population_u5,3
331,ET031116,11857,ETH,population_u5,3
332,ET031117,16311,ETH,population_u5,3
333,ET031118,55876,ETH,population_u5,3
334,ET031119,982,ETH,population_u5,3
335,ET031120,13873,ETH,population_u5,3
336,ET031121,20248,ETH,population_u5,3
337,ET031122,10328,ETH,population_u5,3
338,ET031125,9763,ETH,population_u5,3
339,ET031199,4078,ETH,population_u5,3
340,ET031205,1023,ETH,population_u5,3
341,ET031206,6586,ETH,population_u5,3
342,ET031213,17386,ETH,population_u5,3
343,ET031214,14708,ETH,population_u5,3
344,ET031223,2129,ETH,population_u5,3
345,ET031224,2749,ETH,population_u5,3
346,ET031292,3068,ETH,population_u5,3
347,ET040101,21967,ETH,population_u5,3
348,ET040102,11180,ETH,population_u5,3
349,ET040103,6902,ETH,population_u5,3
350,ET040104,17244,ETH,population_u5,3
351,ET040105,11642,ETH,population_u5,3
352,ET040106,9902,ETH,population_u5,3
353,ET040107,10803,ETH,population_u5,3
354,ET040108,10071,ETH,population_u5,3
355,ET040109,21004,ETH,population_u5,3
356,ET040110,10656,ETH,population_u5,3
357,ET040111,13371,ETH,population_u5,3
358,ET040112,8582,ETH,population_u5,3
359,ET040113,12329,ETH,population_u5,3
360,ET040114,14933,ETH,population_u5,3
361,ET040115,13355,ETH,population_u5,3
362,ET040116,26507,ETH,population_u5,3
363,ET040117,5519,ETH,population_u5,3
364,ET040118,16576,ETH,population_u5,3
365,ET040119,15774,ETH,population_u5,3
366,ET040193,9590,ETH,population_u5,3
367,ET040197,2499,ETH,population_u5,3
368,ET040198,4336,ETH,population_u5,3
369,ET040199,5880,ETH,population_u5,3
370,ET040201,14951,ETH,population_u5,3
371,ET040202,8069,ETH,population_u5,3
372,ET040203,23929,ETH,population_u5,3
373,ET040204,11224,ETH,population_u5,3
374,ET040205,10561,ETH,population_u5,3
375,ET040206,13596,ETH,population_u5,3
376,ET040207,12331,ETH,population_u5,3
377,ET040208,9274,ETH,population_u5,3
378,ET040209,16679,ETH,population_u5,3
379,ET040210,15140,ETH,population_u5,3
380,ET040211,17632,ETH,population_u5,3
381,ET040212,15889,ETH,population_u5,3
382,ET040213,19345,ETH,population_u5,3
383,ET040214,19444,ETH,population_u5,3
384,ET040215,14396,ETH,population_u5,3
385,ET040216,10565,ETH,population_u5,3
386,ET040217,36693,ETH,population_u5,3
387,ET040297,23282,ETH,population_u5,3
388,ET040301,31617,ETH,population_u5,3
389,ET040302,17179,ETH,population_u5,3
390,ET040309,12086,ETH,population_u5,3
391,ET040310,13331,ETH,population_u5,3
392,ET040311,14683,ETH,population_u5,3
393,ET040312,11457,ETH,population_u5,3
394,ET040313,5092,ETH,population_u5,3
395,ET040314,8172,ETH,population_u5,3
396,ET040315,6389,ETH,population_u5,3
397,ET040316,9607,ETH,population_u5,3
398,ET040317,7133,ETH,population_u5,3
399,ET040319,3791,ETH,population_u5,3
400,ET040320,8910,ETH,population_u5,3
401,ET040324,7898,ETH,population_u5,3
402,ET040401,41256,ETH,population_u5,3
403,ET040402,36116,ETH,population_u5,3
404,ET040403,30533,ETH,population_u5,3
405,ET040404,28804,ETH,population_u5,3
406,ET040405,36100,ETH,population_u5,3
407,ET040406,28932,ETH,population_u5,3
408,ET040407,47040,ETH,population_u5,3
409,ET040408,24632,ETH,population_u5,3
410,ET040409,45441,ETH,population_u5,3
411,ET040410,62614,ETH,population_u5,3
412,ET040411,54553,ETH,population_u5,3
413,ET040412,20385,ETH,population_u5,3
414,ET040413,22658,ETH,population_u5,3
415,ET040414,24611,ETH,population_u5,3
416,ET040415,22399,ETH,population_u5,3
417,ET040416,13513,ETH,population_u5,3
418,ET040417,7880,ETH,population_u5,3
419,ET040418,37445,ETH,population_u5,3
420,ET040490,27387,ETH,population_u5,3
421,ET040491,20090,ETH,population_u5,3
422,ET040495,19838,ETH,population_u5,3
423,ET040499,5326,ETH,population_u5,3
424,ET040500,12867,ETH,population_u5,3
425,ET040501,23548,ETH,population_u5,3
426,ET040502,44979,ETH,population_u5,3
427,ET040503,23408,ETH,population_u5,3
428,ET040504,17321,ETH,population_u5,3
429,ET040505,35920,ETH,population_u5,3
430,ET040506,28630,ETH,population_u5,3
431,ET040507,21497,ETH,population_u5,3
432,ET040508,11035,ETH,population_u5,3
433,ET040509,15779,ETH,population_u5,3
434,ET040510,38066,ETH,population_u5,3
435,ET040511,19657,ETH,population_u5,3
436,ET040513,27468,ETH,population_u5,3
437,ET040514,30640,ETH,population_u5,3
438,ET040515,14910,ETH,population_u5,3
439,ET040516,23770,ETH,population_u5,3
440,ET040517,27328,ETH,population_u5,3
441,ET040518,15880,ETH,population_u5,3
442,ET040519,11748,ETH,population_u5,3
443,ET040590,12888,ETH,population_u5,3
444,ET040592,10137,ETH,population_u5,3
445,ET040594,12450,ETH,population_u5,3
446,ET040597,5558,ETH,population_u5,3
447,ET040601,29325,ETH,population_u5,3
448,ET040602,39746,ETH,population_u5,3
449,ET040603,18463,ETH,population_u5,3
450,ET040604,27924,ETH,population_u5,3
451,ET040605,21907,ETH,population_u5,3
452,ET040606,14483,ETH,population_u5,3
453,ET040607,10566,ETH,population_u5,3
454,ET040608,21592,ETH,population_u5,3
455,ET040609,15391,ETH,population_u5,3
456,ET040610,17098,ETH,population_u5,3
457,ET040613,8516,ETH,population_u5,3
458,ET040614,12079,ETH,population_u5,3
459,ET040615,11546,ETH,population_u5,3
460,ET040617,11858,ETH,population_u5,3
461,ET040701,19522,ETH,population_u5,3
462,ET040702,33078,ETH,population_u5,3
463,ET040703,23181,ETH,population_u5,3
464,ET040704,28853,ETH,population_u5,3
465,ET040705,19295,ETH,population_u5,3
466,ET040706,28039,ETH,population_u5,3
