id,adminLevel,placeCode,value
883,3,ET071009,3
884,3,ET071010,2
885,3,ET071011,2
886,3,ET071012,0.1
887,3,ET071013,3
888,3,ET071014,3
889,3,ET071015,2
890,3,ET071016,3
891,3,ET071017,3
892,3,ET071018,2
893,3,ET071019,3
894,3,ET071021,0.1
895,3,ET071101,3
896,3,ET071102,3
897,3,ET071103,2
898,3,ET071104,3
899,3,ET071105,3
900,3,ET071106,3
901,3,ET071107,0.1
902,3,ET071108,0.1
903,3,ET071205,1
904,3,ET071301,0.1
905,3,ET071302,1
906,3,ET071303,1
907,3,ET071304,1
908,3,ET071401,0.1
909,3,ET071402,2
910,3,ET071403,2
911,3,ET071404,2
912,3,ET071501,2
913,3,ET071502,2
914,3,ET071503,1
915,3,ET071504,1
916,3,ET071505,2
917,3,ET071506,3
918,3,ET071507,0.1
919,3,ET071508,0.1
920,3,ET071509,3
921,3,ET071601,0.1
922,3,ET071701,2
923,3,ET071702,3
924,3,ET071703,1
925,3,ET071704,2
926,3,ET071705,2
927,3,ET071706,3
928,3,ET071707,2
929,3,ET071708,3
930,3,ET071709,1
931,3,ET071710,2
932,3,ET071711,0.1
933,3,ET071801,0.1
934,3,ET071802,0.1
935,3,ET071803,0.1
936,3,ET071804,0.1
937,3,ET071805,0.1
938,3,ET071806,0.1
939,3,ET071807,0.1
940,3,ET071901,0.1
941,3,ET072001,3
942,3,ET072002,1
943,3,ET072003,3
944,3,ET072004,3
945,3,ET072005,2
946,3,ET072006,2
947,3,ET072007,3
948,3,ET072008,3
949,3,ET072009,0.1
950,3,ET072010,0.1
951,3,ET072011,0.1
952,3,ET072012,3
953,3,ET072013,1
954,3,ET072102,1
955,3,ET072203,2
956,3,ET072304,1
957,3,ET072401,0.1
958,3,ET120101,1
959,3,ET120102,1
960,3,ET120103,2
961,3,ET120104,2
962,3,ET120105,2
963,3,ET120200,0.1
964,3,ET120201,3
965,3,ET120202,2
966,3,ET120203,2
967,3,ET120204,1
968,3,ET120205,2
969,3,ET120206,0.1
970,3,ET120301,3
971,3,ET120308,2
972,3,ET120407,1
973,3,ET130101,2
974,3,ET130102,0.1
975,3,ET130103,0.1
976,3,ET130104,0.1
977,3,ET130105,2
978,3,ET130106,3
979,3,ET130107,0.1
980,3,ET130108,0.1
981,3,ET130109,0.1
982,3,ET140101,0.1
983,3,ET140102,0.1
984,3,ET140103,0.1
985,3,ET140104,0.1
986,3,ET140105,0.1
987,3,ET140106,0.1
988,3,ET140107,0.1
989,3,ET140108,0.1
990,3,ET140109,0.1
991,3,ET140110,0.1
992,3,ET150103,0.1
993,3,ET150104,0.1
994,3,ET150105,0.1
995,3,ET150109,0.1
996,3,ET150110,0.1
997,3,ET150111,0.1
998,3,ET150112,0.1
999,3,ET150113,0.1
1000,3,ET150114,0.1
1001,3,ET150201,2
1002,3,ET150206,1
1003,3,ET150207,1
1004,3,ET150208,1
1005,3,ET160001,1
1006,3,ET160002,1
1007,3,ET160003,3
1008,3,ET160004,2
1009,3,ET160005,2
1010,3,ET160006,2
1011,3,ET160007,3
1012,3,ET160008,1
1013,3,ET160009,2
1014,3,ET160010,1
1015,3,ET160011,3
1016,3,ET160012,3
1017,3,ET160013,2
1018,3,ET160014,3
1019,3,ET160015,3
1020,3,ET160016,1
1021,3,ET160017,1
1022,3,ET160018,0.1
1023,3,ET160019,2
1024,3,ET160020,0.1
1025,3,ET160021,0.1
1026,3,ET160022,0.1
1027,3,ET160023,2
1028,3,ET160024,3
1029,3,ET160025,2
1030,3,ET160026,3
1031,3,ET160027,3
1032,3,ET160028,3
1033,3,ET160029,2
1034,3,ET160030,2
1035,3,ET160031,1
1036,3,ET160032,1
1037,3,ET160033,3
1038,3,ET160034,0.1
1039,3,ET160035,0.1
1040,3,ET160036,0.1
1041,3,ET160037,1
1042,3,ET051004,1
1043,3,ET030616,2
1044,3,ET030801,1
1045,3,ET030802,1
1046,3,ET030803,1
1047,3,ET030804,1
1048,3,ET030805,1
1049,3,ET030806,1
1050,3,ET030808,1
1051,3,ET031001,3
1052,3,ET031002,1
1053,3,ET031003,1
1054,3,ET031004,2
1055,3,ET031005,2
1056,3,ET030414,0.1
1057,3,ET031108,3
1058,3,ET031109,2
1059,3,ET030417,0.1
1060,3,ET030418,0.1
1061,3,ET031110,3
1062,3,ET031116,1
1063,3,ET031117,1
1064,3,ET031122,1
1065,3,ET030423,0.1
1066,3,ET030498,0.1
1067,3,ET030499,0.1
