PCODE_Mun_City,percentage_vul_housing
PH041009000,0.020471116
PH041010000,0.020683903
PH041011000,0.033411489
PH041012000,0.041502683
PH041013000,0.066543438
PH041014000,0.009021763
PH041015000,0.049983114
PH041016000,0.047721675
PH041017000,0.017175424
PH041018000,0.026422764
PH041019000,0.054562806
PH041020000,0.010796724
PH041021000,0.024642567
PH041022000,0.024278873
PH041023000,0.035223805
PH041024000,0.044391873
PH041025000,0.099709367
PH041026000,0.017848562
PH041027000,0.035765379
PH041028000,0.027032168
PH041029000,0.041024345
PH041030000,0.033426472
PH041032000,0.061176192
PH041033000,0.235002479
PH041034000,0.029943108
PH042101000,0.020524613
PH042102000,0.013201699
PH042103000,0.018935602
PH042104000,0.009112401
PH042105000,0.019500714
PH042106000,0.006420701
PH042108000,0.006246815
PH042123000,0.00894179
PH042107000,0.005740528
PH042109000,0.007954294
PH042110000,0.013232899
PH042111000,0.02134115
PH042112000,0.005697405
PH042113000,0.039420361
PH042114000,0.01099058
PH042115000,0.034206724
PH042116000,0.015716737
PH042117000,0.017750629
PH042118000,0.014950137
PH042119000,0.024192024
PH042120000,0.016839862
PH042121000,0.080946451
PH042122000,0.012205941
PH043401000,0.0353251
PH043402000,0.022078009
PH043404000,0.004351145
PH043406000,0.010935809
PH043407000,0.065241845
PH043403000,0.010529937
PH043405000,0.009827141
PH043425000,0.006246236
PH043428000,0.005362642
PH043408000,0.014225941
PH043409000,0.040095276
PH043410000,0.054551577
PH043411000,0.019395384
PH043412000,0.014473968
PH043413000,0.011571701
PH043414000,0.035730439
PH043415000,0.054376425
PH043416000,0.064430577
PH043417000,0.030321046
PH043418000,0.023747681
PH043419000,0.011997474
PH043420000,0.034095908
PH043421000,0.0400828
PH043422000,0.010318449
PH043423000,0.030891878
PH043424000,0.014970652
PH043426000,0.011845525
PH043427000,0.014644652
PH043429000,0.03939577
PH043430000,0.01183432
PH045601000,0.15776
PH045602000,0.179994268
PH045603000,0.121823877
PH045605000,0.38791423
PH045606000,0.625467498
PH045607000,0.321107692
PH045608000,0.035914703
PH045610000,0.279163103
PH045647000,0.038471536
PH045615000,0.026409818
PH045616000,0.31557377
PH045617000,0.281304694
PH045618000,0.34535067
PH045619000,0.180649685
PH045620000,0.19259076
PH045621000,0.702435813
PH045622000,0.244599405
PH045623000,0.021530045
PH045624000,0.042568756
PH045625000,0.35605548
PH045627000,0.228314576
PH045628000,0.252491982
PH045629000,0.148853478
PH045630000,0.068513205
PH045631000,0.557880056
PH045632000,0.573040561
PH045633000,0.260537791
PH045634000,0.297876563
PH045635000,0.101604278
PH045636000,0.383823743
PH045637000,0.375720956
PH045638000,0.183272452
PH045639000,0.058271936
PH045640000,0.464169759
PH045641000,0.032333517
PH045642000,0.448221116
PH045644000,0.433908591
PH045645000,0.029902867
PH045646000,0.198259521
PH045648000,0.015240328
PH045649000,0.247468148
PH045801000,0.003107595
PH045803000,0.006962576
PH045804000,0.016789782
PH045805000,0.004419716
PH045806000,0.026666667
PH045802000,0.018604927
PH045807000,0.028258618
PH045809000,0.041152898
PH045810000,0.045078668
PH045808000,0.02539424
PH045811000,0.012865624
PH045812000,0.054989249
PH045813000,0.00705866
PH045814000,0.011446099
PH174001000,0.105918756
PH174002000,0.214137606
PH174003000,0.157347041
PH174004000,0.095052401
PH174005000,0.08577469
PH174006000,0.151926445
PH175101000,0.430242272
PH175102000,0.307827196
PH175103000,0.261894369
PH175104000,0.150744016
PH175105000,0.32231405
PH175106000,0.173789751
PH175107000,0.432144911
PH175108000,0.259440727
PH175109000,0.286009574
PH175110000,0.208759483
PH175111000,0.378179763
PH175201000,0.253385385
PH175202000,0.200964806
PH175203000,0.310191393
PH175204000,0.625473934
PH175205000,0.103685114
PH175206000,0.198310187
PH175207000,0.545576527
PH175208000,0.205934513
PH175209000,0.13378118
PH175210000,0.277921438
PH175211000,0.178065609
PH175212000,0.214958928
PH175213000,0.287558977
PH175214000,0.134988363
PH175215000,0.175779485
PH175301000,0.407218374
PH175302000,0.30437644
PH175303000,0.504532666
PH175304000,0.546731754
PH175305000,0.563895782
PH175306000,0.468164305
PH175307000,0.518118118
PH175308000,0.242258652
PH175309000,0.281940272
PH175322000,0.419382877
PH175310000,0.276413022
PH175311000,0.634291725
PH175312000,0.384172355
PH175321000,0.384172355
PH175313000,0.589697514
PH175314000,0.299157818
PH175315000,0.298634711
PH175316000,0.185118447
PH175317000,0.594518164
PH175323000,0.763739735
PH175318000,0.536607728
PH175319000,0.453469204
PH175324000,0.588358404
PH175320000,0.510785433
PH175901000,0.32575965
PH175902000,0.164315938
PH175903000,0.354141414
PH175904000,0.362962963
PH175905000,0.186246418
PH175906000,0.511957844
PH175916000,0.323440339
PH175907000,0.222915485
PH175908000,0.363606664
PH175909000,0.134007919
PH175910000,0.246117488
PH175911000,0.288516473
PH175912000,0.278201866
PH175913000,0.346478873
PH175914000,0.392214316
PH175915000,0.482861806
PH175917000,0.373404255
PH099701000,0.186911699
PH097226000,0.352511416
PH097224000,0.689288476
PH097201000,0.258270361
PH097202000,0.217317198
PH097225000,0.244833068
PH097223000,0.569289878
PH097222000,0.387875801
PH097227000,0.377957659
PH097203000,0.442551874
PH097204000,0.194190425
PH097205000,0.459573056
PH097206000,0.282156334
PH097207000,0.346258592
PH097208000,0.137737962
PH097209000,0.254200305
PH097210000,0.256463857
PH097211000,0.453074043
PH097212000,0.294757949
PH097213000,0.319119287
PH097214000,0.240958196
PH097215000,0.594994469
PH097216000,0.584154294
PH097217000,0.371800838
PH097218000,0.316653813
PH097219000,0.581727135
PH097220000,0.643660266
PH097221000,0.280502922
PH097302000,0.269388499
PH097303000,0.228484497
PH097305000,0.405184385
PH097306000,0.342424638
PH097307000,0.181107955
PH097308000,0.400204082
PH097343000,0.134248488
PH097337000,0.104041617
PH097311000,0.534116046
PH097312000,0.26505881
PH097333000,0.294348894
PH097313000,0.568740399
PH097315000,0.279563247
PH097317000,0.238872404
PH097318000,0.425424982
PH097319000,0.263735299
PH097322000,0.166806267
PH097338000,0.267967146
PH097323000,0.205719092
PH097324000,0.179609338
PH097325000,0.19079744
PH097340000,0.240193705
PH097327000,0.222995894
PH097328000,0.336474283
PH097344000,0.222197994
PH097330000,0.236929264
PH097341000,0.311183807
PH097332000,0.183236884
PH098301000,0.597453734
PH098302000,0.207165881
PH098303000,0.239989428
PH098304000,0.368780034
PH098305000,0.397938849
PH098306000,0.502222693
PH098307000,0.710930576
PH098308000,0.413435352
PH098309000,0.395511755
PH098310000,0.576070219
PH098311000,0.601563631
PH098312000,0.40194849
PH098313000,0.492059991
PH098314000,0.652916912
PH098315000,0.342885644
PH098316000,0.536746667
PH050501000,0.255123379
PH050502000,0.190795716
PH050508000,0.263258587
PH050517000,0.152452026
PH050503000,0.116920842
PH050504000,0.235027426
PH050505000,0.495405618
PH050506000,0.11006692
