id,placeCode,value,countryCodeISO3,indicator,adminLevel
337,ET031122,175,ETH,walking_travel_time_to_health,3
338,ET031125,73,ETH,walking_travel_time_to_health,3
339,ET031199,8,ETH,walking_travel_time_to_health,3
340,ET031205,148,ETH,walking_travel_time_to_health,3
341,ET031206,166,ETH,walking_travel_time_to_health,3
342,ET031213,134,ETH,walking_travel_time_to_health,3
343,ET031214,233,ETH,walking_travel_time_to_health,3
344,ET031223,99,ETH,walking_travel_time_to_health,3
345,ET031224,31,ETH,walking_travel_time_to_health,3
346,ET031292,16,ETH,walking_travel_time_to_health,3
347,ET040101,112,ETH,walking_travel_time_to_health,3
348,ET040102,107,ETH,walking_travel_time_to_health,3
349,ET040103,75,ETH,walking_travel_time_to_health,3
350,ET040104,44,ETH,walking_travel_time_to_health,3
351,ET040105,97,ETH,walking_travel_time_to_health,3
352,ET040106,101,ETH,walking_travel_time_to_health,3
353,ET040107,73,ETH,walking_travel_time_to_health,3
354,ET040108,101,ETH,walking_travel_time_to_health,3
355,ET040109,127,ETH,walking_travel_time_to_health,3
356,ET040110,65,ETH,walking_travel_time_to_health,3
357,ET040111,94,ETH,walking_travel_time_to_health,3
358,ET040112,72,ETH,walking_travel_time_to_health,3
359,ET040113,51,ETH,walking_travel_time_to_health,3
360,ET040114,72,ETH,walking_travel_time_to_health,3
361,ET040115,68,ETH,walking_travel_time_to_health,3
362,ET040116,91,ETH,walking_travel_time_to_health,3
363,ET040117,36,ETH,walking_travel_time_to_health,3
364,ET040118,74,ETH,walking_travel_time_to_health,3
365,ET040119,58,ETH,walking_travel_time_to_health,3
366,ET040193,20,ETH,walking_travel_time_to_health,3
367,ET040197,83,ETH,walking_travel_time_to_health,3
368,ET040198,167,ETH,walking_travel_time_to_health,3
369,ET040199,20,ETH,walking_travel_time_to_health,3
370,ET040201,89,ETH,walking_travel_time_to_health,3
371,ET040202,113,ETH,walking_travel_time_to_health,3
372,ET040203,89,ETH,walking_travel_time_to_health,3
373,ET040204,129,ETH,walking_travel_time_to_health,3
374,ET040205,76,ETH,walking_travel_time_to_health,3
375,ET040206,86,ETH,walking_travel_time_to_health,3
376,ET040207,113,ETH,walking_travel_time_to_health,3
377,ET040208,68,ETH,walking_travel_time_to_health,3
378,ET040209,87,ETH,walking_travel_time_to_health,3
379,ET040210,121,ETH,walking_travel_time_to_health,3
380,ET040211,74,ETH,walking_travel_time_to_health,3
381,ET040212,72,ETH,walking_travel_time_to_health,3
382,ET040213,63,ETH,walking_travel_time_to_health,3
383,ET040214,74,ETH,walking_travel_time_to_health,3
384,ET040215,97,ETH,walking_travel_time_to_health,3
385,ET040216,97,ETH,walking_travel_time_to_health,3
386,ET040217,139,ETH,walking_travel_time_to_health,3
387,ET040297,33,ETH,walking_travel_time_to_health,3
388,ET040301,89,ETH,walking_travel_time_to_health,3
389,ET040302,79,ETH,walking_travel_time_to_health,3
390,ET040309,243,ETH,walking_travel_time_to_health,3
391,ET040310,115,ETH,walking_travel_time_to_health,3
392,ET040311,104,ETH,walking_travel_time_to_health,3
393,ET040312,136,ETH,walking_travel_time_to_health,3
394,ET040313,610,ETH,walking_travel_time_to_health,3
395,ET040314,187,ETH,walking_travel_time_to_health,3
396,ET040315,96,ETH,walking_travel_time_to_health,3
397,ET040316,195,ETH,walking_travel_time_to_health,3
398,ET040317,197,ETH,walking_travel_time_to_health,3
399,ET040319,91,ETH,walking_travel_time_to_health,3
400,ET040320,22,ETH,walking_travel_time_to_health,3
401,ET040324,96,ETH,walking_travel_time_to_health,3
402,ET040401,74,ETH,walking_travel_time_to_health,3
403,ET040402,106,ETH,walking_travel_time_to_health,3
404,ET040403,95,ETH,walking_travel_time_to_health,3
405,ET040404,78,ETH,walking_travel_time_to_health,3
406,ET040405,88,ETH,walking_travel_time_to_health,3
407,ET040406,59,ETH,walking_travel_time_to_health,3
408,ET040407,58,ETH,walking_travel_time_to_health,3
409,ET040408,190,ETH,walking_travel_time_to_health,3
410,ET040409,117,ETH,walking_travel_time_to_health,3
411,ET040410,113,ETH,walking_travel_time_to_health,3
412,ET040411,101,ETH,walking_travel_time_to_health,3
413,ET040412,212,ETH,walking_travel_time_to_health,3
414,ET040413,149,ETH,walking_travel_time_to_health,3
415,ET040414,137,ETH,walking_travel_time_to_health,3
416,ET040415,129,ETH,walking_travel_time_to_health,3
417,ET040416,130,ETH,walking_travel_time_to_health,3
418,ET040417,13,ETH,walking_travel_time_to_health,3
419,ET040418,50,ETH,walking_travel_time_to_health,3
420,ET040490,159,ETH,walking_travel_time_to_health,3
421,ET040491,201,ETH,walking_travel_time_to_health,3
422,ET040495,230,ETH,walking_travel_time_to_health,3
423,ET040499,109,ETH,walking_travel_time_to_health,3
424,ET040500,89,ETH,walking_travel_time_to_health,3
425,ET040501,224,ETH,walking_travel_time_to_health,3
426,ET040502,103,ETH,walking_travel_time_to_health,3
427,ET040503,191,ETH,walking_travel_time_to_health,3
428,ET040504,157,ETH,walking_travel_time_to_health,3
429,ET040505,180,ETH,walking_travel_time_to_health,3
430,ET040506,109,ETH,walking_travel_time_to_health,3
431,ET040507,61,ETH,walking_travel_time_to_health,3
432,ET040508,76,ETH,walking_travel_time_to_health,3
433,ET040509,83,ETH,walking_travel_time_to_health,3
434,ET040510,110,ETH,walking_travel_time_to_health,3
435,ET040511,76,ETH,walking_travel_time_to_health,3
436,ET040513,127,ETH,walking_travel_time_to_health,3
437,ET040514,119,ETH,walking_travel_time_to_health,3
438,ET040515,50,ETH,walking_travel_time_to_health,3
439,ET040516,189,ETH,walking_travel_time_to_health,3
440,ET040517,196,ETH,walking_travel_time_to_health,3
441,ET040518,97,ETH,walking_travel_time_to_health,3
442,ET040519,204,ETH,walking_travel_time_to_health,3
443,ET040590,106,ETH,walking_travel_time_to_health,3
444,ET040592,316,ETH,walking_travel_time_to_health,3
445,ET040594,166,ETH,walking_travel_time_to_health,3
446,ET040597,186,ETH,walking_travel_time_to_health,3
447,ET040601,235,ETH,walking_travel_time_to_health,3
448,ET040602,138,ETH,walking_travel_time_to_health,3
449,ET040603,110,ETH,walking_travel_time_to_health,3
450,ET040604,143,ETH,walking_travel_time_to_health,3
451,ET040605,178,ETH,walking_travel_time_to_health,3
452,ET040606,101,ETH,walking_travel_time_to_health,3
453,ET040607,95,ETH,walking_travel_time_to_health,3
454,ET040608,122,ETH,walking_travel_time_to_health,3
455,ET040609,88,ETH,walking_travel_time_to_health,3
456,ET040610,82,ETH,walking_travel_time_to_health,3
457,ET040613,19,ETH,walking_travel_time_to_health,3
458,ET040614,117,ETH,walking_travel_time_to_health,3
459,ET040615,135,ETH,walking_travel_time_to_health,3
460,ET040617,187,ETH,walking_travel_time_to_health,3
461,ET040701,102,ETH,walking_travel_time_to_health,3
462,ET040702,87,ETH,walking_travel_time_to_health,3
463,ET040703,75,ETH,walking_travel_time_to_health,3
464,ET040704,114,ETH,walking_travel_time_to_health,3
465,ET040705,83,ETH,walking_travel_time_to_health,3
466,ET040706,62,ETH,walking_travel_time_to_health,3
467,ET040707,90,ETH,walking_travel_time_to_health,3
468,ET040708,107,ETH,walking_travel_time_to_health,3
469,ET040709,47,ETH,walking_travel_time_to_health,3
470,ET040710,97,ETH,walking_travel_time_to_health,3
471,ET040711,84,ETH,walking_travel_time_to_health,3
472,ET040714,49,ETH,walking_travel_time_to_health,3
473,ET040797,50,ETH,walking_travel_time_to_health,3
474,ET040799,18,ETH,walking_travel_time_to_health,3
475,ET040801,114,ETH,walking_travel_time_to_health,3
476,ET040802,168,ETH,walking_travel_time_to_health,3
477,ET040803,185,ETH,walking_travel_time_to_health,3
478,ET040804,73,ETH,walking_travel_time_to_health,3
479,ET040805,58,ETH,walking_travel_time_to_health,3
480,ET040806,87,ETH,walking_travel_time_to_health,3
481,ET040807,101,ETH,walking_travel_time_to_health,3
482,ET040808,121,ETH,walking_travel_time_to_health,3
483,ET040809,115,ETH,walking_travel_time_to_health,3
484,ET040810,174,ETH,walking_travel_time_to_health,3
485,ET040811,223,ETH,walking_travel_time_to_health,3
486,ET040812,116,ETH,walking_travel_time_to_health,3
487,ET040813,126,ETH,walking_travel_time_to_health,3
488,ET040814,126,ETH,walking_travel_time_to_health,3
489,ET040815,108,ETH,walking_travel_time_to_health,3
490,ET040816,70,ETH,walking_travel_time_to_health,3
491,ET040817,103,ETH,walking_travel_time_to_health,3
492,ET040818,88,ETH,walking_travel_time_to_health,3
493,ET040819,126,ETH,walking_travel_time_to_health,3
494,ET040820,65,ETH,walking_travel_time_to_health,3
495,ET040821,85,ETH,walking_travel_time_to_health,3
496,ET040822,82,ETH,walking_travel_time_to_health,3
497,ET040823,101,ETH,walking_travel_time_to_health,3
498,ET040824,84,ETH,walking_travel_time_to_health,3
499,ET040825,19,ETH,walking_travel_time_to_health,3
500,ET040893,163,ETH,walking_travel_time_to_health,3
501,ET040894,7,ETH,walking_travel_time_to_health,3
502,ET040901,209,ETH,walking_travel_time_to_health,3
503,ET040902,85,ETH,walking_travel_time_to_health,3
504,ET040903,74,ETH,walking_travel_time_to_health,3
505,ET040904,79,ETH,walking_travel_time_to_health,3
506,ET040905,20,ETH,walking_travel_time_to_health,3
507,ET040906,115,ETH,walking_travel_time_to_health,3
508,ET040907,88,ETH,walking_travel_time_to_health,3
509,ET040908,74,ETH,walking_travel_time_to_health,3
510,ET040909,158,ETH,walking_travel_time_to_health,3
511,ET040910,126,ETH,walking_travel_time_to_health,3
512,ET040911,119,ETH,walking_travel_time_to_health,3
513,ET040912,112,ETH,walking_travel_time_to_health,3
514,ET040913,78,ETH,walking_travel_time_to_health,3
