index,placeCode,value,countryCodeISO3,adminLevel,indicator
341,PH013317000,8114,PHL,3,total_houses
342,PH013318000,2780,PHL,3,total_houses
343,PH013319000,3758,PHL,3,total_houses
344,PH013320000,6372,PHL,3,total_houses
345,PH015501000,6593,PHL,3,total_houses
346,PH015502000,8591,PHL,3,total_houses
347,PH015504000,10057,PHL,3,total_houses
348,PH015505000,9321,PHL,3,total_houses
349,PH015506000,13064,PHL,3,total_houses
350,PH015507000,6891,PHL,3,total_houses
351,PH015508000,12225,PHL,3,total_houses
352,PH015509000,6885,PHL,3,total_houses
353,PH015510000,6860,PHL,3,total_houses
354,PH015511000,25004,PHL,3,total_houses
355,PH015512000,12655,PHL,3,total_houses
356,PH015513000,18204,PHL,3,total_houses
357,PH015514000,17601,PHL,3,total_houses
358,PH015515000,14276,PHL,3,total_houses
359,PH015516000,4768,PHL,3,total_houses
360,PH015517000,21504,PHL,3,total_houses
361,PH015503000,21410,PHL,3,total_houses
362,PH015546000,29630,PHL,3,total_houses
363,PH015518000,35748,PHL,3,total_houses
364,PH015519000,6677,PHL,3,total_houses
365,PH015520000,5584,PHL,3,total_houses
366,PH015521000,5473,PHL,3,total_houses
367,PH015548000,7154,PHL,3,total_houses
368,PH015522000,21235,PHL,3,total_houses
369,PH015523000,5856,PHL,3,total_houses
370,PH015524000,28609,PHL,3,total_houses
371,PH015525000,14633,PHL,3,total_houses
372,PH015526000,22611,PHL,3,total_houses
373,PH015527000,16231,PHL,3,total_houses
374,PH015528000,7596,PHL,3,total_houses
375,PH015529000,5690,PHL,3,total_houses
376,PH015530000,15789,PHL,3,total_houses
377,PH015531000,14365,PHL,3,total_houses
378,PH015532000,40867,PHL,3,total_houses
379,PH015533000,18991,PHL,3,total_houses
380,PH015534000,8983,PHL,3,total_houses
381,PH015535000,11622,PHL,3,total_houses
382,PH015536000,8133,PHL,3,total_houses
383,PH015537000,8002,PHL,3,total_houses
384,PH015538000,18206,PHL,3,total_houses
385,PH015539000,7371,PHL,3,total_houses
386,PH015540000,3338,PHL,3,total_houses
387,PH015541000,10532,PHL,3,total_houses
388,PH015542000,7817,PHL,3,total_houses
389,PH015543000,9837,PHL,3,total_houses
390,PH015544000,16983,PHL,3,total_houses
391,PH015545000,10418,PHL,3,total_houses
392,PH015547000,14350,PHL,3,total_houses
393,PH020901000,2309,PHL,3,total_houses
394,PH020902000,828,PHL,3,total_houses
395,PH020903000,357,PHL,3,total_houses
396,PH020904000,443,PHL,3,total_houses
397,PH020905000,418,PHL,3,total_houses
398,PH020906000,354,PHL,3,total_houses
399,PH021501000,7375,PHL,3,total_houses
400,PH021502000,9163,PHL,3,total_houses
401,PH021503000,7535,PHL,3,total_houses
402,PH021504000,10616,PHL,3,total_houses
403,PH021505000,13825,PHL,3,total_houses
404,PH021506000,19282,PHL,3,total_houses
405,PH021507000,7973,PHL,3,total_houses
406,PH021508000,6689,PHL,3,total_houses
407,PH021509000,3883,PHL,3,total_houses
408,PH021510000,5383,PHL,3,total_houses
409,PH021511000,6956,PHL,3,total_houses
410,PH021512000,7537,PHL,3,total_houses
411,PH021513000,12549,PHL,3,total_houses
412,PH021514000,8502,PHL,3,total_houses
413,PH021515000,6070,PHL,3,total_houses
414,PH021516000,10143,PHL,3,total_houses
415,PH021517000,8862,PHL,3,total_houses
416,PH021518000,5074,PHL,3,total_houses
417,PH021519000,10681,PHL,3,total_houses
418,PH021520000,5515,PHL,3,total_houses
419,PH021521000,4033,PHL,3,total_houses
420,PH021522000,5594,PHL,3,total_houses
421,PH021523000,7723,PHL,3,total_houses
422,PH021524000,980,PHL,3,total_houses
423,PH021525000,4282,PHL,3,total_houses
424,PH021526000,6439,PHL,3,total_houses
425,PH021527000,18594,PHL,3,total_houses
426,PH021528000,13540,PHL,3,total_houses
427,PH021529000,32674,PHL,3,total_houses
428,PH023101000,16888,PHL,3,total_houses
429,PH023102000,9834,PHL,3,total_houses
430,PH023103000,8434,PHL,3,total_houses
431,PH023104000,6858,PHL,3,total_houses
432,PH023105000,5672,PHL,3,total_houses
433,PH023106000,9866,PHL,3,total_houses
434,PH023107000,9036,PHL,3,total_houses
435,PH023108000,30207,PHL,3,total_houses
436,PH023135000,30158,PHL,3,total_houses
437,PH023109000,10264,PHL,3,total_houses
438,PH023118000,6554,PHL,3,total_houses
439,PH023110000,1229,PHL,3,total_houses
440,PH023111000,1260,PHL,3,total_houses
441,PH023112000,18536,PHL,3,total_houses
442,PH023113000,6666,PHL,3,total_houses
443,PH023114000,33887,PHL,3,total_houses
444,PH023115000,10543,PHL,3,total_houses
445,PH023116000,4486,PHL,3,total_houses
446,PH023117000,935,PHL,3,total_houses
447,PH023119000,7588,PHL,3,total_houses
448,PH023120000,7299,PHL,3,total_houses
449,PH023121000,3818,PHL,3,total_houses
450,PH023122000,5872,PHL,3,total_houses
451,PH023123000,6258,PHL,3,total_houses
452,PH023124000,13040,PHL,3,total_houses
453,PH023125000,5828,PHL,3,total_houses
454,PH023126000,14149,PHL,3,total_houses
455,PH023127000,5377,PHL,3,total_houses
456,PH023128000,4595,PHL,3,total_houses
