station_code,station_name,lat,lon,custom_threshold,2yr_threshold,5yr_threshold,10yr_threshold,20yr_threshold,2yr_threshold_7day,5yr_threshold_7day,10yr_threshold_7day,20yr_threshold_7day,2yr_threshold_3day,5yr_threshold_3day,10yr_threshold_3day,20yr_threshold_3day
KEGVS4,,1.549999952,36.25,,136.2773438,243.5820923,336.3775838,382.7753296,,,,,,,,
KEGVS5,,1.850000024,35.45000076,,2647.74585,2971.138428,3250.803304,3390.635742,,,,,,,,
KEGVS6,,1.649999976,35.75,,1488.403442,1717.217896,1915.092977,2014.030518,,,,,,,,
KEGVS7,,2.650000095,35.34999847,,2652.145508,3006.272461,3312.516113,3465.637939,,,,,,,,
KEGVS8,,4.949999809,34.84999847,,65.2111969,140.2682037,205.1763357,237.6304016,,,,,,,,
KEGVS9,,-2.349999905,38.75,,111.8960953,207.6681061,290.4902598,331.9013367,,,,,,,,
KEGVS10,,-3.450000048,39.15000153,,30.87397575,59.43862915,84.14089966,96.49203491,,,,,,,,
KEGVS11,,-3.049999952,39.25,,845.9244995,1176.898438,1463.119629,1606.230225,,,,,,,,
KEGVS12,,-0.150000006,39.15000153,,1111.097534,1669.316284,2152.055298,2393.424805,,,,,,,,
KEGVS13,,-1.649999976,41.15000153,,21.20012283,50.98806763,76.74821981,89.6282959,,,,,,,,
KEGVS14,,0.150000006,40.25,,697.4329834,1082.80835,1416.074951,1582.708252,,,,,,,,
KEGVS15,,1.25,40.65000153,,130.2957306,283.5481567,416.0784709,482.3436279,,,,,,,,
KEGVS16,,3.950000048,41.75,,1043.760132,1358.624634,1630.914673,1767.059692,,,,,,,,
KEGVS17,,-1.149999976,35.15000153,,415.7259827,544.0563965,655.0345459,710.5236206,,,,,,,,
KEGVS18,,-1.049999952,34.45000076,,112.2462845,158.743042,198.9527283,219.0575714,,,,,,,,
KEGVS19,,-0.449999988,35.15000153,,652.6843262,938.8914185,1186.398865,1310.152588,,,,,,,,
KEGVS20,,0.550000012,34.75,,1602.301392,1900.765381,2158.872477,2287.926025,,,,,,,,
KEGVS21,,0.75,38.04999924,,852.0814209,1282.195557,1654.151693,1840.129761,,,,,,,,
KEGVS22,,-2.349999905,37.54999924,,58.80504608,102.6819611,140.6260427,159.5980835,,,,,,,,
KEGVS23,,-2.25,38.04999924,,182.6540833,324.6861572,447.5133057,508.9268799,,,,,,,,
DWRM1,R. Manafwa at Butaleja,0.95,33.95,841,,841,,,,,,,,,,
DWRM2,R. Sio,0.25,34.05,92,,92,,,,,,,,,,
DWRM3,R. Mpologoma at Budumba,0.75,33.75,427,,427,,,,,,,,,,
DWRM7,R. Muzizi,0.85,30.75,21,,21,,,,,,,,,,
DWRM9,R. Mitano,-0.75,29.75,104,,104,,,,,,,,,,
DWRM10,R. Mayanja,0.65,32.15,84,,84,,,,,,,,,,
DWRM12,R. Nkusi,1.15,30.95,28,,28,,,,,,,,,,
DWRM14,Akokoro at Uganda Gauge,1.75,33.85,100,,100,,,,,,,,,,
