woreda;pcode;station_code
Seweyna;ET042105;G5081
Shashemene Zuria;ET041712;no_station
Sheraro town;ET010107;no_station
Silti;ET072002;no_station
Sodo Town;ET070613;no_station
Tach Armacho;ET031120;no_station
Raya Alamata;ET010407;no_station
Saharti;ET010601;no_station
Sawla town;ET071507;no_station
Sede Muja;ET030214;no_station
Semen Achefer;ET030701;G4977
Shala;ET041702;no_station
Shebe Sambo;ET040414;no_station
Shoa Robit;ET030595;no_station
Size town;ET071108;no_station
Suro Berguda;ET041594;no_station
Tarema Ber;ET030510;no_station
Teru;ET020403;no_station
Tsegede (TG);ET010503;no_station
Yalo;ET020404;no_station
Yayu;ET040309;no_station
Saba Boru;ET041412;no_station
Sale Nono;ET040313;no_station
Sayo Nole;ET040118;no_station
Seka Chekorsa;ET040409;no_station
Selewa;ET010401;no_station
Shabeeley;ET050204;no_station
Shebe Dino;ET160001;no_station
Shisho Ande;ET070913;no_station
Siya Debirna Wayu;ET030523;no_station
Sululta town;ET042005;no_station
Tebela town;ET070616;no_station
Tercha Zuriya;ET071707;no_station
Tora town;ET072009;no_station
Tulo (OR);ET040903;no_station
Wajale town;ET050295;no_station
Wayu Tuka;ET040206;no_station
Wenchi;ET041302;no_station
Woliso town;ET041311;no_station
Woreta town;ET030293;no_station
Sekoru;ET040403;no_station
Sendafa town;ET042018;no_station
Shakiso town;ET041499;no_station
Sheko;ET071101;no_station
Shone Town;ET070212;no_station
Sodo Daci;ET041314;no_station
Surma;ET071806;no_station
Telalek;ET020501;no_station
Teticha;ET160026;no_station
Tsegede (AM);ET031107;no_station
Uraga;ET041401;no_station
Wadla;ET030305;no_station
Welkait;ET010502;no_station
Wereilu town;ET030423;no_station
Wondo-Genet town;ET160036;no_station
Yirgachefe town;ET070512;no_station
Setema;ET040413;no_station
Shashemene town;ET041711;no_station
Shenkor;ET130102;no_station
Sibu Sire;ET040209;no_station
Sodo;ET070105;no_station
Sululta;ET042013;no_station
Tahtay Mayechew;ET010206;no_station
Tena;ET040813;no_station
Tiro Afeta;ET040404;no_station
Tuliguled;ET050283;no_station
Wajirat;ET010608;no_station
Wegde;ET030416;no_station
Wera;ET071402;no_station
Wondo;ET041797;no_station
Yabelo town;ET041296;no_station
Yirgachefe;ET070502;no_station
Zana;ET010103;no_station
Seyemti Adyabo;ET010110;no_station
Shay Bench;ET071104;no_station
Shilabo;ET050503;no_station
Sinana;ET041109;no_station
Sofi;ET130101;G5068
Tahtay Koraro;ET010104;no_station
Tenta;ET030402;no_station
Toke Kutaye;ET040517;no_station
Tselemti;ET010106;no_station
Wangey;ET050499;no_station
Welkite town;ET070114;no_station
West Belesa;ET031116;no_station
Wonosho;ET160013;no_station
Yahob;ET050498;no_station
Sherkole;ET060304;no_station
Sigmo;ET040412;no_station
Sodo Zuria;ET070605;no_station
Tahtay Adiyabo;ET010101;no_station
Teltale;ET041212;G5173
Thehulederie;ET030405;no_station
Tsaeda Emba;ET010314;no_station
Undulu;ET060308;no_station
Wadera;ET041404;no_station
Wegera;ET031109;no_station
Wera Djo;ET071404;no_station
Wub Ari;ET070711;no_station
Yeka;ET140107;no_station
Zabagazo;ET071710;no_station
Telemt;ET030119;no_station
Tikur Enchini;ET040509;G6110
Tsagbeji;ET030808;no_station
Wacha;ET070914;no_station
Wara Jarso;ET040601;no_station
Were Ilu;ET030415;no_station
Wondo-Genet;ET160019;no_station
Yabelo;ET041207;G5173
Yem SP Woreda;ET072401;G6109
Zata;ET010413;no_station
Tiyo;ET040816;no_station
Tullo;ET070906;no_station
Waliso;ET041303;no_station
Wemberma;ET030711;no_station
West Imi;ET050805;G1907
Wuchale;ET040608;no_station
Yeki;ET070803;no_station
Zala;ET071503;no_station
Tocha;ET071701;no_station
Tsimbla;ET010113;no_station
Wama Hagalo;ET040216;no_station
Welmera;ET042014;no_station
West Dembiya;ET031125;no_station
Worabe town;ET072010;no_station
Yaya Gulele;ET040614;no_station
Yocale;ET050382;no_station
Zequala;ET030801;no_station
Tole;ET041308;no_station
Uba Debre Tsehay;ET071504;no_station
Wahil;ET150207;no_station
Warder;ET050704;no_station
Wenbera;ET060203;no_station
Woldiya town;ET030309;no_station
Wukro town;ET010309;no_station
Yilmana Densa;ET030703;G4953
Zayi;ET060401;no_station
Wachile;ET041298;no_station
Wantawo;ET120104;G5056
Wenago;ET070501;G4979
West Esite;ET030211;no_station
Worebabu;ET030422;G1045
Yama Logi Welel;ET041802;no_station
Yubdo;ET040112;no_station
Ziway Dugda;ET040806;no_station
