"pcode","date","dmp"
"KE013",2012-02-29,41.2242424242424
"KE026",2012-02-29,36.2207792207792
"KE023",2012-02-29,5.24697955390335
"KE027",2012-02-29,35.9818181818182
"KE038",2012-02-29,48.8947368421053
"KE008",2012-02-29,6.39856274184632
"KE024",2012-02-29,25.5529010238908
"KE033",2012-02-29,44.6690017513135
"KE001",2012-02-29,16.2
"KE005",2012-02-29,29.5614973262032
"KE030",2012-03-10,28.1080291970803
"KE036",2012-03-10,76.9866666666667
"KE039",2012-03-10,39.6774193548387
"KE040",2012-03-10,34.2336448598131
"KE028",2012-03-10,55.3105263157895
"KE014",2012-03-10,37.4624277456647
"KE007",2012-03-10,8.32359307359307
"KE043",2012-03-10,39.5527638190955
"KE019",2012-03-10,62.5
"KE011",2012-03-10,7.5150955021565
"KE034",2012-03-10,20.7351664254703
"KE037",2012-03-10,45.9627659574468
"KE035",2012-03-10,61.3051948051948
"KE022",2012-03-10,58.3710691823899
"KE003",2012-03-10,18.4993630573248
"KE020",2012-03-10,65.4526315789474
"KE045",2012-03-10,63.65
"KE042",2012-03-10,39.0873015873016
"KE015",2012-03-10,16.7288659793814
"KE002",2012-03-10,19.8596153846154
"KE031",2012-03-10,28.2915309446254
"KE016",2012-03-10,22.6424870466321
"KE017",2012-03-10,25.7739463601533
"KE009",2012-03-10,8.1066265060241
"KE025",2012-03-10,19.1851574212894
"KE010",2012-03-10,5.86111724442482
"KE012",2012-03-10,41.372197309417
"KE044",2012-03-10,49.7633136094675
"KE021",2012-03-10,66.6319018404908
"KE047",2012-03-10,21.6046511627907
"KE032",2012-03-10,36.4800884955752
"KE029",2012-03-10,59.1011235955056
"KE046",2012-03-10,72.2068965517241
"KE018",2012-03-10,43.8
"KE041",2012-03-10,41.8375
"KE006",2012-03-10,18.8626373626374
"KE004",2012-03-10,7.2466800804829
"KE013",2012-03-10,39.8545454545455
"KE026",2012-03-10,35.5519480519481
"KE023",2012-03-10,5.61899233805433
"KE027",2012-03-10,35.7318181818182
"KE038",2012-03-10,54.6052631578947
"KE008",2012-03-10,5.65174129353234
"KE024",2012-03-10,25.5221843003413
"KE033",2012-03-10,54.19176882662
"KE001",2012-03-10,14.5
"KE005",2012-03-10,29.1631016042781
"KE030",2012-03-20,26.4992700729927
"KE036",2012-03-20,83.7697368421053
"KE039",2012-03-20,36.8225806451613
"KE040",2012-03-20,28.6728971962617
"KE028",2012-03-20,57.8359788359788
"KE014",2012-03-20,33.8313953488372
"KE007",2012-03-20,8.02633477633478
"KE043",2012-03-20,33.6733668341709
"KE019",2012-03-20,67.8985507246377
"KE011",2012-03-20,7.21503388786198
"KE034",2012-03-20,17.3654124457308
"KE037",2012-03-20,40.6276595744681
"KE035",2012-03-20,62.0451612903226
"KE022",2012-03-20,57.4842767295597
"KE003",2012-03-20,16.0522959183673
