name,description,type,depth,vulnerability,fid,lat,lon
Chilangano village borehole ,Near  rumphi river ,Borehole or tubewell,0,no risk,29344,-11.0347042,33.8634720
Nyalambi Village borehole ,Near Chankhuzi Hill ,Borehole or tubewell,0,no risk,29345,-11.5112265,33.7473507
Efelo Mkandawire waterpoint ,Near Ngowe trees ,Protected dug well,0,no risk,29346,-11.1178864,33.7793308
Laston Chavula Well ,Near Luziwa stream ,Protected dug well,0,no risk,29348,-11.5210005,33.7421199
Mkumbwa village  borehole,Near rukulu river ,Borehole or tubewell,0,no risk,29352,-11.0389103,33.8689883
,,Borehole or tubewell,0,no risk,29354,-11.1471575,33.7908142
Zgangani Thawi borehole ,Near kasitula river ,Borehole or tubewell,0,no risk,29355,-11.2747663,33.9343352
Chipetupetu Chione borehole ,Between chathipa and Chamono rivers ,Borehole or tubewell,0,no risk,29356,-11.2565187,33.9313785
Mangowe kamanga borehole ,Near banana farm ,Borehole or tubewell,0,no risk,29357,-11.2705584,33.9010616
Timothy Chione borehole ,Near kaikolombe river ,Borehole or tubewell,0,no risk,29358,-11.2626704,33.9217970
Katema Nyirogo borehole ,Near Gmelina trees ,Borehole or tubewell,0,no risk,29359,-11.2636401,33.9152226
Luhomero health center borehole ,Near Luhomero primary school ,Borehole or tubewell,0,no risk,29360,-11.2683073,33.9467041
Sunduzwayo Tembo borehole ,Near kachere big tree ,Borehole or tubewell,0,no risk,29361,-11.2772415,33.9403724
Stanley Chavula Well ,Near Luziwa stream ,Protected dug well,0,no risk,29362,-11.5087974,33.7321253
Zgalo Saka Well ,Near Luziwa stream ,Protected dug well,0,no risk,29363,-11.5057085,33.7319566
Foti Moyo Village borehole ,Near Kakalala stream ,Borehole or tubewell,0,no risk,29364,-11.4773891,33.7291104
,,Borehole or tubewell,0,no risk,29366,-11.1719587,33.5453393
,,Borehole or tubewell,0,no risk,29367,-11.8733028,33.5362170
,,Borehole or tubewell,0,no risk,29368,-11.5002011,33.7444913
,,Borehole or tubewell,0,no risk,29369,-11.1850926,33.5634166
,,Borehole or tubewell,0,no risk,29370,-11.2399433,33.3932653
 Chikuwa chiwogha community swallow well 1,Near kajolwe river ,Protected dug well,0,no risk,29371,-11.7246599,33.7425428
Luzanguliro tap,Near north lukulu river,Piped into public tap / standpipe / basin,0,no risk,29373,-10.3781529,33.7034137
