country_code,fid,name,education_level,school_year,source,school_id,amenity,lat,lon,depth,vulnerability
ETH,236,,,,,,,7.423,36.052,0,no risk
ETH,237,,,,,,,7.443,36.214,0,no risk
ETH,238,,,,,,,7.473,36.121,0,no risk
ETH,239,,,,,,,7.491,36.07,0,no risk
ETH,240,,,,,,,7.496,35.898,0,no risk
ETH,241,,,,,,,7.504,35.583,0,no risk
ETH,242,,,,,,,7.528,35.677,0,no risk
ETH,243,,,,,,,7.533,36.07,0,no risk
ETH,244,,,,,,,7.539,35.857,0,no risk
ETH,245,,,,,,,7.544,35.609,0,no risk
ETH,246,,,,,,,7.565,35.857,0,no risk
ETH,247,,,,,,,7.569,35.657,0,no risk
ETH,248,,,,,,,7.579,36.039,0,no risk
ETH,249,,,,,,,7.591,35.948,0,no risk
ETH,250,,,,,,,7.597,35.763,0,no risk
ETH,251,,,,,,,7.606,35.857,0,no risk
ETH,252,,,,,,,7.607,36.005,0,no risk
ETH,253,,,,,,,7.61,35.69,0,no risk
ETH,254,,,,,,,7.627,35.787,0,no risk
ETH,255,,,,,,,7.655,35.762,0,no risk
ETH,256,,,,,,,7.661,35.632,0,no risk
ETH,257,,,,,,,7.682,35.927,0,no risk
ETH,258,,,,,,,7.684,35.971,0,no risk
ETH,259,,,,,,,7.71,35.746,0,no risk
ETH,260,,,,,,,7.732,35.996,0,no risk
ETH,261,,,,,,,7.764,35.724,0,no risk
ETH,262,,,,,,,7.772,35.674,0,no risk
ETH,263,,,,,,,7.771,35.795,0,no risk
ETH,264,,,,,,,7.777,35.753,0,no risk
ETH,265,,,,,,,7.549,37.847,0,no risk
ETH,266,,,,,,,9.309,42.123,0,no risk
ETH,267,,,,,,,7.396,36.224,0,no risk
ETH,268,,,,,,,7.398,36.325,0,no risk
ETH,269,,,,,,,7.4,35.889,0,no risk
ETH,270,,,,,,,7.407,36.296,0,no risk
ETH,271,,,,,,,7.41,36.374,0,no risk
ETH,272,,,,,,,7.41,35.714,0,no risk
ETH,273,,,,,,,7.803,35.738,0,no risk
ETH,274,,,,,,,7.826,35.658,0,no risk
ETH,275,,,,,,,7.833,35.823,0,no risk
ETH,276,,,,,,,7.899,35.81,0,no risk
ETH,277,,,,,,,9.342,41.296,0,no risk
ETH,278,,,,,,,11.614,37.423,0,no risk
ETH,279,,,,,,,8.999,38.767,0,no risk
ETH,280,,,,,,,9.359,42.393,0,no risk
ETH,281,,,,,,,13.182,37.972,0,no risk
ETH,282,Danu Hospital,,,,,,9.03,38.762,0,no risk
ETH,283,,,,,,,8.115,37.932,0,no risk
ETH,284,,,,,,,9.09,36.557,0,no risk
ETH,285,,,,,,,8.318,35.559,0,no risk
ETH,286,,,,,,,6.541,38.741,0,no risk
ETH,287,,,,,,,7.707,37.855,0,no risk
ETH,288,,,,,,,9.459,39.609,0,no risk
ETH,289,,,,,,,8.775,35.648,0,no risk
ETH,290,,,,,,,9.615,38.067,0,no risk
ETH,291,,,,,,,9.646,38.126,0,no risk
ETH,292,,,,,,,9.671,37.9,0,no risk
ETH,293,,,,,,,12.605,39.517,0,no risk
ETH,294,Safari Academy,,,,,,8.986,38.862,0,no risk
ETH,295,,,,,,,8.985,38.861,0,no risk
ETH,296,,,,,,,8.993,38.858,0,no risk
ETH,297,,,,,,,8.989,38.861,0,no risk
ETH,298,,,,,,,10.587,39.004,0,no risk
ETH,299,Teddy language and computer academy,,,,,,11.085,39.738,0,no risk
ETH,300,,,,,,,5.878,36.631,0,no risk
ETH,301,,,,,,,9.426,42.038,0,no risk
ETH,302,,,,,,,9.025,38.715,0,no risk
ETH,303,,,,,,,10.333,39.779,0,no risk
ETH,304,,,,,,,3.715,37.962,0,no risk
ETH,305,,,,,,,10.285,39.802,0,no risk
ETH,306,,,,,,,6.06,37.559,0,no risk
ETH,307,Kukufto Secondary School,,,,,,12.627,39.648,0,no risk
ETH,308,,,,,,,9.341,42.788,0,no risk
ETH,309,,,,,,,9.364,42.794,0,no risk
ETH,310,,,,,,,9.364,42.794,0,no risk
ETH,311,,,,,,,13.568,39.258,0,no risk
ETH,312,Jijiga secondary and preparatory school,,,,,,9.351,42.794,0,no risk
ETH,313,Wilwal junior school,,,,,,9.351,42.793,0,no risk
ETH,314,The School of Excellence,,,,,,9.6,41.867,0,no risk
ETH,315,"Ambo University, Hachalu Hundessa campus.",,,,,,8.97,37.89,0,no risk
ETH,316,,,,,,,10.589,39.007,0,no risk
ETH,317,,,,,,,9.321,42.09,0,no risk
ETH,318,Hasedela campus Dilla university,,,,,,6.385,38.308,0,no risk
ETH,319,Unity University college Adama special campus,,,,,,8.54,39.25,0,no risk
ETH,320,Horn International University Collage,,,,,,9.356,42.791,0,no risk
ETH,321,Sheba University College: TVET Campus,,,,,,13.487,39.472,0,no risk
ETH,322,,,,,,,9.422,42.037,0,no risk
ETH,323,,,,,,,6.478,37.466,0,no risk
ETH,324,,,,,,,6.015,37.544,0,no risk
ETH,325,,,,,,,9.36,42.392,0,no risk
ETH,326,,,,,,,9.097,43.175,0,no risk
ETH,327,,,,,,,9.096,43.176,0,no risk
ETH,328,,,,,,,9.093,43.174,0,no risk
ETH,329,,,,,,,9.088,43.186,0,no risk
ETH,330,,,,,,,9.084,43.189,0,no risk
ETH,331,,,,,,,9.098,43.175,0,no risk
ETH,332,,,,,,,9.097,43.175,0,no risk
ETH,333,,,,,,,9.59,41.86,0,no risk
ETH,334,Sabiayan High School,,,,,,9.605,41.847,0,no risk
ETH,335,Warabaysa Primary School,,,,,,9.89,42.212,0,no risk
ETH,336,,,,,,,9.821,42.141,0,no risk
ETH,337,Harmukale primary school,,,,,,9.818,42.143,0,no risk
ETH,338,,,,,,,9.436,41.94,0,no risk
ETH,339,,,,,,,9.359,42.399,0,no risk
ETH,340,ክርስቶስ ት/ቤት,,,,,,9.59,41.869,0,no risk
ETH,341,,,,,,,9.474,41.501,0,no risk
ETH,342,,,,,,,8.385,41.879,0,no risk
ETH,343,,,,,,,9.096,43.181,0,no risk
ETH,344,,,,,,,9.094,43.183,0,no risk
ETH,345,,,,,,,9.092,43.18,0,no risk
ETH,346,,,,,,,9.095,43.176,0,no risk
ETH,347,,,,,,,9.081,43.189,0,no risk
ETH,348,,,,,,,9.106,43.173,0,no risk
ETH,349,,,,,,,11.591,41.448,0,no risk
ETH,350,,,,,,,4.174,42.036,0,no risk
ETH,351,CCT,,,,,,9.346,42.818,0,no risk
ETH,352,,,,,,,9.357,42.824,0,no risk
ETH,353,Jijiga University (School of Graduate Studies),,,,,,9.358,42.828,0,no risk
ETH,354,,,,,,,9.366,42.799,0,no risk
ETH,355,Melese zenawi t.v.e.t college,,,,,,9.6,41.852,0,no risk
ETH,356,,,,,,,8.231,43.558,0,no risk
ETH,357,,,,,,,7.221,38.626,0,no risk
ETH,358,,,,,,,7.085,39.065,0,no risk
ETH,359,,,,,,,7.557,37.866,0,no risk
ETH,360,,,,,,,11.008,38.202,0,no risk
ETH,361,,,,,,,10.961,38.046,0,no risk
ETH,362,,,,,,,10.949,38.185,0,no risk
ETH,363,,,,,,,11.933,36.874,0,no risk
ETH,364,,,,,,,7.202,38.601,0,no risk
ETH,365,,,,,,,6.976,39.189,0,no risk
ETH,366,,,,,,,7.748,35.804,0,no risk
ETH,367,,,,,,,7.207,38.608,0,no risk
ETH,368,,,,,,,10.877,38.37,0,no risk
ETH,369,,,,,,,7.364,38.678,0,no risk
ETH,370,UoG Tewodros campus computer Lab,,,,,,12.588,37.442,0,no risk
ETH,371,,,,,,,10.807,38.746,0,no risk
ETH,372,,,,,,,10.724,39.025,0,no risk
ETH,373,,,,,,,7.059,38.472,0,no risk
ETH,374,Gondar TVET,,,,,,12.597,37.45,0,no risk
ETH,375,,,,,,,10.972,38.929,0,no risk
ETH,376,,,,,,,10.776,38.87,0,no risk
ETH,377,,,,,,,10.932,38.651,0,no risk
ETH,378,Siket elementary school,,,,,,6.425,38.291,0,no risk
ETH,379,,,,,,,9.903,38.051,0,no risk
ETH,380,Primary school,,,,,,6.411,38.298,0,no risk
ETH,381,,,,,,,7.286,38.652,0,no risk
ETH,382,,,,,,,12.59,37.441,0,no risk
ETH,383,Wondo Genet College of Forestry and Natural Resources,,,,,,7.101,38.627,0,no risk
ETH,384,Addis Ababa University College of Health Science Ziway Campus,,,,,,7.936,38.719,0,no risk
ETH,385,,,,,,,8.043,38.001,0,no risk
ETH,386,,,,,,,7.489,38.729,0,no risk
ETH,387,,,,,,,8.06,38.47,0,no risk
ETH,388,,,,,,,7.519,39.253,0,no risk
ETH,389,,,,,,,8.995,38.726,0,no risk
ETH,390,School of Tomorrow  (Bisrat Branch),,,,,,8.993,38.729,0,no risk
ETH,391,,,,,,,8.982,38.73,0,no risk
ETH,392,,,,,,,8.995,38.707,0,no risk
ETH,393,Meserete edget school,,,,,,9.025,38.715,0,no risk
ETH,394,Mandela Distance Education Academy,,,,,,9.004,38.755,0,no risk
ETH,395,,,,,,,8.957,38.774,0,no risk
ETH,396,El-Bethel School,,,,,,8.958,38.775,0,no risk
ETH,397,,,,,,,8.975,36.467,0,no risk
ETH,398,Bingham Academy,,,,,,9.041,38.717,0,no risk
ETH,399,Berhan Ber,,,,,,9.041,38.716,0,no risk
ETH,400,Fasil Primary School,,,,,,9.061,38.719,0,no risk
ETH,401,Jemmo primary school,,,,,,8.998,38.681,0,no risk
ETH,402,ICSAddis,,,,,,8.997,38.729,0,no risk
ETH,403,Rahel Kindergaten,,,,,,7.533,39.248,0,no risk
ETH,404,,,,,,,8.988,38.758,0,no risk
ETH,405,,,,,,,7.525,39.245,0,no risk
ETH,406,,,,,,,9.004,38.753,0,no risk
ETH,407,,,,,,,9.043,38.72,0,no risk
ETH,408,,,,,,,9.047,38.72,0,no risk
