country_code,fid,name,lat,lon,education_level,school_year,source,vulnerability,depth,school_id,amenity
MWI,505609,Kayuni,-9.96359823483,33.6819822142,Primary,,government,no risk,0,,
MWI,505610,Chiteka,-9.98774884868,33.6200111278,Primary,,government,no risk,0,,
MWI,506196,Kamanga,-9.91608424635,33.680356743,Primary,,government,no risk,0,,
MWI,509440,Chimembe,-9.85299663097,33.660090718,Primary,,government,no risk,0,,
MWI,500074,Bwengu Sch,-11.0670947558,33.915070222,Primary,,government,no risk,0,,
MWI,501164,Katope Sch,-11.0711943666,34.0055611321,Primary,,government,no risk,0,,
MWI,501423,Luzi Sch,-10.9966189445,33.9576225666,Primary,,government,no risk,0,,
MWI,502685,ST Vincent Sch,-11.0133736161,33.9844149609,Primary,,government,no risk,0,,
MWI,502771,Thumbi Sch,-11.0265527279,33.9351850969,Primary,,government,no risk,0,,
MWI,502801,Tukuyu Sch,-11.0931258821,33.8964372534,Primary,,government,no risk,0,,
MWI,502932,ST Dominic Sch,-11.078044897,33.91587448,Primary,,government,no risk,0,,
MWI,503426,Chitokoto Sch,-11.0466611331,33.9293717703,Primary,,government,no risk,0,,
MWI,503974,Mtendere Sch,-11.0651920492,33.9374358137,Primary,,government,no risk,0,,
MWI,504717,Songamino Sch,-11.0774925615,34.0322986246,Primary,,government,no risk,0,,
MWI,504718,Chanolo Sch,-11.0058507296,33.9455628886,Primary,,government,no risk,0,,
MWI,500021,Barwe Sch,-10.9698985573,33.7602717099,Primary,,government,no risk,0,,
MWI,500149,Chanyoli Sch,-11.034151705,33.7311396279,Primary,,government,no risk,0,,
MWI,500302,Chikwawa Sch,-10.9943846236,33.7648911991,Primary,,government,no risk,0,,
MWI,500508,Chirambo Sch,-10.9726827237,33.7130419061,Primary,,government,no risk,0,,
MWI,500786,Jumbi Sch,-10.8856163856,33.7552367973,Primary,,government,no risk,0,,
MWI,501022,Kanyerere Sch,-10.9476999769,33.7587352105,Primary,,government,no risk,0,,
MWI,501395,Lundu Sch,-10.9224397331,33.7388627134,Primary,,government,no risk,0,,
MWI,502891,Betere Sch,-11.0567879125,33.7172549391,Primary,,government,no risk,0,,
MWI,503832,Luparamizi Sch,-10.9317654198,33.7719716915,Primary,,government,no risk,0,,
MWI,503844,Jandang'ombe Sch,-10.9892496224,33.7568983569,Primary,,government,no risk,0,,
MWI,504758,Mphande Sch,-10.9317100373,33.7513487468,Primary,,government,no risk,0,,
MWI,505380,Bolero Sch,-10.973279741,33.742408752,Primary,,government,no risk,0,,
MWI,505965,Lunyina Sch,-10.8651606223,33.7588242652,Primary,,government,no risk,0,,
MWI,500615,Chozoli Sch,-11.0039989121,33.7987860554,Primary,,government,no risk,0,,
MWI,501679,Mbiriwizi Sch,-10.9849429219,33.8242527099,Primary,,government,no risk,0,,
MWI,502611,Rumphi Catholic Sch,-11.0254497975,33.8727982814,Primary,,government,no risk,0,,
MWI,502688,St Denis Sch,-11.0115843053,33.8545900129,Primary,,government,no risk,0,,
MWI,502890,Phalasito Sch,-11.0152763317,33.8169166772,Primary,,government,no risk,0,,
MWI,503686,Nkhwangu Sch,-10.9794705193,33.7863167527,Primary,,government,no risk,0,,
MWI,503839,Tenthere Sch,-11.0203824316,33.8370593785,Primary,,government,no risk,0,,
MWI,503895,Bumba Sch,-11.0242555467,33.8491745787,Primary,,government,no risk,0,,
MWI,504762,Hope Foundation Sch,-11.0138710136,33.8633437227,Primary,,government,no risk,0,,
MWI,505954,Bethel Mission Sch,-11.0207621972,33.8477336962,Primary,,government,no risk,0,,
MWI,506345,Chandamale Sch,-11.017208302,33.8447727418,Primary,,government,no risk,0,,
MWI,506682,Mayembe Sch,-11.0075597662,33.8719340549,Primary,,government,no risk,0,,
MWI,507232,Njolowiro Sch,-10.9943958334,33.8559565916,Primary,,government,no risk,0,,
MWI,500008,Bale Sch,-10.8201834052,34.103817797,Primary,,government,no risk,0,,
MWI,500069,Bwang`ombe Sch,-10.8245391217,34.1541622344,Primary,,government,no risk,0,,
MWI,500770,Jalawe Sch,-10.7321558461,34.1630455935,Primary,,government,no risk,0,,
MWI,501220,Kawelezi Sch,-10.7545252443,34.1284753339,Primary,,government,no risk,0,,
MWI,503840,Mchenga Sch,-10.7038898639,34.1416544791,Primary,,government,no risk,0,,
MWI,503841,Bunga Sch,-10.7559783335,34.1729369663,Primary,,government,no risk,0,,
MWI,503846,Mulyezi Sch,-10.7637681256,34.1412254693,Primary,,government,no risk,0,,
MWI,506338,Kakuyu Sch,-10.7390727795,34.1450847785,Primary,,government,no risk,0,,
MWI,506340,Chankhama Sch,-10.8012071008,34.1706722612,Primary,,government,no risk,0,,
MWI,506343,Kambwiya Sch,-10.7575808698,34.1216634775,Primary,,government,no risk,0,,
MWI,506344,Mphula Sch,-10.7165611368,34.1558046297,Primary,,government,no risk,0,,
MWI,500944,Kamphenda Sch,-11.0381754156,33.5811858915,Primary,,government,no risk,0,,
MWI,501409,Lusani Sch,-11.0682425663,33.6114031947,Primary,,government,no risk,0,,
MWI,503496,Kasere Sch,-11.020382321,33.6143031686,Primary,,government,no risk,0,,
MWI,503542,Magalasi Sch,-11.0370988458,33.6292985074,Primary,,government,no risk,0,,
MWI,505382,Matunkha Sch,-11.0867317559,33.7055675682,Primary,,government,no risk,0,,
MWI,506265,Kasongwe Sch,-11.0746924787,33.6965212175,Primary,,government,no risk,0,,
MWI,506267,Kalakalaka Sch,-11.0511237747,33.5861573456,Primary,,government,no risk,0,,
MWI,506681,Kanandi Sch,-11.0682924449,33.7336477929,Primary,,government,no risk,0,,
MWI,509089,Mafumu Sch,-11.0488938002,33.6512380048,Primary,,government,no risk,0,,
MWI,501350,Livingstonia Sch,-10.5970671761,34.1061407775,Primary,,government,no risk,0,,
MWI,501428,Lwatizi Sch,-10.6295028037,34.1380330875,Primary,,government,no risk,0,,
MWI,502773,Thunda Sch,-10.6258531808,34.1055993586,Primary,,government,no risk,0,,
MWI,504775,Mantchewe Sch,-10.5875352983,34.1249461957,Primary,,government,no risk,0,,
MWI,505939,Mahilu Sch,-10.6246754635,34.172251319,Primary,,government,no risk,0,,
MWI,505941,Katochi Sch,-10.6426932948,34.1860683442,Primary,,government,no risk,0,,
MWI,505942,Chonkhomoka Sch,-10.6712110416,34.1496091778,Primary,,government,no risk,0,,
MWI,501130,Kasonkhwe Sch,-10.7332293026,34.0775254589,Primary,,government,no risk,0,,
MWI,501404,Lura Sch,-10.7351817843,34.0341013755,Primary,,government,no risk,0,,
MWI,502457,Nkhomboli Sch,-10.7722606973,34.0375098698,Primary,,government,no risk,0,,
MWI,502857,Zombe Sch,-10.8087450946,34.066514916,Primary,,government,no risk,0,,
MWI,503444,Gamba Sch,-10.7522701979,34.0639987848,Primary,,government,no risk,0,,
MWI,503534,Luwendela Sch,-10.7466936405,34.036799087,Primary,,government,no risk,0,,
MWI,505624,Ntchenachena Sch,-10.7524577594,34.0345808215,Primary,,government,no risk,0,,
MWI,506268,Mdimwa Sch,-10.7873556575,34.0492061967,Primary,,government,no risk,0,,
MWI,506341,Chivwanyuma Sch,-10.7845182404,34.0297551523,Primary,,government,no risk,0,,
MWI,506342,Luchezi Sch,-10.7698649306,34.0117493886,Primary,,government,no risk,0,,
MWI,500026,Bembe Sch,-10.92576098,33.6263596216,Primary,,government,no risk,0,,
MWI,501382,Luhono Sch,-10.9864895435,33.635191054,Primary,,government,no risk,0,,
MWI,501413,Luvuri Sch,-10.9569744021,33.6496684392,Primary,,government,no risk,0,,
MWI,502464,Nkhozo Sch,-10.9340726679,33.6808678276,Primary,,government,no risk,0,,
MWI,502670,Sokolo Sch,-10.9148355211,33.6510289849,Primary,,government,no risk,0,,
MWI,502889,Chitipwiri Sch,-10.9610593531,33.6831511194,Primary,,government,no risk,0,,
MWI,503845,Chankhomi Sch,-10.9700303083,33.6772256974,Primary,,government,no risk,0,,
MWI,505381,Mkama Sch,-10.8996675441,33.7107590654,Primary,,government,no risk,0,,
MWI,505628,Kapyolambavi Sch,-11.0296637054,33.726138797,Primary,,government,no risk,0,,
MWI,506347,Mbweziwe Sch,-10.8689949351,33.6866378273,Primary,,government,no risk,0,,
MWI,500249,Chihanga Sch,-10.5844433945,34.1596037379,Primary,,government,no risk,0,,
MWI,500550,Chitimba Sch,-10.5865129731,34.1703740402,Primary,,government,no risk,0,,
MWI,500587,Chiweta Sch,-10.7057979321,34.1829610152,Primary,,government,no risk,0,,
MWI,500605,Chombe Sch,-10.65435675,34.1925531935,Primary,,government,no risk,0,,
MWI,501422,Luwuchi Sch,-10.6802462498,34.1888293741,Primary,,government,no risk,0,,
MWI,501890,Mlowe Sch,-10.7688003683,34.2019830468,Primary,,government,no risk,0,,
MWI,502458,Nkhombwa Sch,-10.7906371314,34.2081740046,Primary,,government,no risk,0,,
MWI,502746,Thekero Sch,-10.6121423585,34.1792337919,Primary,,government,no risk,0,,
MWI,502860,Zowo Sch,-10.73366284,34.2022361444,Primary,,government,no risk,0,,
MWI,504763,Bombo Sch,-10.7547114898,34.2024078927,Primary,,government,no risk,0,,
MWI,506058,Champhera Sch,-10.6916563117,34.1834223786,Primary,,government,no risk,0,,
MWI,506346,Kahewe Sch,-10.5952058601,34.1702476731,Primary,,government,no risk,0,,
MWI,500577,Chivungulu Sch,-10.8716281141,34.0239172829,Primary,,government,no risk,0,,
MWI,501686,Mbulunji Sch,-10.823231458,34.0156721918,Primary,,government,no risk,0,,
MWI,501764,Mhuju Sch,-10.8658872209,33.9923372593,Primary,,government,no risk,0,,
MWI,502591,Phwamphwa Sch,-10.8403268956,34.0042839463,Primary,,government,no risk,0,,
MWI,502883,Kauka Sch,-10.855705851,33.9824168214,Primary,,government,no risk,0,,
MWI,503837,Kawembe Sch,-10.892870264,33.9969132495,Primary,,government,no risk,0,,
MWI,503850,Chimyanga Sch,-10.8054105433,34.0210867989,Primary,,government,no risk,0,,
MWI,505631,Lubagha Sch,-10.888467991,33.9802597093,Primary,,government,no risk,0,,
MWI,506097,Ngalaghala Sch,-10.8358070098,34.0356654908,Primary,,government,no risk,0,,
MWI,506098,Kafukwe Sch,-10.8684321554,33.9778103227,Primary,,government,no risk,0,,
MWI,506099,Katete Sch,-10.8874600027,34.018065854,Primary,,government,no risk,0,,
MWI,500781,Jintha Jembe Sch,-11.0511315492,34.1069628321,Primary,,government,no risk,0,,
MWI,501012,Kanyawu Sch,-11.0409948846,34.0628638266,Primary,,government,no risk,0,,
MWI,501971,Mphompha Sch,-11.0029666812,34.0731222115,Primary,,government,no risk,0,,
MWI,503029,Mara Sch,-11.0042714578,34.1103131518,Primary,,government,no risk,0,,
MWI,503828,Mzale Sch,-10.9930062615,34.0541204055,Primary,,government,no risk,0,,
MWI,503830,Mzungutwa Sch,-10.9854278425,34.0227364406,Primary,,government,no risk,0,,
MWI,505083,Chiwondola Sch,-11.0235603608,34.0634562019,Primary,,government,no risk,0,,
MWI,505426,Kasenga Sch,-11.0073046967,34.0192239932,Primary,,government,no risk,0,,
MWI,506266,Sasasa Sch,-11.0440934312,34.0418009512,Primary,,government,no risk,0,,
MWI,509431,Masurwe Sch,-11.0307422428,34.0965495604,Primary,,government,no risk,0,,
MWI,500054,Bululuji Sch,-10.9864165412,33.5528882518,Primary,,government,no risk,0,,
MWI,500140,Chankharamu Sch,-10.897728012,33.5567802817,Primary,,government,no risk,0,,
MWI,500540,Chitanga Sch,-10.9107082072,33.5893805483,Primary,,government,no risk,0,,
MWI,501233,Kayola Sch,-10.9809640809,33.5819060479,Primary,,government,no risk,0,,
MWI,502193,Mwazisi Sch,-10.9431590469,33.5763429386,Primary,,government,no risk,0,,
MWI,502831,Waliro Sch,-11.0045572315,33.5823830876,Primary,,government,no risk,0,,
MWI,502887,Chiyola Sch,-10.90975998,33.5728883285,Primary,,government,no risk,0,,
MWI,503848,Sinjiliheni Sch,-11.028844185,33.5596642686,Primary,,government,no risk,0,,
MWI,505262,Kankhoka Sch,-10.9259870113,33.5505179725,Primary,,government,no risk,0,,
MWI,506684,Mswaya Sch,-10.9384724468,33.5646153298,Primary,,government,no risk,0,,
MWI,500460,Chinyolo Sch,-10.926632811,34.0029239844,Primary,,government,no risk,0,,
MWI,501397,Lungazi Sch,-10.9336144451,34.0536444426,Primary,,government,no risk,0,,
MWI,501853,Mkombezi Sch,-10.9489724181,33.9767553745,Primary,,government,no risk,0,,
MWI,502171,Mwale Sch,-10.8711072722,34.0564514072,Primary,,government,no risk,0,,
MWI,503835,Luwira Sch,-10.9035279398,34.0636876533,Primary,,government,no risk,0,,
MWI,503847,Kakoloha Sch,-10.9695899985,33.9658372511,Primary,,government,no risk,0,,
MWI,504773,Chimusi Sch,-10.8879865655,34.0425182643,Primary,,government,no risk,0,,
MWI,505378,Mzokoto Sch,-10.9089091362,34.0313403228,Primary,,government,no risk,0,,
MWI,505944,Betha Sch,-10.8419316359,34.0871155862,Primary,,government,no risk,0,,
MWI,506059,Lusimbo Sch,-10.9063397277,34.0262339684,Primary,,government,no risk,0,,
MWI,506060,Chivwaradi Sch,-10.9276716488,34.0194125697,Primary,,government,no risk,0,,
MWI,506208,Chaguwu Sch,-10.9707290683,33.9804506762,Primary,,government,no risk,0,,
MWI,500032,Bera Sch,-10.9672813664,33.9314629535,Primary,,government,no risk,0,,
MWI,500044,Bondi Sch,-10.9372103823,33.8534758473,Primary,,government,no risk,0,,
MWI,500346,Chilulu Sch,-10.907632834,33.9641369056,Primary,,government,no risk,0,,
MWI,501384,Lukali Sch,-11.0005365739,33.9210631768,Primary,,government,no risk,0,,
MWI,503831,Chiskemba Sch,-11.0229725771,33.9132261907,Primary,,government,no risk,0,,
MWI,503836,Linga Sch,-10.9177274763,33.9457052247,Primary,,government,no risk,0,,
MWI,504759,Ng'onga Sch,-10.9428990512,33.9431658749,Primary,,government,no risk,0,,
MWI,504760,Lemba Sch,-10.9358496088,33.9205849996,Primary,,government,no risk,0,,
MWI,506683,Msikizi Sch,-10.9525954582,33.9341442285,Primary,,government,no risk,0,,
MWI,509088,Mbula Sch,-10.8993144555,33.9488914476,Primary,,government,no risk,0,,
MWI,502862,Zunga Sch,-10.8449135868,34.2115105259,Primary,,government,no risk,0,,
MWI,502882,Dowoko Sch,-10.8663635692,34.2133258958,Primary,,government,no risk,0,,
