CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,lat,lon,depth,vulnerability,fid
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.067,38.694,0,no risk,112
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.353,42.802,0,no risk,113
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.358,42.799,0,no risk,114
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.357,42.802,0,no risk,115
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.356,42.784,0,no risk,116
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.351,42.799,0,no risk,117
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.359,42.801,0,no risk,118
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.359,42.8,0,no risk,119
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.351,42.794,0,no risk,120
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.359,42.8,0,no risk,121
"CODE0RangeIndex(start=1, stop=785, step=1)",አማዞን መድኃኒት ቤት,አማዞን መድኃኒት ቤት,,,,8.541,39.265,0,no risk,122
"CODE0RangeIndex(start=1, stop=785, step=1)",በአ.ብ.ክ.መ ጤና ጥበቃ ቢሮ የቦሩ ሜዳ ሆስፒታል ማህበረሰብ አ��,በአ.ብ.ክ.መ ጤና ጥበቃ ቢሮ የቦሩ ሜዳ ሆስፒታል ማህበረሰብ አ��,,,,11.127,39.635,0,no risk,123
"CODE0RangeIndex(start=1, stop=785, step=1)",ዳሌ ወረዳ መገራ ጤና ጣብያ,ዳሌ ወረዳ መገራ ጤና ጣብያ,,,,6.693,38.355,0,no risk,124
"CODE0RangeIndex(start=1, stop=785, step=1)",አየር ጤና መካከለኛ ክሊኒክ,አየር ጤና መካከለኛ ክሊኒክ,,,,8.982,38.691,0,no risk,125
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,6.864,37.761,0,no risk,126
