ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM0_EN,ADM0_PCODE
Kabete,KE022119,Kiambu,KE022,Kenya,KE
Kabondo Kasipul,KE043246,Homa Bay,KE043,Kenya,KE
Kabuchai,KE039218,Bungoma,KE039,Kenya,KE
Kacheliba,KE024131,West Pokot,KE024,Kenya,KE
Kaiti,KE017085,Makueni,KE017,Kenya,KE
Kajiado Central,KE034184,Kajiado,KE034,Kenya,KE
Kajiado East,KE034186,Kajiado,KE034,Kenya,KE
Kajiado North,KE034183,Kajiado,KE034,Kenya,KE
Kajiado South,KE034187,Kajiado,KE034,Kenya,KE
Kajiado West,KE034185,Kajiado,KE034,Kenya,KE
Kaloleni,KE003013,Kilifi,KE003,Kenya,KE
Kamukunji,KE047288,Nairobi,KE047,Kenya,KE
Kandara,KE021109,Murang'a,KE021,Kenya,KE
Kanduyi,KE039220,Bungoma,KE039,Kenya,KE
Kangema,KE021104,Murang'a,KE021,Kenya,KE
Kangundo,KE016077,Machakos,KE016,Kenya,KE
Kapenguria,KE024129,West Pokot,KE024,Kenya,KE
Kapseret,KE027145,Uasin Gishu,KE027,Kenya,KE
Karachuonyo,KE043247,Homa Bay,KE043,Kenya,KE
Kasarani,KE047280,Nairobi,KE047,Kenya,KE
Kasipul,KE043245,Homa Bay,KE043,Kenya,KE
Kathiani,KE016079,Machakos,KE016,Kenya,KE
Keiyo North,KE028149,Elgeyo-Marakwet,KE028,Kenya,KE
Keiyo South,KE028150,Elgeyo-Marakwet,KE028,Kenya,KE
Kesses,KE027146,Uasin Gishu,KE027,Kenya,KE
Khwisero,KE037208,Kakamega,KE037,Kenya,KE
Kiambaa,KE022118,Kiambu,KE022,Kenya,KE
Kiambu,KE022117,Kiambu,KE022,Kenya,KE
Kibra,KE047278,Nairobi,KE047,Kenya,KE
Kibwezi East,KE017088,Makueni,KE017,Kenya,KE
Kibwezi West,KE017087,Makueni,KE017,Kenya,KE
Kieni,KE019095,Nyeri,KE019,Kenya,KE
Kigumo,KE021107,Murang'a,KE021,Kenya,KE
Kiharu,KE021106,Murang'a,KE021,Kenya,KE
Kikuyu,KE022120,Kiambu,KE022,Kenya,KE
Kilgoris,KE032177,Nakuru,KE032,Kenya,KE
Kilifi North,KE003011,Kilifi,KE003,Kenya,KE
Kilifi South,KE003012,Kilifi,KE003,Kenya,KE
Kilimani,KE047275,Nairobi,KE047,Kenya,KE
Kilome,KE017084,Makueni,KE017,Kenya,KE
Kimilili,KE039223,Bungoma,KE039,Kenya,KE
Kiminini,KE026139,Trans Nzoia,KE026,Kenya,KE
Kinango,KE002010,Kwale,KE002,Kenya,KE
Kinangop,KE018089,Nyandarua,KE018,Kenya,KE
Kipipiri,KE018090,Nyandarua,KE018,Kenya,KE
Kipkelion East,KE035188,Kericho,KE035,Kenya,KE
Kipkelion West,KE035189,Kericho,KE035,Kenya,KE
Kirinyaga Central,KE020103,Kirinyaga,KE020,Kenya,KE
Kisauni,KE001003,Mombasa,KE001,Kenya,KE
Kisumu Central,KE042240,Kisumu,KE042,Kenya,KE
Kisumu East,KE042238,Kisumu,KE042,Kenya,KE
Kisumu West,KE042239,Kisumu,KE042,Kenya,KE
