adm1_name;adm2_name;adm3_pcode;adm3_name;Date;Data_quality_score;disaster_type;ifrc_source;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha
Afar;Afar Zone 1;20103;Asayita;01-08-2009;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;05-09-2010;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;01-08-2013;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;01-10-2013;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;09-09-2017;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tigray;Western Tigray;10105;Asegede Tsimbila;01-08-2010;;flood;other;NA;4380;4380;NA;NA;NA;0;NA;NA;0;NA
OROMIA;Arsi;40802;Aseko;01-10-2019;6;flood;other;;;;;;528;;;;;
Benishangul Gumz;Asosa;60303;Assosa;07-09-2005;;flood;other;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20302;Awash Fentale;01-09-2005;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20302;Awash Fentale;01-09-2006;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20302;Awash Fentale;07-09-2007;5;flood;IFRC;NA;1149;1149;NA;NA;NA;1246;1149;NA;1246;NA
Afar;Afar Zone 3;20302;Awash Fentale;09-09-2008;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20302;Awash Fentale;01-09-2010;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20302;Awash Fentale;07-10-2013;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Zone 4;20401;Awra;01-04-2019;6;flood;other;30;;;;;;230;;;;
OROMIA;East Hararge;11067;Ayder;02-04-2018;;flood;other;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
Somali;Siti;50101;Ayisha;24-05-2006;6;flood;other;;;;;;;;;;;
Somali;Siti;50101;Ayisha;06-12-2006;0;flood;other;NA;3000;3000;NA;NA;NA;500;NA;19;500;NA
Somali;Siti;50101;Ayisha;21-04-2016;6;flood;other;;;;;;;;;;;
Somali;Siti;50101;Ayisha;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Fafen;50401;Babile;01-10-2019;6;flood;other;;;;;;;;;;;
Amhara;West Gojam;30702;Bahir Dar Zuria;18-08-2006;6;flood;IFRC;2425;;;;;;;;;;
Amhara;West Gojam;30702;Bahirdar Zuria;07-09-2006;;flood;other;NA;2642;2642;1;NA;293.5;0;NA;NA;0;293.5
Amhara;West Gojam;30702;Bahirdar Zuria;14-08-2008;;flood;other;NA;NA;NA;NA;NA;400;0;NA;NA;0;400
Amhara;West Gojam;30702;Bahirdar Zuria;01-08-2010;;flood;other;NA;6;6;NA;NA;636;0;NA;NA;0;636
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);17-06-2007;;flood;other;NA;NA;NA;4;NA;2861;87;NA;NA;87;2861
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);17-06-2007;0;flood;other;NA;NA;NA;4;NA;NA;87;NA;NA;87;NA
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);02-12-2001;;flood;other;NA;40;40;NA;NA;NA;16;NA;NA;16;NA
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);07-09-2007;;flood;other;NA;10000;10000;NA;NA;NA;0;NA;NA;0;NA
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;115.56;8;NA;NA;8;115.56
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;9;8;NA;4;8;9
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;39;39;2;NA;NA;14;NA;2;14;NA
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;7282;17;NA;NA;17;7282
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;2353.5;4;NA;NA;4;2353.5
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;4;26;NA;2;26;4
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;2.83;4;NA;NA;4;2.83
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;45.66;8;NA;16;8;45.66
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;19.1;4;NA;NA;4;19.1
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;124.5;5;NA;NA;5;124.5
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;2;2;NA;NA;2;2
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;NA;21;NA;NA;21;NA
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;0.05;4;NA;NA;4;0.05
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;3.5;1;NA;NA;1;3.5
SNNPR;South Omo;70702;Bako Gazer (Debub Ari);30-11-2007;;flood;other;NA;NA;NA;NA;NA;501;7;NA;NA;7;501
SNNPR;Basketo Sp. Wer;71801;Basketo;06-12-2006;;flood;other;NA;NA;NA;NA;NA;4425;0;330;NA;0;4425
OROMIA;East Shewa;41013;Bedeno;14-05-2005;;flood;other;NA;NA;NA;NA;NA;4.14;0;NA;NA;0;4.14
OROMIA;East Shewa;41013;Bedeno;07-09-2007;;flood;other;NA;NA;NA;NA;NA;230;0;NA;NA;0;230
OROMIA;East Shewa;41013;Bedeno;01-04-2010;;flood;other;NA;1700;1700;NA;NA;49;0;NA;NA;0;49
SNNPR;South Omo;70705;Bena Tsemai;07-09-2002;;flood;other;NA;3500;3500;NA;NA;NA;0;NA;NA;0;NA
SNNPR;South Omo;70705;Bena Tsemai;07-09-2007;;flood;other;NA;25000;25000;NA;NA;NA;0;NA;NA;0;NA
SNNPR;South Omo;70705;Bena Tsemai;07-09-2007;;flood;other;NA;2020;2020;NA;NA;93.5;0;NA;NA;0;93.5
SNNPR;South Omo;70705;Bena Tsemai;07-09-2007;;flood;other;NA;1045;1045;NA;NA;45;0;NA;NA;0;45
SNNPR;South Omo;70705;Bena Tsemai;07-09-2007;;flood;other;NA;825;825;NA;NA;35;0;NA;NA;0;35
SNNPR;South Omo;70705;Bena Tsemai;07-09-2007;;flood;other;NA;4168;4168;NA;NA;NA;0;NA;NA;0;NA
Amhara;East Gojam;30601;Bibugn;01-06-2004;;flood;other;NA;NA;NA;3;5;NA;0;NA;4;0;NA
OROMIA;East wollega;40205;Boneya Boshe;01-10-2019;6;flood;other;;1280;;;;97;;;;;
SNNPR;Gamugofa;71013;Bonke;07-09-2002;;flood;other;NA;1519;1519;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71013;Bonke;07-09-2004;;flood;other;NA;NA;NA;NA;NA;NA;0;500;NA;0;NA
SNNPR;Gamugofa;71013;Bonke;07-09-2006;;flood;other;NA;NA;NA;NA;NA;300;144;NA;NA;144;300
SNNPR;Gamugofa;71013;Bonke;07-09-2007;;flood;other;NA;445;445;NA;NA;945;55;445;89;55;945
SNNPR;Gamugofa;71013;Bonke;07-12-2007;;flood;other;NA;NA;NA;5;NA;606;0;2205;NA;0;606
OROMIA;East Shewa;40710;bora;01-08-2010;;flood;other;NA;5000;5000;1;NA;500;235;2000;NA;235;500
OROMIA;East Shoa;40710;Bora ;01-09-2019;6;flood;other;219;;;;;4 kebele farm land;;;;;
Amhara;South Wello;30412;Borena - Debresina;01-08-2010;;flood;other;NA;1189;1189;NA;NA;119;0;NA;NA;0;119
OROMIA;East Shewa;40702;Boset;01-07-2010;0;flood;other;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA
OROMIA;East shoa;40702;Boset;01-09-2019;6;flood;other;154;;;;;6 kebele farm land;;;;;
Amhara;North Wello;30301;Bugna;01-08-2005;;flood;other;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA
Amhara;North Wello;30301;Bugna;01-08-2010;;flood;other;NA;4462;4462;NA;NA;1004;28;50;NA;28;1004
SNNPR;Gedeo;70504;Bule;01-05-2004;;flood;other;NA;NA;NA;NA;NA;6.5;0;NA;NA;0;6.5
SNNPR;Gedeo;70504;Bule;07-09-2005;;flood;other;NA;NA;NA;NA;NA;1;0;NA;NA;0;1
SNNPR;Gedeo;70504;Bule;07-09-2005;;flood;other;NA;NA;NA;NA;NA;36;0;555;NA;0;36
Afar;Afar Zone 3;20305;Bure Mudaytu;01-09-2005;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20305;Bure Mudaytu;01-08-2006;5;flood;other;NA;10000;10000;NA;NA;NA;219;NA;NA;219;NA
