disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;adm4_name;adm4_pcode;County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera_cases;data_source;glidenumber;disaster_id;data_quality;magnitude_impact;date_recorded
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;426;0;0;2010/01/06
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;427;2;0;2010/01/06
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;428;2;0;2010/01/06
flood;kenya;;;Kitui;KE015;0;;0;;Kitui;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2010-000003-ken;619;1;1;2010/01/06
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2010-000003-ken;1166;2;1;2010/01/06
flood;kenya;;;Taita Taveta;KE006;0;;0;;Taita Taveta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1292;0;0;2010/01/06
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2010-000003-ken;1421;0;0;2010/01/06
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1422;2;1;2010/01/08
flood;kenya;;;Samburu;KE025;0;;0;;Samburu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1251;0;0;2010/01/09
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;19;1;1;2010/01/10
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;disinventer;0;20;2;0;2010/01/10
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;21;2;1;2010/01/10
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;22;1;1;2010/01/10
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;23;1;1;2010/01/10
flood;kenya;;;Nakuru;KE032;0;;0;;Nakuru;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1109;1;1;2010/01/10
