"time","Baringo","Bomet","Bungoma","Busia","Elgeyo-Mar","Embu","Garissa","Homa Bay","Nyeri","Isiolo","Kajiado","Kakamega","Kericho","Kiambu","Kilifi","Kirinyaga","Kisii","Kisumu","Kitui","Kwale","Laikipia","Machakos","Makueni","Mandera","Samburu","Marsabit","Meru","Migori","Murang'a","Nairobi","Nakuru","Nandi","Nyamira","Nyandarua","Siaya","Taita Tave","Tana River","Tharaka-Ni","Trans Nzoi","Turkana","Uasin Gish","Vihiga","Wajir","West Pokot","Narok","Mombasa","Lamu"
"22-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-02-2000",0,0,0,0,0,0,0,0.00100413057953119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000351669441442937,0,0,0,0,0,0,1.71496435541485e-06,0,0,0,0,0,0,0,0,0,0,0,0
"25-02-2000",0,0,0,0,0,0,0,0,0,0,8.42690424178727e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149836065247655,0,0,0,0,0,0,0,0,0,0,0
"26-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07822808483616e-05,0.00519268633797765,0,0,2.37814128922764e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00329259829595685,0,0,0,0,0,0,0,0,0,7.23343305253366e-07,0
"27-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50399480643682e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24443612448522e-06,0,0,0,0,0,0,0,0,0,0,0
"29-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220204819925129,0,0,0,0,0,0,0,0,0,0,0,0.00020132603822276,0,0,0,0,0,0,2.68610790499224e-07,0,0,0,0
"01-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203222289681435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18275161087513,0,0,0,0
"02-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46301341475919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05668079525879e-10,0
"03-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12088298465096e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54702820509556e-06,0,0,0,0
"06-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97993267395213e-07,0,0,0,1.41651639751217e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30805426326697e-07,0,0,0,0
"08-03-2000",0,0,0,0,0,0,0,6.80101511534303e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164411410689354,0,0,0,0.000680181488860399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18981904001703e-07,0,0,0,0
"09-03-2000",0,0,0.000144029982038774,0.0114813577383757,0,0,0,0.0144100012257695,0,0,0,0.00707512116059661,0,0,0,0,5.81693143431039e-07,0.00431221211329103,0,0,0,0,0,7.11572056388832e-07,0,0,0,0.0119807859882712,0,0,0,0,0,0,0.0195001251995564,0,0,0,0,0,0,0.000517012376803905,9.38964035412937e-07,0,3.57971458697648e-07,0,0
"10-03-2000",0,2.16656115270553e-08,0.00809559784829617,0.0199153665453196,0,0,0,0.0338798612356186,0,0,0,0.00348416692577302,9.80727236310486e-07,0,0,0,0.00195989524945617,0.00596012966707349,0,0,0,0,0,2.55882895316972e-07,0,0,0,0.0223627630621195,0,0,0,1.02399008028442e-06,2.84110740267352e-07,0,0.0219301991164684,0,0,0,0,0,0,7.05326192473876e-06,0,0,0.00291422102600336,0,0
"11-03-2000",0,0,0,1.35638231313351e-07,0,0,0,1.0434973773954e-07,0,0,6.15623775956919e-06,0,0,0,0,0,0,0,2.10397374758031e-05,0.0373508147895336,0,0,1.22689234558493e-05,0.0279505960643291,0,0,0,1.3972191936773e-06,0,0,0,0,0,0,1.89851778742423e-08,0.0109580364078283,0,0,0,0,0,0,0,0,0,1.97916847355373e-06,0
"12-03-2000",0,0,0,0,0,0,0,0,0,0,0.00674187485128641,0,0,0,0,0,0,0,0.0115861957892776,0.00145743228495121,0,0,0.00681314244866371,0,0,0,0,0,0,0,0,0,0,0,0,0.0190776344388723,0.000259671243838966,0,0,0,0,0,0,0,0,6.89758081762193e-08,0
"13-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71121919265715e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
