adm3_name;Date;Score;Data_source;comment ;disaster_type;country;adm1_name;adm2_name;adm3_pcode;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha;Region;Zone;Wereda;pcode;adm1_pcode;adm2_pcode
Arba Minch Town Adm;09/04/2013;6;https://reliefweb.int/disaster/fl-2013-000050-eth;Floods reported for nearby woredas in SNNPR, consistent with rainfall data;flood;ethiopia;SNNPR;Gamugofa;71016;;;;;;;;;;;;;;;;;
Arba Minch Town Adm;13/10/2014;7;https://reliefweb.int/disaster/fl-2014-000152-eth;unclear how to date: peak rainfall in data at 13-10-2014, flooding reported for SNNP region starting in September;flood;ethiopia;SNNPR;Gamugofa;71016;;;;;;;;;;;;;;;;;
Arba Minch Town Adm;27/04/2016;6;Assessment Capacity Project: https://reliefweb.int/report/ethiopia/acaps-briefing-note-ethiopia-floods-13-may-2016;Floods in SNNPR since April 2016, peak rainfall on 27-4-2016;flood;ethiopia;SNNPR;Gamugofa;71016;;;;;;;;;;;;;;;;;
Arba Minch Town Adm;17/06/2016;1;Assessment Capacity Project: https://reliefweb.int/report/ethiopia/acaps-briefing-note-ethiopia-floods-13-may-2016;large peak in rainfall, could be part of floods 27-4-2016?;flood;ethiopia;SNNPR;Gamugofa;71016;;;;;;;;;;;;;;;;;
Arba minch Zuria;02/03/2020;6;;;flood;ethiopia;SNNPR;Gamo;71015; 14,ooo;;;;;NA;;;;NA;;;;;;;
Arbaminch Zuria;01/04/2005;6;IFRC(Appeal);burst of the Sile and Sego rivers;flood;ethiopia;SNNPR;Gofa;71015;18,650;;;;;3,911;;;;;;;;;;;
Arero;01/04/2002;;;;flood;ethiopia;OROMIA;Borena;41208;NA;NA;NA;1;2;NA;0;NA;12;0;NA;OROMIA;Borena;Arero;41208;;
Artuma Fursi;07/09/2006;;;;flood;ethiopia;Amhara;Oromia;31004;NA;2755;2755;NA;NA;4150;1354;4951;NA;1354;4150;Amhara;Oromia;Artuma Fursi;31004;;
Artuma Fursi;07/09/2007;;;;flood;ethiopia;Amhara;Oromia;31004;NA;587;587;NA;NA;NA;0;NA;NA;0;NA;Amhara;Oromia;Artuma Fursi;31004;;
Artuma Fursi;22/08/2010;5;https://www.thenewhumanitarian.org/news/2010/08/25;;flood;ethiopia;Amhara;Oromia;31004;NA;7560;7560;NA;NA;1202;3;5883;NA;3;1202;Amhara;Oromia;Artuma Fursi;31004;;
Asagrt;01/10/2019;6;NDRMC(EW);flash flood;flood;ethiopia;Amhara;North Shewa;30514;239;;;;;22.5;;;;;;;;;;;
Asayita;01/09/2001;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;01/07/2003;0;;double line;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;3381;NA;NA;3381;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;01/07/2003;;;;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;3381;NA;NA;3381;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;05/09/2005;6;https://reliefweb.int/report/ethiopia/ethiopian-early-warning-system-monthly-report-september-2005;peak in discharge and identified incident in Dubti (nearest zone);flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;05/12/2005;0;;seems misplaced incident, no match with discharge and rainfall values and no info found on flood in that period. ;flood;ethiopia;Afar;Afar Zone 1;20103;NA;8700;8700;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;07/09/2006;0;;double line;flood;ethiopia;Afar;Afar Zone 1;20103;NA;24700;24700;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;07/09/2006;5;;discharge peak and general info available about floods in Afar Region August-September 2006;flood;ethiopia;Afar;Afar Zone 1;20103;NA;56300;56300;NA;NA;33305;169;NA;NA;169;33305;Afar;Afar Zone 1;Asayita;20103;;
Asayita;07/09/2007;5;https://www.ifrc.org/docs/appeals/07/MDRET004frep.pdf;more general info on flood in Afar;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;200;0;NA;NA;0;200;Afar;Afar Zone 1;Asayita;20103;;
Asayita;20/01/2008;0;;seems misplaced incident, no match with discharge and rainfall values and no info found on flood in that period. ;flood;ethiopia;Afar;Afar Zone 1;20103;NA;493;493;NA;NA;22;0;NA;NA;0;22;Afar;Afar Zone 1;Asayita;20103;;
Asayita;01/09/2008;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
