adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;PCODE;date_recorded;data_source;Data_quality_score;people_dead;people_injured;house_destroyed;house_damaged;household_displaced
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;22-04-2018;eoc;1;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Garashi;KE0030170084;KE0030170084;23-04-2018;eoc;1;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Garashi;KE0030170084;KE0030170084;25-04-2018;eoc;5;2;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;28-04-2016;eoc;5;7;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;28-04-2016;eoc;5;0;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;23-04-2013;disinventer;5;1;3;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;23-04-2013;disinventer;5;1;3;0;0;0
Turkana;KE023;Turkana South;KE023127;Lobokat;KE0231270635;KE0231270635;01-07-2010;disinventer;5;0;0;874;0;0
Turkana;KE023;Turkana South;KE023127;Lobokat;KE0231270635;KE0231270635;01-07-2010;disinventer;5;0;0;874;0;0
Baringo;KE030;Mogotio;KE030161;Emining;KE0301610803;KE0301610803;10-01-2010;disinventer;5;0;0;0;0;0
Makueni;KE017;Makueni;KE017086;Mavindini;KE0170860426;KE0170860426;14-04-2015;eoc;5;1;0;0;0;0
Mombasa;KE001;Mvita;KE001006;Tononoka;KE0010060028;KE0010060028;09-11-2012;eoc;5;0;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;28-12-2009;disinventer;5;3;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;01-07-2010;disinventer;5;5;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;01-05-2017;eoc;1;0;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;17-09-2017;eoc;5;0;0;0;0;0
Turkana;KE023;Turkana South;KE023127;Kaputir ;KE0231270633;KE0231270633;06-01-2010;disinventer;5;0;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;01-04-2013;disinventer;6;0;0;0;0;0
Turkana;KE023;Loima;KE023126;Loima;KE0231260631;KE0231260631;09-03-2016;eoc;5;3;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;28-04-2016;eoc;5;7;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;29-04-2016;eoc;1;0;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;02-05-2016;eoc;7;3;0;0;0;0
