wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8684076 9.605185, 41.8683032 9.6055612, 41.8682668 9.6057137, 41.8682 9.6060584, 41.8681258 9.6064224))",,residential,,0,no risk,50
"MULTILINESTRING ((41.8495524 9.587016, 41.8497334 9.5870663, 41.8499266 9.587106, 41.8500124 9.5871337, 41.8501358 9.5872025))",,residential,,0,no risk,51
"MULTILINESTRING ((41.848672 9.6175225, 41.8490002 9.6174628, 41.8491436 9.6175144))",,residential,,0,no risk,52
"MULTILINESTRING ((41.8702272 9.5852552, 41.8703439 9.5852459, 41.8704813 9.5852439, 41.8705678 9.5852459, 41.87083 9.5852258, 41.8708696 9.5852251, 41.8708843 9.5852215, 41.8709001 9.5852139, 41.8710238 9.5851322, 41.8710547 9.5851216, 41.8711318 9.5851117, 41.8712766 9.585111, 41.8716367 9.5851249, 41.8720209 9.585156, 41.872092 9.5851626, 41.8721182 9.5851593, 41.872143 9.5851481, 41.8721772 9.585111, 41.8722724 9.5850224, 41.872383 9.5849662, 41.8725413 9.5849312, 41.8727357 9.5849028, 41.8728759 9.5848895, 41.873236 9.5848624, 41.8735404 9.5848406))",,residential,,0,no risk,53
"MULTILINESTRING ((41.8763262 9.5905368, 41.8763336 9.5901464, 41.8763389 9.5898722, 41.8763493 9.5896126, 41.8763702 9.5892764))",,residential,,0,no risk,54
"MULTILINESTRING ((41.8756505 9.5895882, 41.8760007 9.5896062))",,residential,,0,no risk,55
"MULTILINESTRING ((41.8662277 9.5849583, 41.8664064 9.5849931, 41.8666839 9.5850434))",,residential,,0,no risk,56
"MULTILINESTRING ((41.8678115 9.5813311, 41.8668765 9.5811457, 41.8655974 9.5808995, 41.8651725 9.5809823, 41.8642722 9.5811795, 41.8640234 9.581256, 41.86352 9.581394))",,residential,,0,no risk,57
"MULTILINESTRING ((41.8791826 9.5990175, 41.879286 9.5990441, 41.8793195 9.5990534, 41.879335 9.5990633, 41.8793423 9.5990931, 41.879345 9.599142, 41.8793423 9.5992584, 41.8793316 9.5993774, 41.8793021 9.5995969))",,residential,,0,no risk,58
"MULTILINESTRING ((41.8713232 9.5902334, 41.8713722 9.5899788, 41.8713795 9.589955))",,residential,,0,no risk,59
"MULTILINESTRING ((41.8735501 9.5942348, 41.8733088 9.5947597, 41.8732041 9.594978, 41.8730301 9.5953292, 41.8728581 9.5956762))",,residential,,0,no risk,60
"MULTILINESTRING ((41.8712541 9.5988299, 41.871867 9.5989622, 41.8723994 9.5991129))",,residential,,0,no risk,61
"MULTILINESTRING ((41.8609866 9.6084696, 41.8608928 9.6086329))",,service,,0,no risk,62
"MULTILINESTRING ((41.8730365 9.5964745, 41.8732001 9.5963049, 41.873458 9.5960974))",,residential,,0,no risk,63
"MULTILINESTRING ((41.8716655 9.5997004, 41.8715532 9.5996709, 41.8714808 9.5996709, 41.8714057 9.5996868, 41.8709001 9.5999089))",,residential,,0,no risk,64
"MULTILINESTRING ((41.8638144 9.6091281, 41.8644413 9.6094242, 41.8645781 9.6094904))",,service,,0,no risk,65
