source,Area,year,month,Date,people_affected,people_dead,houses_affected,flood
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,7,0,2,1
Desinventar 26/8/2019,DIEMA,2012,7,19/07/2012,7,1,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,7,7,0,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,6,0,10,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,6,0,0,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,4,0,11,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,4,0,2,1
Desinventar 26/8/2019,YELIMANE,2010,9,12/09/2010,4,4,0,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,2,0,2,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,2,0,2,1
Desinventar 26/8/2019,KAYES,1995,7,17/07/1995,2,1,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,2,2,0,1
Desinventar 26/8/2019,BAFOULABE,2010,9,05/09/2010,2,2,0,1
Desinventar 26/8/2019,NIORO,2004,8,15/08/2004,1,1,1,1
Desinventar 26/8/2019,KENIEBA,2010,9,12/09/2010,1,1,0,1
Desinventar 26/8/2019,BAFOULABE,2010,9,21/09/2010,1,1,0,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,2,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,17,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,6,1
Desinventar 26/8/2019,NIORO,2012,8,03/08/2012,0,0,5,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,2,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,33,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,11,1
Desinventar 26/8/2019,BAFOULABE,2012,8,24/08/2012,0,0,4,1
Desinventar 26/8/2019,KITA,2014,6,02/06/2014,0,0,136,1
Desinventar 26/8/2019,KAYES,1999,8,05/08/1999,0,0,0,1
Desinventar 26/8/2019,KAYES,1998,8,13/08/1998,0,0,50,1
Desinventar 26/8/2019,KAYES,1999,8,01/08/1999,0,0,0,1
Desinventar 26/8/2019,KAYES,2004,8,15/08/2004,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,32,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,124,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,23,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,0,0,10,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,NIORO,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,BAFOULABE,2010,8,15/08/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,12/09/2010,0,0,0,1
