lon,lat,fid,name,description,type,Administrative region,Date of installation
33.5288683,-11.4034639,19055,Chidesa Chipeta borehole ,35 metres from Kapilingu road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/4/2007
33.4514868,-11.4276106,29082,Mzambazi Community Hospital borehole ,35 metres from Mahule road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/14/1994
33.5941011,-10.8527592,3479, Nundwe Borehole ,35m away left Thazima Bowe Turnoff,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",9/23/2002
33.9217461,-11.0022353,3045,Lukali  FP school Water point,3km away from njakwa bridge towards ng'onga trading center,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",1/15/1999
33.933291,-11.4020011,19826,Williford Nyirongo borehole,3km West of Dunduzu primary school ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",7/1/2017
33.4822552,-11.4312172,22092,Chiyanga Chimaliro borehole,4 metres from Yakuwata turn off to Zowe road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/12/2007
33.5098687,-11.8647955,35756,Saulosi Tembo,40 m away from Chipangano Church ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/1/2000
33.354013,-11.6901516,8107,Chisambi Village Borehole,40 metres away from Mangoe Trees,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/3/2007
33.4809537,-11.6003059,16187,Robert Mbale Village Borehole,40 metres away from Mwitho River,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/14/1997
33.4429766,-11.680887,28692,Bulala Agriculture Offices Borehole,40 metres from Bulala Agriculture Offices,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/4/1993
33.3539299,-11.6686124,20707,Katolora Mfune Village Borehole,45 metres away from Lwanjazi river,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",12/17/2018
33.478478,-11.5855053,16182,Mbati Mdhlopa Village Borehole,45 metres away from road to Chaboli,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/1/2010
33.4604592,-11.3628312,16797,Chidumayo Ngulube borehole ,5 m from theach road to kapando,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/19/2007
33.4362491,-11.7160813,14804,Nyambo Zimba Village Borehole,5 metres away from a Mango Tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/9/1998
33.4521676,-11.3260538,16159,Chileka  Mwali Njolwa borehole ,5 metres from Kapando road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/21/2007
33.5190926,-11.4033308,13193,Chimimba Chipeta borehole ,5 metres from Kapilingu road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/27/1998
33.4170443,-11.4586796,18848,Euthini CDSS borehole,50 mitres from Euthini CDSS,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/18/1989
33.4878132,-11.5031403,30619,Kamubanga school old bore hole,50 mitres from school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/15/1971
33.3879828,-11.5244501,5681,Katunguwiri primary school bore hole,50 mitres from school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/7/2007
33.460627,-11.5333716,6391,Chijere khondowe borehole ,50 mitres from the community,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/15/2007
34.1649481,-10.7312544,21211,Lumphafya borehole,500 meters east of m1 road,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",2/1/2017
33.5400829,-11.8514073,20160,Chaleza primary school ,500 my away from chaleza primary school sign post ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",5/10/2007
33.5951658,-11.8977818,34558,Mtambalika Moyo ,500m  from the road to Manyamula ,Borehole or tubewell,"Mzimba Boma, Mzimba, Malawi",
34.0118412,-10.8401598,15450,Kahonoko borehole ,50m away from the road to mhuju ,Borehole or tubewell,"SC Mwahenga, Rumphi, Malawi",2/9/2002
33.58917895,-10.91248622,32617,Chi tanga Primary School Borehole,50m from Chi tanga School,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",1/1/2005
33.6288296,-10.9346313,30465,Wantulira borehole,55m away up the Rumphi Nyika Road,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",8/20/2001
33.5968008,-10.9194556,30499,Chatu Nyika borehole,55m from Rumphi Nyika Road,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",6/12/2007
34.159536,-10.585355,14920,Ndalemba mnawi borehole,5km West of chitimba primary school off M1 road ,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",3/8/2018
