,dis
2005-04-10,2454.4182
2005-04-13,2409.2056
2005-04-17,2364.8018
2005-04-20,2333.6692
2005-04-24,2315.2083
2005-04-27,2318.7842
2005-05-01,2346.5713
2005-05-04,2350.2422
2005-05-08,2357.6804
2005-05-11,2379.439
2005-05-15,2423.2122
2005-05-18,2442.0723
2005-05-22,2484.5854
2005-05-25,2527.4207
2005-05-29,2632.5833
2005-06-01,2713.6409
2005-06-05,2819.3887
2005-06-08,2882.597
2005-06-12,2939.8496
2005-06-15,2966.517
2005-06-19,2993.6987
2005-06-22,3014.008
2005-06-26,3028.8875
2005-06-29,3035.586
2005-07-03,3027.493
2005-07-06,3000.2527
2005-07-10,2963.7173
2005-07-13,2941.5498
2005-07-17,2915.751
2005-07-20,2900.673
2005-07-24,2887.9736
2005-07-27,2865.9675
2005-07-31,2820.0327
2005-08-03,2772.493
2005-08-07,2708.0986
2005-08-10,2667.189
2005-08-14,2628.5854
2005-08-17,2611.3594
2005-08-21,2606.902
2005-08-24,2605.3435
2005-08-28,2606.8289
2005-08-31,2596.6377
2005-09-04,2564.6497
2005-09-07,2537.9385
2005-09-11,2521.234
2005-09-14,2515.5176
2005-09-18,2521.2273
2005-09-21,2539.0999
2005-09-25,2574.4656
2005-09-28,2581.7852
2005-10-02,2581.0686
2005-10-05,2568.9414
2005-10-09,2537.2153
2005-10-12,2495.231
2005-10-16,2469.0498
2005-10-19,2459.4963
2005-10-23,2475.666
2005-10-26,2502.1338
2005-10-30,2539.4036
2005-11-02,2578.461
2005-11-06,2691.2695
2005-11-09,2810.27
2005-11-13,2879.5134
2005-11-16,2874.1328
2005-11-20,2874.4
2005-11-23,2867.7964
2005-11-27,2841.0989
2005-11-30,2805.1724
2005-12-04,2763.001
2005-12-07,2743.4722
2005-12-11,2714.665
2005-12-14,2686.4253
2005-12-18,2647.3987
2005-12-21,2614.7898
2005-12-25,2561.5786
2005-12-28,2516.258
2006-01-02,2419.5388
2006-01-05,2361.186
2006-01-09,2288.8774
2006-01-12,2243.4302
2006-01-16,2188.436
2006-01-19,2152.524
2006-01-23,2105.203
2006-01-26,2071.1924
2006-01-30,2044.6512
2006-02-02,2043.8638
2006-02-06,2023.7545
2006-02-09,2003.4138
2006-02-13,1973.767
2006-02-16,1962.7281
2006-02-20,1944.1233
2006-02-23,1924.7686
2006-02-27,1895.4662
2006-03-02,1867.5447
2006-03-06,1826.9844
2006-03-09,1810.772
2006-03-13,1822.3734
2006-03-16,1873.2018
2006-03-20,1976.5137
2006-03-23,2031.1309
2006-03-27,2074.9744
2006-03-30,2099.4722
2006-04-03,2135.4153
2006-04-06,2172.7837
2006-04-10,2222.819
2006-04-13,2274.5442
2006-04-17,2363.9495
2006-04-20,2417.4673
2006-04-24,2484.273
2006-04-27,2537.8628
2006-05-01,2617.7332
2006-05-04,2694.869
2006-05-08,2815.6233
