County,sub_county,ward,Location,Sub_Location,other,scene,deaths,missing,injured,hh.destroyed,hh.damaged,hh.affected,hh.displaced,hh.evacuated,p.affected,p.displaced,p.evacuted,services.disrupted,roads,lost.livestock,bridge,schools,latrine,wall,hospitals,drainage,inst.church.mosque,health_center,acreage.crops.destroyed,cholera_outbreak,cholera.cases,situation,data_source,dref no,glidenumber,Date,flood
Bungoma,,,,Tongareni,,Tongareni,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,"godfrey (0712274509) reported at 1943hrs of an incident that was as result of heavy downpour. heavy rainfall that was accompanied by strong winds blew off roofs of houses in tongareni area, bungoma county. approximately 10hhs have been affected and property of unknown value was also destroyed. krcs bungoma to conduct assessment.",eoc,,,21/03/2018,1
Bungoma,,,,,Nakwana River,Nakwana River,0,0,0,,,,,,,,,,,,,,,,,,,,,,,james (0706724180) reported to e.o.c at 2001hrs of a flooding incident at kimwanga along malaba highway. river nakwana burst its banks and swept away a bodaboda rider as he was crossing the bridge. the rider was rescued by county ambulance fire department and bumula ambulance as he had sought refuge on a tree,eoc,,,01/05/2018,1
Bungoma,,,,,Kapchai,Kapchai,0,0,1,,,,,,,,,,,,,,,,,,,,,,,"timothy (0712656195) reported to e.o.c at 2124hrs of a lightning strike case at kapchai village, a std 7 primary school girl was critically injured and was taken to kapchai hospital for treatment. many families are reported to have been rendered homeless as a result of the heavy rainfall experienced in the region.",eoc,,,14/05/2018,1
Bungoma,,,,,Mukua,Mukua,2,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 1059hrs, mama mary via 0721836602 notified e.o.c of floods at mukua location of bungoma county due to heavy down pour. a woman and a minor reportedly died after their house caved in. their bodies were retrieved by police alongside locals and referred to a bungoma mortuary. bungoma krcs have been notified to conduct a needs assessment.",eoc,,,09/06/2018,1
Bungoma,,,,,,,na,,1,,,,na,,,,,,,na,,na,,,,,,,na,,,,dref,june_11th_2018_mdrke043,,11/06/2018,1
Busia,,,,,Budalandi,Budalandi,2,,,,,,,,,,,,,,,,,,,,,,,,,,dref,appeal no. 14/02,,13/05/2002,1
Busia,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,14/05/2002,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,11/12/2003,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/01/2005,1
Busia,,,,,Bukhay,Bukhay,20,,,,,1200,,,,,,,,,,,,,,,,,,,,,wra,,,17/06/2005,1
Busia,,,,,Budalandgi,Budalandgi,,,,,,,,,,,,,,,,,,,,,,,120,,,,dref,bulletin (no. 2/2006),,18/05/2006,1
Busia,,,,,Busia District,Busia District,6,,,,,,,,,2000,,,,,,,,,,,,,,,,,dref,mdrke003,fl-2006-000159-ken,14/11/2006,1
Busia,,,,,Busia,Busia,0,,,,,2460,,,,,,,,,,,,,,,,,,,,,wra,,,21/04/2007,1
Busia,Budalangi,,,Budalangi,,Budalangi,13,,,,,40000,,,,,,,,,,,,,,,,,,,,,wra,,,15/08/2007,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,20/08/2007,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,21/08/2007,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/04/2008,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/11/2008,1
Busia,Budalangi,,,Budalangi,,Budalangi,17,,,,,30770,,,,,,,,,,,,,,,,,,,,,wra,,,10/11/2008,1
Busia,,,,,,,,,,3,,40679,,,,,,schools,,,,,,,,,,,,,,"3 schools submerged, ground water submerged, and surface sources contaminated",disinventer,,,13/11/2008,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,15/11/2008,1
Busia,,,,,Budalandi,Budalandi,,,,,,,500,,12123,,,,,,,,,,,,,,,,,,dref,mdrke007,fl-2008-000217-ken,25/11/2008,1
Busia,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,1000 families were affected,disinventer,,fl-2008-000217-ken,01/05/2009,1
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,27/04/2010,1
Busia,,,,,"(Western Kenya, Amoni Location (Teso District))","(Western Kenya, Amoni Location (Teso District))",100,,,,,70000,,,,,,,,,,,,,,,,,,,,,wra,,,08/05/2010,1
Busia,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,26/03/2011,1
Busia,,,,,Busia,Busia,,,,,,,4000,,,,,,,,,,,,,,,,,,,,dref,dec_12th_2011_mdrke020,,12/12/2011,1
