date,year,month,district,DMP
2012-03-01,2012,3,KAABONG,17978
2012-03-01,2012,3,KYENJOJO,24137
2012-03-01,2012,3,TORORO,6898
2012-04-01,2012,4,JINJA,7688
2012-04-01,2012,4,MBARARA,22314
2012-04-01,2012,4,KYANKWANZI,30673
2012-04-01,2012,4,ZOMBO,10299
2012-04-01,2012,4,KATAKWI,14051
2012-04-01,2012,4,KAMULI,14958
2012-04-01,2012,4,BUTAMBALA,5973
2012-04-01,2012,4,NAKASONGOLA,35657
2012-04-01,2012,4,KAGADI,18768
2012-04-01,2012,4,KANUNGU,18126
2012-04-01,2012,4,RAKAI,30771
2012-04-01,2012,4,BUIKWE,18895
2012-04-01,2012,4,GULU,18384
2012-04-01,2012,4,KAYUNGA,17321
2012-04-01,2012,4,BUVUMA,3361
2012-04-01,2012,4,ARUA,31858
2012-04-01,2012,4,MBALE,4571
2012-04-01,2012,4,KOBOKO,8061
2012-04-01,2012,4,BULAMBULI,4506
2012-04-01,2012,4,MUKONO,27307
2012-04-01,2012,4,TORORO,11832
2012-04-01,2012,4,BUSIA,8075
2012-04-01,2012,4,MASINDI,48485
2012-04-01,2012,4,BUGIRI,11550
2012-04-01,2012,4,APAC,29090
2012-04-01,2012,4,RUBANDA,8854
2012-04-01,2012,4,KYEGEGWA,24482
2012-04-01,2012,4,BUKWO,4677
2012-04-01,2012,4,KOLE,8386
2012-04-01,2012,4,SSEMBABULE,27573
2012-04-01,2012,4,KAABONG,34401
2012-04-01,2012,4,SIRONKO,4139
2012-04-01,2012,4,MOROTO,13783
2012-04-01,2012,4,ADJUMANI,31649
2012-04-01,2012,4,KAMWENGE,35490
2012-04-01,2012,4,WAKISO,22808
2012-04-01,2012,4,SOROTI,11002
2012-04-01,2012,4,MUBENDE,59052
2012-04-01,2012,4,KASESE,34228
2012-04-01,2012,4,KOTIDO,13069
2012-04-01,2012,4,GOMBA,21354
2012-04-01,2012,4,PALLISA,5405
2012-04-01,2012,4,NTOROKO,12000
2012-04-01,2012,4,PAKWACH,6565
2012-04-01,2012,4,AGAGO,26379
2012-04-01,2012,4,BUHWEJU,12116
2012-04-01,2012,4,OTUKE,12327
2012-04-01,2012,4,PADER,26940
2012-04-01,2012,4,KAPCHORWA,3522
2012-04-01,2012,4,BUKEDEA,7422
2012-04-01,2012,4,NGORA,5401
2012-04-01,2012,4,KUMI,7591
2012-04-01,2012,4,IGANGA,10209
2012-04-01,2012,4,KALANGALA,3899
2012-04-01,2012,4,KAKUMIRO,22253
2012-04-01,2012,4,MOYO,11206
2012-04-01,2012,4,KISORO,11632
2012-04-01,2012,4,AMURIA,17839
2012-04-01,2012,4,MAYUGE,12758
2012-04-01,2012,4,BUDAKA,3002
2012-04-01,2012,4,KITGUM,29217
2012-04-01,2012,4,BUTALEJA,6726
